Code,Year,Consumption-Emissions
ALB,1990,1.533
ALB,1991,1.245
ALB,1992,0.775
ALB,1993,0.718
ALB,1994,0.626
ALB,1995,0.672
ALB,1996,0.783
ALB,1997,0.598
ALB,1998,0.686
ALB,1999,1.003
ALB,2000,1.025
ALB,2001,1.096
ALB,2002,1.390
ALB,2003,1.535
ALB,2004,1.461
ALB,2005,1.564
ALB,2006,1.482
ALB,2007,1.500
ALB,2008,1.673
ALB,2009,1.738
ALB,2010,1.676
ALB,2011,1.733
ALB,2012,1.654
ALB,2013,1.602
ALB,2014,1.717
ALB,2015,1.544
ALB,2016,1.499
ALB,2017,1.541
ARE,1990,15.065
ARE,1991,16.623
ARE,1992,17.324
ARE,1993,18.621
ARE,1994,20.498
ARE,1995,20.515
ARE,1996,21.302
ARE,1997,21.507
ARE,1998,25.093
ARE,1999,21.822
ARE,2000,29.313
ARE,2001,29.525
ARE,2002,26.446
ARE,2003,35.943
ARE,2004,40.255
ARE,2005,44.479
ARE,2006,45.785
ARE,2007,55.260
ARE,2008,66.616
ARE,2009,54.421
ARE,2010,53.041
ARE,2011,59.081
ARE,2012,64.992
ARE,2013,66.927
ARE,2014,69.592
ARE,2015,62.614
ARE,2016,63.842
ARE,2017,64.268
ARG,1990,28.501
ARG,1991,30.708
ARG,1992,32.143
ARG,1993,31.667
ARG,1994,32.680
ARG,1995,33.191
ARG,1996,35.317
ARG,1997,37.162
ARG,1998,37.637
ARG,1999,36.960
ARG,2000,34.978
ARG,2001,31.848
ARG,2002,26.241
ARG,2003,31.059
ARG,2004,36.613
ARG,2005,38.221
ARG,2006,42.528
ARG,2007,44.015
ARG,2008,48.206
ARG,2009,44.939
ARG,2010,48.338
ARG,2011,50.409
ARG,2012,51.065
ARG,2013,52.744
ARG,2014,53.697
ARG,2015,55.251
ARG,2016,54.563
ARG,2017,55.055
ARM,1990,3.736
ARM,1991,3.660
ARM,1992,1.122
ARM,1993,0.543
ARM,1994,0.528
ARM,1995,0.773
ARM,1996,0.843
ARM,1997,1.124
ARM,1998,1.157
ARM,1999,1.458
ARM,2000,1.097
ARM,2001,1.216
ARM,2002,1.008
ARM,2003,1.186
ARM,2004,1.231
ARM,2005,1.473
ARM,2006,1.455
ARM,2007,2.037
ARM,2008,1.774
ARM,2009,1.617
ARM,2010,1.510
ARM,2011,1.563
ARM,2012,1.727
ARM,2013,1.683
ARM,2014,1.668
ARM,2015,1.536
ARM,2016,1.555
ARM,2017,1.515
AUS,1990,64.173
AUS,1991,63.661
AUS,1992,64.457
AUS,1993,64.622
AUS,1994,66.505
AUS,1995,68.054
AUS,1996,68.915
AUS,1997,71.327
AUS,1998,75.242
AUS,1999,74.875
AUS,2000,74.723
AUS,2001,75.832
AUS,2002,80.068
AUS,2003,82.198
AUS,2004,87.242
AUS,2005,88.924
AUS,2006,94.081
AUS,2007,97.733
AUS,2008,100.023
AUS,2009,102.423
AUS,2010,104.642
AUS,2011,106.542
AUS,2012,109.286
AUS,2013,104.049
AUS,2014,102.228
AUS,2015,101.603
AUS,2016,101.770
AUS,2017,103.260
AUT,1990,22.525
AUT,1991,23.865
AUT,1992,22.289
AUT,1993,22.504
AUT,1994,22.954
AUT,1995,24.219
AUT,1996,26.446
AUT,1997,25.171
AUT,1998,26.340
AUT,1999,25.016
AUT,2000,25.041
AUT,2001,25.816
AUT,2002,26.368
AUT,2003,27.109
AUT,2004,27.718
AUT,2005,28.424
AUT,2006,28.982
AUT,2007,27.580
AUT,2008,27.110
AUT,2009,25.235
AUT,2010,26.497
AUT,2011,27.053
AUT,2012,25.652
AUT,2013,25.396
AUT,2014,24.498
AUT,2015,24.964
AUT,2016,25.105
AUT,2017,25.815
AZE,1990,8.833
AZE,1991,8.141
AZE,1992,6.068
AZE,1993,8.342
AZE,1994,6.784
AZE,1995,6.855
AZE,1996,8.368
AZE,1997,7.734
AZE,1998,8.339
AZE,1999,7.126
AZE,2000,7.465
AZE,2001,7.567
AZE,2002,8.593
AZE,2003,9.382
AZE,2004,10.088
AZE,2005,9.733
AZE,2006,11.202
AZE,2007,8.774
AZE,2008,9.902
AZE,2009,8.708
AZE,2010,8.392
AZE,2011,9.301
AZE,2012,10.181
AZE,2013,10.496
AZE,2014,11.047
AZE,2015,11.067
AZE,2016,10.947
AZE,2017,11.025
Africa,1990,148.591
Africa,1991,156.411
Africa,1992,151.610
Africa,1993,157.725
Africa,1994,161.969
Africa,1995,170.446
Africa,1996,170.104
Africa,1997,175.670
Africa,1998,185.195
Africa,1999,187.996
Africa,2000,198.678
Africa,2001,202.266
Africa,2002,203.717
Africa,2003,227.451
Africa,2004,239.425
Africa,2005,249.937
Africa,2006,261.123
Africa,2007,277.594
Africa,2008,296.262
Africa,2009,308.119
Africa,2010,305.832
Africa,2011,315.461
Africa,2012,324.287
Africa,2013,346.124
Africa,2014,365.251
Africa,2015,360.147
Africa,2016,363.619
Africa,2017,363.811
Asia,1990,1595.068
Asia,1991,1672.796
Asia,1992,1706.599
Asia,1993,1776.056
Asia,1994,1852.237
Asia,1995,1946.641
Asia,1996,2029.161
Asia,1997,2044.449
Asia,1998,1905.093
Asia,1999,2001.420
Asia,2000,2075.742
Asia,2001,2113.676
Asia,2002,2211.481
Asia,2003,2377.980
Asia,2004,2564.010
Asia,2005,2736.019
Asia,2006,2872.790
Asia,2007,3023.740
Asia,2008,3208.606
Asia,2009,3387.180
Asia,2010,3613.299
Asia,2011,3887.941
Asia,2012,4049.801
Asia,2013,4070.647
Asia,2014,4118.324
Asia,2015,4186.346
Asia,2016,4255.250
Asia,2017,4327.641
BEL,1990,40.191
BEL,1991,42.691
BEL,1992,41.259
BEL,1993,41.405
BEL,1994,42.605
BEL,1995,44.249
BEL,1996,44.411
BEL,1997,46.145
BEL,1998,48.985
BEL,1999,49.747
BEL,2000,51.339
BEL,2001,50.841
BEL,2002,53.921
BEL,2003,52.630
BEL,2004,58.223
BEL,2005,57.066
BEL,2006,59.529
BEL,2007,60.555
BEL,2008,55.921
BEL,2009,49.287
BEL,2010,52.664
BEL,2011,55.095
BEL,2012,50.025
BEL,2013,49.615
BEL,2014,48.721
BEL,2015,48.749
BEL,2016,48.049
BEL,2017,48.607
BEN,1990,0.256
BEN,1991,0.288
BEN,1992,0.307
BEN,1993,0.366
BEN,1994,0.410
BEN,1995,0.442
BEN,1996,0.462
BEN,1997,0.503
BEN,1998,0.560
BEN,1999,0.561
BEN,2000,0.681
BEN,2001,0.757
BEN,2002,0.854
BEN,2003,0.952
BEN,2004,0.917
BEN,2005,1.161
BEN,2006,1.578
BEN,2007,1.642
BEN,2008,1.807
BEN,2009,1.803
BEN,2010,1.910
BEN,2011,2.362
BEN,2012,2.012
BEN,2013,2.134
BEN,2014,2.073
BEN,2015,2.182
BEN,2016,2.159
BEN,2017,2.230
BFA,1990,0.224
BFA,1991,0.235
BFA,1992,0.236
BFA,1993,0.240
BFA,1994,0.242
BFA,1995,0.252
BFA,1996,0.275
BFA,1997,0.329
BFA,1998,0.540
BFA,1999,0.661
BFA,2000,0.438
BFA,2001,0.537
BFA,2002,0.524
BFA,2003,0.541
BFA,2004,0.635
BFA,2005,0.449
BFA,2006,0.473
BFA,2007,0.589
BFA,2008,0.646
BFA,2009,0.749
BFA,2010,0.792
BFA,2011,0.760
BFA,2012,0.822
BFA,2013,1.096
BFA,2014,1.116
BFA,2015,1.205
BFA,2016,1.238
BFA,2017,1.357
BGD,1990,4.757
BGD,1991,5.130
BGD,1992,5.314
BGD,1993,5.604
BGD,1994,6.172
BGD,1995,7.139
BGD,1996,7.519
BGD,1997,7.988
BGD,1998,7.961
BGD,1999,8.162
BGD,2000,8.856
BGD,2001,11.007
BGD,2002,10.253
BGD,2003,12.473
BGD,2004,12.953
BGD,2005,13.220
BGD,2006,14.055
BGD,2007,15.126
BGD,2008,15.384
BGD,2009,16.850
BGD,2010,19.084
BGD,2011,20.463
BGD,2012,21.391
BGD,2013,23.250
BGD,2014,24.615
BGD,2015,26.192
BGD,2016,26.969
BGD,2017,28.055
BGR,1990,15.298
BGR,1991,13.598
BGR,1992,12.394
BGR,1993,12.280
BGR,1994,11.751
BGR,1995,11.582
BGR,1996,11.840
BGR,1997,10.827
BGR,1998,11.161
BGR,1999,10.450
BGR,2000,11.316
BGR,2001,11.983
BGR,2002,11.255
BGR,2003,12.075
BGR,2004,11.914
BGR,2005,12.460
BGR,2006,13.633
BGR,2007,14.218
BGR,2008,14.541
BGR,2009,11.865
BGR,2010,11.730
BGR,2011,12.681
BGR,2012,12.119
BGR,2013,10.548
BGR,2014,10.883
BGR,2015,11.318
BGR,2016,10.669
BGR,2017,11.106
BHR,1990,3.007
BHR,1991,3.094
BHR,1992,2.944
BHR,1993,3.543
BHR,1994,3.619
BHR,1995,3.595
BHR,1996,3.709
BHR,1997,3.408
BHR,1998,3.741
BHR,1999,1.794
BHR,2000,3.321
BHR,2001,2.913
BHR,2002,2.778
BHR,2003,2.801
BHR,2004,2.854
BHR,2005,3.537
BHR,2006,3.277
BHR,2007,4.511
BHR,2008,5.450
BHR,2009,5.330
BHR,2010,5.723
BHR,2011,4.871
BHR,2012,3.964
BHR,2013,4.633
BHR,2014,4.891
BHR,2015,5.085
BHR,2016,5.086
BHR,2017,5.167
BLR,1990,7.819
BLR,1991,7.232
BLR,1992,10.004
BLR,1993,10.434
BLR,1994,7.769
BLR,1995,8.432
BLR,1996,12.486
BLR,1997,12.752
BLR,1998,19.327
BLR,1999,16.341
BLR,2000,15.512
BLR,2001,15.465
BLR,2002,16.131
BLR,2003,16.269
BLR,2004,17.225
BLR,2005,16.198
BLR,2006,18.276
BLR,2007,19.524
BLR,2008,21.161
BLR,2009,15.408
BLR,2010,17.271
BLR,2011,15.683
BLR,2012,19.035
BLR,2013,19.657
BLR,2014,19.217
BLR,2015,18.349
BLR,2016,18.539
BLR,2017,18.959
BOL,1990,1.415
BOL,1991,1.463
BOL,1992,1.607
BOL,1993,1.846
BOL,1994,1.966
BOL,1995,2.203
BOL,1996,2.242
BOL,1997,2.707
BOL,1998,2.771
BOL,1999,2.842
BOL,2000,2.782
BOL,2001,2.218
BOL,2002,2.658
BOL,2003,2.419
BOL,2004,2.322
BOL,2005,2.530
BOL,2006,3.187
BOL,2007,2.713
BOL,2008,3.104
BOL,2009,3.465
BOL,2010,3.669
BOL,2011,4.057
BOL,2012,4.480
BOL,2013,4.593
BOL,2014,4.773
BOL,2015,4.842
BOL,2016,5.275
BOL,2017,5.513
BRA,1990,63.940
BRA,1991,66.765
BRA,1992,66.311
BRA,1993,68.881
BRA,1994,72.554
BRA,1995,78.256
BRA,1996,86.183
BRA,1997,91.326
BRA,1998,94.212
BRA,1999,91.395
BRA,2000,94.192
BRA,2001,94.962
BRA,2002,91.283
BRA,2003,87.624
BRA,2004,91.604
BRA,2005,94.273
BRA,2006,96.135
BRA,2007,101.939
BRA,2008,114.813
BRA,2009,105.160
BRA,2010,125.069
BRA,2011,132.545
BRA,2012,140.614
BRA,2013,150.696
BRA,2014,158.469
BRA,2015,148.502
BRA,2016,137.687
BRA,2017,140.025
BRN,1990,0.876
BRN,1991,0.803
BRN,1992,0.843
BRN,1993,0.921
BRN,1994,0.947
BRN,1995,0.883
BRN,1996,1.239
BRN,1997,0.670
BRN,1998,0.951
BRN,1999,0.536
BRN,2000,0.563
BRN,2001,0.546
BRN,2002,0.550
BRN,2003,1.119
BRN,2004,1.071
BRN,2005,1.098
BRN,2006,1.186
BRN,2007,1.778
BRN,2008,1.938
BRN,2009,1.408
BRN,2010,1.532
BRN,2011,1.951
BRN,2012,2.138
BRN,2013,2.225
BRN,2014,2.372
BRN,2015,2.102
BRN,2016,2.115
BRN,2017,2.196
BWA,1990,0.737
BWA,1991,0.719
BWA,1992,0.758
BWA,1993,0.872
BWA,1994,0.827
BWA,1995,0.831
BWA,1996,0.752
BWA,1997,0.764
BWA,1998,0.912
BWA,1999,0.862
BWA,2000,2.681
BWA,2001,2.295
BWA,2002,0.833
BWA,2003,4.367
BWA,2004,2.980
BWA,2005,2.622
BWA,2006,2.315
BWA,2007,2.885
BWA,2008,3.169
BWA,2009,1.493
BWA,2010,1.614
BWA,2011,1.414
BWA,2012,1.557
BWA,2013,4.178
BWA,2014,4.540
BWA,2015,4.391
BWA,2016,4.633
BWA,2017,4.696
Bunkers,1959,58.234
Bunkers,1960,65.022
Bunkers,1961,71.845
Bunkers,1962,74.403
Bunkers,1963,77.821
Bunkers,1964,85.181
Bunkers,1965,88.051
Bunkers,1966,95.264
Bunkers,1967,101.955
Bunkers,1968,107.758
Bunkers,1969,112.831
Bunkers,1970,119.330
Bunkers,1971,125.838
Bunkers,1972,134.372
Bunkers,1973,143.979
Bunkers,1974,133.565
Bunkers,1975,122.390
Bunkers,1976,120.031
Bunkers,1977,122.906
Bunkers,1978,124.609
Bunkers,1979,125.132
Bunkers,1980,122.010
Bunkers,1981,112.687
Bunkers,1982,102.116
Bunkers,1983,97.949
Bunkers,1984,98.328
Bunkers,1985,100.469
Bunkers,1986,107.534
Bunkers,1987,144.701
Bunkers,1988,149.545
Bunkers,1989,154.309
Bunkers,1990,152.690
Bunkers,1991,147.987
Bunkers,1992,149.616
Bunkers,1993,151.939
Bunkers,1994,158.466
Bunkers,1995,167.344
Bunkers,1996,181.873
Bunkers,1997,191.396
Bunkers,1998,203.021
Bunkers,1999,209.739
Bunkers,2000,212.377
Bunkers,2001,211.202
Bunkers,2002,216.121
Bunkers,2003,225.422
Bunkers,2004,245.075
Bunkers,2005,255.188
Bunkers,2006,269.692
Bunkers,2007,285.237
Bunkers,2008,289.497
Bunkers,2009,276.896
Bunkers,2010,293.375
Bunkers,2011,301.281
Bunkers,2012,298.891
Bunkers,2013,303.556
Bunkers,2014,305.935
Bunkers,2015,316.488
Bunkers,2016,328.887
Bunkers,2017,334.471
Bunkers,2018,338.355
CAN,1990,129.278
CAN,1991,128.302
CAN,1992,130.968
CAN,1993,130.158
CAN,1994,133.280
CAN,1995,137.011
CAN,1996,140.385
CAN,1997,149.657
CAN,1998,151.912
CAN,1999,151.900
CAN,2000,158.483
CAN,2001,153.848
CAN,2002,159.020
CAN,2003,152.605
CAN,2004,156.750
CAN,2005,159.463
