Year,Category,Value,Source
1959,Total,2417,CDIAC
1960,Total,2550,CDIAC
1961,Total,2556,CDIAC
1962,Total,2646,CDIAC
1963,Total,2796,CDIAC
1964,Total,2942,CDIAC
1965,Total,3078,CDIAC
1966,Total,3222,CDIAC
1967,Total,3325,CDIAC
1968,Total,3506,CDIAC
1969,Total,3740,CDIAC
1970,Total,4050,CDIAC
1971,Total,4213,CDIAC
1972,Total,4409,CDIAC
1973,Total,4643,CDIAC
1974,Total,4623,CDIAC
1975,Total,4617,CDIAC
1976,Total,4862,CDIAC
1977,Total,4996,CDIAC
1978,Total,5179,CDIAC
1979,Total,5317,CDIAC
1980,Total,5292,CDIAC
1981,Total,5148,CDIAC
1982,Total,5110,CDIAC
1983,Total,5158,CDIAC
1984,Total,5308,CDIAC
1985,Total,5497,CDIAC
1986,Total,5576,CDIAC
1987,Total,5757,CDIAC
1988,Total,5977,CDIAC
1989,Total,6067,CDIAC
1990,Total,6200,CDIAC
1991,Total,6329,CDIAC
1992,Total,6131,CDIAC
1993,Total,6199,CDIAC
1994,Total,6243,CDIAC
1995,Total,6378,CDIAC
1996,Total,6577,CDIAC
1997,Total,6614,CDIAC
1998,Total,6591,CDIAC
1999,Total,6674,CDIAC
2000,Total,6865,CDIAC
2001,Total,6922,CDIAC
2002,Total,7074,CDIAC
2003,Total,7414,CDIAC
2004,Total,7763,CDIAC
2005,Total,8024,CDIAC
2006,Total,8290,CDIAC
2007,Total,8537,CDIAC
2008,Total,8732,CDIAC
2009,Total,8605,CDIAC
2010,Total,9047,CDIAC
2011,Total,9353,CDIAC
2012,Total,9495,CDIAC
2013,Total,9541,CDIAC
2014,Total,9613,CDIAC
2015,Total,9617,CDIAC
2016,Total,9656,CDIAC
2017,Total,9773,Combination
2018,Total,9981,Combination
1959,Coal,1351,CDIAC
1960,Coal,1402,CDIAC
1961,Coal,1344,CDIAC
1962,Coal,1340,CDIAC
1963,Coal,1395,CDIAC
1964,Coal,1421,CDIAC
1965,Coal,1444,CDIAC
1966,Coal,1457,CDIAC
1967,Coal,1434,CDIAC
1968,Coal,1450,CDIAC
1969,Coal,1505,CDIAC
1970,Coal,1554,CDIAC
1971,Coal,1554,CDIAC
1972,Coal,1553,CDIAC
1973,Coal,1597,CDIAC
1974,Coal,1600,CDIAC
1975,Coal,1635,CDIAC
1976,Coal,1709,CDIAC
1977,Coal,1745,CDIAC
1978,Coal,1798,CDIAC
1979,Coal,1865,CDIAC
1980,Coal,1921,CDIAC
1981,Coal,1909,CDIAC
1982,Coal,1944,CDIAC
1983,Coal,2002,CDIAC
1984,Coal,2087,CDIAC
1985,Coal,2239,CDIAC
1986,Coal,2265,CDIAC
1987,Coal,2346,CDIAC
1988,Coal,2427,CDIAC
1989,Coal,2434,CDIAC
1990,Coal,2388,CDIAC
1991,Coal,2367,CDIAC
1992,Coal,2307,CDIAC
1993,Coal,2337,CDIAC
1994,Coal,2350,CDIAC
1995,Coal,2419,CDIAC
1996,Coal,2477,CDIAC
1997,Coal,2466,CDIAC
1998,Coal,2402,CDIAC
1999,Coal,2384,CDIAC
2000,Coal,2472,CDIAC
2001,Coal,2485,CDIAC
2002,Coal,2592,CDIAC
2003,Coal,2803,CDIAC
2004,Coal,2987,CDIAC
2005,Coal,3169,CDIAC
2006,Coal,3349,CDIAC
2007,Coal,3510,CDIAC
2008,Coal,3646,CDIAC
2009,Coal,3602,CDIAC
2010,Coal,3822,CDIAC
2011,Coal,4061,CDIAC
2012,Coal,4105,CDIAC
2013,Coal,4075,CDIAC
2014,Coal,4076,CDIAC
2015,Coal,3995,CDIAC
2016,Coal,3941,CDIAC
2017,Coal,3952,BP
2018,Coal,4006,BP
1959,Oil,793,CDIAC
1960,Oil,852,CDIAC
1961,Oil,902,CDIAC
1962,Oil,969,CDIAC
1963,Oil,1039,CDIAC
1964,Oil,1119,CDIAC
1965,Oil,1203,CDIAC
1966,Oil,1295,CDIAC
1967,Oil,1381,CDIAC
1968,Oil,1504,CDIAC
1969,Oil,1627,CDIAC
1970,Oil,1853,CDIAC
1971,Oil,1961,CDIAC
1972,Oil,2114,CDIAC
1973,Oil,2261,CDIAC
1974,Oil,2229,CDIAC
1975,Oil,2200,CDIAC
1976,Oil,2314,CDIAC
1977,Oil,2399,CDIAC
1978,Oil,2487,CDIAC
1979,Oil,2525,CDIAC
1980,Oil,2434,CDIAC
1981,Oil,2315,CDIAC
1982,Oil,2259,CDIAC
1983,Oil,2241,CDIAC
1984,Oil,2251,CDIAC
1985,Oil,2256,CDIAC
1986,Oil,2323,CDIAC
1987,Oil,2351,CDIAC
1988,Oil,2434,CDIAC
1989,Oil,2475,CDIAC
1990,Oil,2511,CDIAC
1991,Oil,2636,CDIAC
1992,Oil,2495,CDIAC
1993,Oil,2503,CDIAC
1994,Oil,2513,CDIAC
1995,Oil,2540,CDIAC
1996,Oil,2625,CDIAC
1997,Oil,2663,CDIAC
1998,Oil,2689,CDIAC
1999,Oil,2748,CDIAC
2000,Oil,2799,CDIAC
2001,Oil,2821,CDIAC
2002,Oil,2811,CDIAC
2003,Oil,2877,CDIAC
2004,Oil,2974,CDIAC
2005,Oil,2999,CDIAC
2006,Oil,3021,CDIAC
2007,Oil,3032,CDIAC
2008,Oil,3040,CDIAC
2009,Oil,2991,CDIAC
2010,Oil,3066,CDIAC
2011,Oil,3068,CDIAC
2012,Oil,3124,CDIAC
2013,Oil,3162,CDIAC
2014,Oil,3203,CDIAC
2015,Oil,3259,CDIAC
2016,Oil,3308,CDIAC
2017,Oil,3350,BP
2018,Oil,3391,BP
1959,Gas,207,CDIAC
1960,Gas,227,CDIAC
1961,Gas,240,CDIAC
1962,Gas,264,CDIAC
1963,Gas,286,CDIAC
1964,Gas,315,CDIAC
1965,Gas,336,CDIAC
1966,Gas,366,CDIAC
1967,Gas,391,CDIAC
1968,Gas,426,CDIAC
1969,Gas,467,CDIAC
1970,Gas,489,CDIAC
1971,Gas,528,CDIAC
1972,Gas,560,CDIAC
1973,Gas,583,CDIAC
1974,Gas,595,CDIAC
1975,Gas,598,CDIAC
1976,Gas,634,CDIAC
1977,Gas,646,CDIAC
1978,Gas,679,CDIAC
1979,Gas,718,CDIAC
1980,Gas,739,CDIAC
1981,Gas,747,CDIAC
1982,Gas,731,CDIAC
1983,Gas,743,CDIAC
1984,Gas,803,CDIAC
1985,Gas,836,CDIAC
1986,Gas,820,CDIAC
1987,Gas,888,CDIAC
1988,Gas,931,CDIAC
1989,Gas,980,CDIAC
1990,Gas,1053,CDIAC
1991,Gas,1074,CDIAC
1992,Gas,1082,CDIAC
1993,Gas,1112,CDIAC
1994,Gas,1122,CDIAC
1995,Gas,1152,CDIAC
1996,Gas,1202,CDIAC
1997,Gas,1208,CDIAC
1998,Gas,1227,CDIAC
1999,Gas,1263,CDIAC
2000,Gas,1295,CDIAC
2001,Gas,1308,CDIAC
2002,Gas,1347,CDIAC
2003,Gas,1393,CDIAC
2004,Gas,1438,CDIAC
2005,Gas,1472,CDIAC
2006,Gas,1510,CDIAC
2007,Gas,1561,CDIAC
2008,Gas,1605,CDIAC
