# Global Carbon Budget 2018 — Global_Carbon_Budget_2018v1.0.xlsx  — Fossil Emissions by Fuel Type
#
# Fossil fuel and cement production emissions by fuel type
# All values in million tonnes of carbon per year (MtC/yr), except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in million tonnes of CO2 per year, multiply the values below by 3.664
# 1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2
# Methods:
# 1959-2014 estimates for fossil fuel combustion and cement are from the Carbon Dioxide Information Analysis Center (CDIAC) at Oak Ridge National Laboratory, adjusted with revised China statistics from 1990.  http://cdiac.ornl.gov/trends/emis/meth_reg.html
# 2015-2017 estimates are preliminary and are based on energy statistics published by BP (data in red in Columns B, C, D, E and H). https://www.bp.com/content/dam/bp/en/corporate/pdf/energy-economics/statistical-review/bp-15stats-review-2018-full-report.pdf
# Cement emissions are updated from Andrews (2018) https://www.earth-syst-sci-data.net/10/195/2018/
# and flaring is assumed to be constant since 2014 value (data in green in Column G).
# The uncertainty for the global estimates is about ±5 % for a ± 1 sigma confidence level.
# Cite as: Le Quéré et al (2018b; see summary tab) and Boden, T. A., Marland, G., and Andres, R. J.: Global, Regional, and National Fossil-Fuel CO2 Emissions, Oak Ridge National Laboratory, U.S. Department of Energy, Oak Ridge, Tenn., U.S.A., doi 10.3334/CDIAC/00001_V2017, 2017; available at: http://cdiac.ess-dive.lbl.gov/trends/emis/overview_2014.html
#
# MtC/yr
# Generated with openclimatedata 0.40.1 from the GCB Excel file 'Global_Carbon_Budget_2018v1.0.xlsx' from https://doi.org/10.18160/gcp-2018 
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,Total,Coal,Oil,Gas,Cement,Flaring,Per Capita
1959,2453.3778621756232,1382.0,789.0,206.0,39.377862175623356,36,0.8238825723052063
1960,2568.376024196962,1410.0,849.0,227.0,42.376024196962135,39,0.8467510935467537
1961,2579.7237268452504,1349.0,904.0,240.0,44.723726845250205,42,0.834779574812761
1962,2685.098813534764,1351.0,980.0,263.0,48.09881353476346,44,0.8526168834944601
1963,2832.7150537754874,1396.0,1052.0,286.0,50.71505377548785,47,0.8823911573738791
1964,2993.811446773101,1435.0,1137.0,316.0,55.811446773101544,51,0.9145120738406072
1965,3129.40781166004,1460.0,1219.0,337.0,58.40781166003967,55,0.9370627211230856
1966,3287.542540322455,1478.0,1323.0,364.0,62.54254032245474,60,0.9646201380911356
1967,3392.742733549704,1448.0,1423.0,392.0,64.74273354970414,66,0.9751912181038098
1968,3565.35197647703,1448.0,1551.0,424.0,69.35197647702955,73,1.003792716483138
1969,3779.0467616883934,1486.0,1673.0,467.0,73.04676168839345,80,1.0422353111787108
1970,4051.8053992444948,1556.0,1839.0,493.0,76.8053992444947,87,1.0949116009616755
1971,4205.708938864511,1559.0,1947.0,530.0,81.70893886451034,88,1.1138617180481343
1972,4373.359927410957,1576.0,2057.0,560.0,86.35992741095693,95,1.135481922680049
1973,4610.63357787772,1581.0,2241.0,588.0,91.63357787771875,110,1.173924418299772
1974,4618.880652413738,1579.0,2245.0,597.0,91.88065241374062,107,1.1537256080761313
1975,4592.150915119846,1673.0,2132.0,604.0,91.15091511984484,92,1.125779051100306
1976,4858.343999858853,1710.0,2314.0,630.0,97.34399985885247,108,1.1694770498979692
1977,5009.672277654693,1756.0,2398.0,650.0,101.67227765469231,104,1.1845433624996893
1978,5065.965844009518,1780.0,2392.0,680.0,107.96584400951762,106,1.176933552101259
1979,5347.769870782978,1875.0,2544.0,721.0,109.76987078297817,98,1.2207887643060142
1980,5291.510470979757,1935.0,2422.0,737.0,110.51047097975642,86,1.1868600353795329
1981,5127.489797479621,1908.0,2289.0,755.0,110.48979747961954,65,1.1299391934975451
1982,5082.9900905520435,1976.0,2196.0,738.0,109.99009055204587,64,1.100505827878872
1983,5062.622281115559,1977.0,2176.0,739.0,112.62228111555784,58,1.076802949969621
1984,5244.7778511901415,2074.0,2199.0,807.0,114.77785119013917,51,1.0957475262433345
1985,5401.916441748811,2216.0,2186.0,835.0,115.91644174881012,49,1.1083623904094886
1986,5566.580112921059,2277.0,2293.0,830.0,120.5801129210583,46,1.121472892380488
1987,5707.536433178641,2339.0,2306.0,892.0,125.53643317863906,44,1.1289452571660357
1988,5917.333330232874,2387.0,2412.0,935.0,133.33333023287355,50,1.149318805405651
