# Global Carbon Budget 2018 — Global_Carbon_Budget_2018v1.0.xlsx  — Global Carbon Budget
#
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide per year (GtCO2/yr) , multiply the numbers below by 3.664.
# Note: 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# All uncertainties represent ± 1 sigma error (68 % chance of being in the range provided)
# Emissions from fossil fuel combustion and industrial processes (uncertainty of ±5% for a ± 1 sigma confidence level):
# Cite as: Boden, T. A., Marland, G., and Andres, R. J.: Global, Regional, and National Fossil-Fuel CO2 Emissions, Oak Ridge National Laboratory, U.S. Department of Energy, Oak Ridge, Tenn., U.S.A., doi 10.3334/CDIAC/00001_V2017, 2017; available at: http://cdiac.ess-dive.lbl.gov/trends/emis/overview_2014.html
# 2015-2017 estimates are preliminary and are based on energy statistics published by BP (data in red in Column B). https://www.bp.com/content/dam/bp/en/corporate/pdf/energy-economics/statistical-review/bp-15stats-review-2018-full-report.pdf
# Emissions from land-use change (uncertainty of ±0.7 GtC/yr):
# Cite as: average of two bookkeeping models: Houghton, R. A. and Nassikas, A. A.: Global and regional fluxes of carbon from land use and land cover change 1850-2015, Global Biogeochemical Cycles, 31, 456-472, 2017;  Hansis, E., Davis, S. J., and Pongratz, J.: Relevance of methodological choices for accounting of land use change carbon fluxes, Global Biogeochemical Cycles, 29, 1230-1246, 2015.
# The atmospheric CO2 growth rate (variable uncertainty around 0.2 GtC/yr from 1980) is estimated directly from atmospheric CO2 concentration measurements, and provided by the US National Oceanic and Atmospheric Administration Earth System Research Laboratory (NOAA/ESRL).  http://www.esrl.noaa.gov/gmd/ccgg/trends/global.html
# Cite as: Dlugokencky, E. and Tans, P.: Trends in atmospheric carbon dioxide, National Oceanic & Atmospheric Administration, Earth System Research Laboratory (NOAA/ESRL), available at http://www.esrl.noaa.gov/gmd/ccgg/trends/global.html, 2018.
# 1959-1980 are based on Mauna Loa and South Pole stations as observed by the CO2 Program at Scripps Institution of Oceanography. http://scrippsco2.ucsd.edu/data/atmospheric_co2/
# 1980 onwards are global averages estimated from multiple stations run by NOAA/ESRL.
# The ocean sink (uncertainty of ±0.5 GtC/yr) is estimated from the average of several global ocean biogeochemistry models that reproduce the observed mean ocean sink of the 1990s.
# Cite as: Le Quéré et al. 2018b (see Summary tab).
# The land sink (uncertainty of ±0.9 GtC/yr on average) was estimated from the average of several dynamic global vegetation models that reproduce the observed mean total land sink of the 1990s.
# Cite as: Le Quéré et al. 2018b (see Summary tab).
# The budget imbalance is the sum of emissions (fossil fuel and industry + land-use change) minus (atmospheric growth + ocean sink + land sink); it is a measure of our imperfect data and understanding of the contemporary carbon cycle.
# Cite as: Le Quéré et al. 2018b (see Summary tab).
# Generated with openclimatedata 0.40.1 from the GCB Excel file 'Global_Carbon_Budget_2018v1.0.xlsx' from https://doi.org/10.18160/gcp-2018 
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,fossil fuel and industry,land-use change emissions,atmospheric growth,ocean sink,land sink,budget imbalance
1959,2.453377862175623,1.8105875,2.0352,0.8523759100000001,0.5160732038893334,0.8603162482862898
1960,2.568376024196962,1.6725925,1.5052,0.8190166344285715,1.394030036021288,0.5227218537471021
1961,2.5797237268452506,1.6075789999999999,1.6536000000000002,0.7148424527142857,0.6050982147596353,1.2137620593713292
1962,2.685098813534764,1.566764,1.1872000000000003,0.7567090670000001,1.3483486485510414,0.9596050979837223
1963,2.8327150537754875,1.5138090000000002,1.2084,0.904996694142857,0.8777942653149748,1.3553330943176558
1964,2.993811446773101,1.463909,1.0388,1.1417566454285715,1.4005760148243114,0.8765877865202185
1965,3.12940781166004,1.4176845,2.3320000000000003,1.2928284165714286,0.42322912438025706,0.499034770708354
1966,3.287542540322455,1.376039,2.3320000000000003,1.2767067074285714,1.2784244128086384,-0.22354957991475466
1967,3.3927427335497042,1.3547755000000001,1.2932000000000001,1.0702055614285715,1.6283938585402584,0.7557188135808746
1968,3.56535197647703,1.3537065,2.0988,1.1006783722857143,2.530557659478927,-0.8109775552876108
1969,3.7790467616883934,1.3626985,2.7984000000000004,1.1386738255714286,0.5042561394982124,0.7004152966187522
1970,4.051805399244495,1.3222525,2.3956,1.0878826755714286,0.44183971545725453,1.4487355082158122
1971,4.205708938864511,1.2846085,1.5476,1.1552501622857143,2.462389384627926,0.3250778919508708
1972,4.373359927410958,1.247343,3.1164,1.3726042435714285,1.0479743159853874,0.08372436785414195
1973,4.61063357787772,1.219347,3.0952,1.3803200572857146,1.4607379108813485,-0.10627739028934435
1974,4.618880652413738,1.179256,1.4416000000000002,1.288905904142857,4.071815438868273,-1.0041846905973921
1975,4.592150915119846,1.147874,2.6076,1.360718304714286,2.437260749324857,-0.6655541389192967
1976,4.858343999858853,1.1304835,2.0564,1.3709250322857145,2.95780246311856,-0.39629999554542117
1977,5.009672277654693,1.1061895,4.0704,1.4771376548571429,1.4178921111729177,-0.8495679883753677
1978,5.0659658440095185,1.069233,2.7348000000000003,1.494677941285714,2.8180625008302314,-0.9123415981064262
1979,5.347769870782978,1.0425105,4.5368,1.2957207214285715,1.5362415330080235,-0.9784818836536173
1980,5.291510470979757,1.0857835,3.604,1.648664414,0.5193541747523603,0.6052753822273971
1981,5.127489797479622,1.0957122161468749,2.4379999999999997,1.6072665698571431,2.274392563691387,-0.0964571199220341
1982,5.082990090552044,1.10755072307875,2.12,1.6744427335714285,1.5549001341077344,0.8411979459516301
1983,5.0626222811155595,1.149622054360625,3.9008000000000003,1.8284773534285714,0.2165196278004969,0.2664473542471164
1984,5.2447778511901415,1.1860191440575,2.6288,1.7489907415714288,2.832296742392596,-0.7792904887163843
1985,5.401916441748811,1.203916926249375,3.4556,1.690005787285714,2.640692346253598,-1.1804647655411262
1986,5.566580112921058,1.2417279364162501,2.1836,1.7885960474285716,2.251247213889719,0.5848647880190176
1987,5.707536433178642,1.2790880361931252,5.7028,1.8128180589999998,0.3175652995988524,-0.8465588892270848
1988,5.917333330232874,1.296568148855,4.748800000000001,1.7060040542857142,1.8901879753626463,-1.1310905505604874
