# Global Carbon Budget 2018 — Global_Carbon_Budget_2018v1.0.xlsx  — Ocean Sink
#
# Ocean CO2 sink (positive values represent a flux from the atmosphere to the ocean)
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide per year (GtCO2/yr), multiply the numbers below by 3.664.
# 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# Methods: The ocean sink (uncertainty of ±0.5 GtC/yr) is estimated from the average of several global ocean biogeochemistry models that reproduce the observed mean ocean sink of the 1990s.
# Cite individual estimates as:
# Model results used to compute the annual values:
# CCSM-BEC	Doney, S. C., Lima, I., Feely, R. A., Glover, D. M., Lindsay, K., Mahowald, N., Moore, J. K., and Wanninkhof, R.: Mechanisms governing interannual variability in upper-ocean inorganic carbon system and air–sea CO2 fluxes: Physical climate and atmospheric dust, Deep-Sea Res Pt Ii, 56, 640-655, 2009.
# NorESM-OC	Schwinger, J., Goris, N., Tjiputra, J. F., Kriest, I., Bentsen, M., Bethke, I., Ilicak, M., Assmann, K. M., and Heinze, C.: Evaluation of NorESM-OC (versions 1 and 1.2), the ocean carbon-cycle stand-alone configuration of the Norwegian Earth System Model (NorESM1), Geosci. Model Dev., 9, 2589-2622, 2016.
# MITgcm-REcoM2	Hauck, J., Kohler, P., Wolf-Gladrow, D., and Volker, C.: Iron fertilisation and century-scale effects of open ocean dissolution of olivine in a simulated CO2 removal experiment, Environmental Research Letters, 11, 024007, 2016.
# MPIOM-HAMOCC	Mauritsen, T., Bader, J., Becker, T., Behrens, J., Bittner, M., Brokopf, R., Brovkin, V., Claussen, M., Crueger, T., Esch, M., Fast, I., Fiedler, S., Popke, D., Gayler, V., Giorgetta, M., Goll, D., Haak, H., Hagemann, S., Hedemann, C., Hohenegger, C., Ilyina, T., Jahns, T., Jimenez Cuesta de la Otero, D., Jungclaus, J., Kleinen, T., Kloster, S., Kracher, D., Kinne, S., Kleberg, D., Lasslop, G., Kornblueh, L., Marotzke, J., Matei, D., Meraner, K., Mikolajewicz, U., Modali, K., Möbis, B., Müller, W., Nabel, J.E.M.S., Nam, C., Notz, D., Nyawira, S., Paulsen, H., Peters, K., Pincus, R., Pohlmann, H., Pongratz, J., Popp, M., Raddatz, T., Rast, S., Redler, R., Reick, C., Rohrschneider, T., Schemann, V., Schmidt, H., Schnur, R., Schulzweida, U., Six, K., Stein, L., Stemmler, I., Stevens, B., von Storch, J., Tian, F., Voigt, A., de Vrese, P., Wieners, K.-H., Wilkenskjeld, S., Roeckner, E. & Winkler, A. (in review). Developments in the MPI-M Earth System Model version 1.2 (MPI-ESM1.2) and its response to increasing CO2.
# NEMO3.6-PISCESv2-gas (CNRM)	Berthet, S., Séférian, R., Bricaud, C., Chevallier, M., Voldoire, A., Ethé, C. : On the benefits of increasing resolution for biogeochemistry climate modelling. Global Biogeochemical Cycles, submitted.
# NEMO-PISCES (IPSL)	Aumont, O. and Bopp, L.: Globalizing results from ocean in situ iron fertilization studies, Global Biogeochemical Cycles, 20, GB2017, 2006.
# NEMO-PlankTOM5	Buitenhuis, E. T., Rivkin, R. B., Sailley, S., and Le Quéré, C.: Biogeochemical fluxes through microzooplankton, Global Biogeochemical Cycles, 24, 2010.
# Data products used to evaluate the results:
# Landschützer	Landschützer, P., Gruber, N., and Bakker, D. C. E.: Decadal variations and trends of the global ocean carbon sink, Global Biogeochem. Cy., 30, 1396–1417, https://doi.org/10.1002/2015GB005359, 2016
# Rödenbeck	Rödenbeck, C., Bakker, D. C. E., Metzl, N., Olsen, A., Sabine, C., Cassar, N., Reum, F., Keeling, R. F., and Heimann, M.: Interannual sea–air CO2 flux variability from an observation-driven ocean mixed-layer scheme, Biogeosciences, 11, 4599-4613, 2014.
# Note: the data products include a pre-industrial steady state source of CO2 (of about 0.78 GtC/yr) and therefore are not directly comparable with the ocean model results.
# Generated with openclimatedata 0.40.1 from the GCB Excel file 'Global_Carbon_Budget_2018v1.0.xlsx' from https://doi.org/10.18160/gcp-2018 
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
#
# Data-based products
Year,Landschützer,Rödenbeck
1959,,
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,,
1972,,
1973,,
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,,
1982,1.2724785,1.79
1983,1.3148693,1.63
1984,1.3634522,1.84
1985,1.306471,1.88
1986,1.3535498,1.82
1987,1.4440843,1.59
1988,1.2744334,1.68
1989,1.1934438,1.49
1990,1.2739911,1.58
1991,1.3573507,1.92
1992,1.4091282,2.33
1993,1.4240122,2.03
1994,1.3162897,1.51
1995,1.1346385,1.49
1996,1.0244224,1.38
1997,1.2185135,1.63
1998,1.0071611,1.98
1999,0.7646746,1.57
2000,0.76064312,1.33
2001,0.76550484,0.96
2002,1.0319724,1.83
2003,1.2593735,2.04
2004,1.3030312,2.1
2005,1.4263388,1.81
2006,1.5642936,1.77
2007,1.5972043,1.57
2008,1.6758575,1.58
2009,1.8593605,1.99
2010,1.8173628,2.15
2011,1.9084985,2.14
2012,1.9897496,2.16
2013,1.8429035,2.37
2014,1.8539643,2.55
2015,2.0046849,2.07
2016,2.0606654,2.64
2017,2.0827813,2.24
