# Global Carbon Budget 2018 — Global_Carbon_Budget_2018v1.0.xlsx  — Ocean Sink
#
# Ocean CO2 sink (positive values represent a flux from the atmosphere to the ocean)
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide per year (GtCO2/yr), multiply the numbers below by 3.664.
# 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# Methods: The ocean sink (uncertainty of ±0.5 GtC/yr) is estimated from the average of several global ocean biogeochemistry models that reproduce the observed mean ocean sink of the 1990s.
# Cite individual estimates as:
# Model results used to compute the annual values:
# CCSM-BEC	Doney, S. C., Lima, I., Feely, R. A., Glover, D. M., Lindsay, K., Mahowald, N., Moore, J. K., and Wanninkhof, R.: Mechanisms governing interannual variability in upper-ocean inorganic carbon system and air–sea CO2 fluxes: Physical climate and atmospheric dust, Deep-Sea Res Pt Ii, 56, 640-655, 2009.
# NorESM-OC	Schwinger, J., Goris, N., Tjiputra, J. F., Kriest, I., Bentsen, M., Bethke, I., Ilicak, M., Assmann, K. M., and Heinze, C.: Evaluation of NorESM-OC (versions 1 and 1.2), the ocean carbon-cycle stand-alone configuration of the Norwegian Earth System Model (NorESM1), Geosci. Model Dev., 9, 2589-2622, 2016.
# MITgcm-REcoM2	Hauck, J., Kohler, P., Wolf-Gladrow, D., and Volker, C.: Iron fertilisation and century-scale effects of open ocean dissolution of olivine in a simulated CO2 removal experiment, Environmental Research Letters, 11, 024007, 2016.
# MPIOM-HAMOCC	Mauritsen, T., Bader, J., Becker, T., Behrens, J., Bittner, M., Brokopf, R., Brovkin, V., Claussen, M., Crueger, T., Esch, M., Fast, I., Fiedler, S., Popke, D., Gayler, V., Giorgetta, M., Goll, D., Haak, H., Hagemann, S., Hedemann, C., Hohenegger, C., Ilyina, T., Jahns, T., Jimenez Cuesta de la Otero, D., Jungclaus, J., Kleinen, T., Kloster, S., Kracher, D., Kinne, S., Kleberg, D., Lasslop, G., Kornblueh, L., Marotzke, J., Matei, D., Meraner, K., Mikolajewicz, U., Modali, K., Möbis, B., Müller, W., Nabel, J.E.M.S., Nam, C., Notz, D., Nyawira, S., Paulsen, H., Peters, K., Pincus, R., Pohlmann, H., Pongratz, J., Popp, M., Raddatz, T., Rast, S., Redler, R., Reick, C., Rohrschneider, T., Schemann, V., Schmidt, H., Schnur, R., Schulzweida, U., Six, K., Stein, L., Stemmler, I., Stevens, B., von Storch, J., Tian, F., Voigt, A., de Vrese, P., Wieners, K.-H., Wilkenskjeld, S., Roeckner, E. & Winkler, A. (in review). Developments in the MPI-M Earth System Model version 1.2 (MPI-ESM1.2) and its response to increasing CO2.
# NEMO3.6-PISCESv2-gas (CNRM)	Berthet, S., Séférian, R., Bricaud, C., Chevallier, M., Voldoire, A., Ethé, C. : On the benefits of increasing resolution for biogeochemistry climate modelling. Global Biogeochemical Cycles, submitted.
# NEMO-PISCES (IPSL)	Aumont, O. and Bopp, L.: Globalizing results from ocean in situ iron fertilization studies, Global Biogeochemical Cycles, 20, GB2017, 2006.
# NEMO-PlankTOM5	Buitenhuis, E. T., Rivkin, R. B., Sailley, S., and Le Quéré, C.: Biogeochemical fluxes through microzooplankton, Global Biogeochemical Cycles, 24, 2010.
# Data products used to evaluate the results:
# Landschützer	Landschützer, P., Gruber, N., and Bakker, D. C. E.: Decadal variations and trends of the global ocean carbon sink, Global Biogeochem. Cy., 30, 1396–1417, https://doi.org/10.1002/2015GB005359, 2016
# Rödenbeck	Rödenbeck, C., Bakker, D. C. E., Metzl, N., Olsen, A., Sabine, C., Cassar, N., Reum, F., Keeling, R. F., and Heimann, M.: Interannual sea–air CO2 flux variability from an observation-driven ocean mixed-layer scheme, Biogeosciences, 11, 4599-4613, 2014.
# Note: the data products include a pre-industrial steady state source of CO2 (of about 0.78 GtC/yr) and therefore are not directly comparable with the ocean model results.
# Generated with openclimatedata 0.40.1 from the GCB Excel file 'Global_Carbon_Budget_2018v1.0.xlsx' from https://doi.org/10.18160/gcp-2018 
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
#
# GCB
Year,GCB
1959,0.8523759100000001
1960,0.8190166344285715
1961,0.7148424527142857
1962,0.7567090670000001
1963,0.904996694142857
1964,1.1417566454285715
1965,1.2928284165714286
1966,1.2767067074285714
1967,1.0702055614285715
1968,1.1006783722857143
1969,1.1386738255714286
1970,1.0878826755714286
1971,1.1552501622857143
1972,1.3726042435714285
1973,1.3803200572857146
1974,1.288905904142857
1975,1.360718304714286
1976,1.3709250322857145
1977,1.4771376548571429
1978,1.494677941285714
1979,1.2957207214285715
1980,1.648664414
1981,1.6072665698571431
1982,1.6744427335714285
1983,1.8284773534285714
1984,1.7489907415714288
1985,1.690005787285714
1986,1.7885960474285716
1987,1.8128180589999998
1988,1.7060040542857142
1989,1.7129137858571428
1990,1.8406722972857144
1991,1.9198180097142858
1992,2.155371973571428
1993,2.072705591
1994,1.9541338857142858
1995,1.8958786174285716
1996,1.836136351857143
1997,1.9178378124285713
1998,2.088455123
1999,1.9687476524285714
2000,1.908294281857143
2001,1.773295723
2002,2.126848853857143
2003,2.160070041285714
2004,2.081377088428572
2005,2.1316335752857145
2006,2.2063973729999997
2007,2.2941113165714286
2008,2.194921466285714
2009,2.297702414
2010,2.2344443317142857
2011,2.411006540285715
2012,2.4596753060000003
2013,2.492617651285714
2014,2.5564891647142858
2015,2.580256968714285
2016,2.636438245857143
2017,2.5064764608571433
