# Global Carbon Budget 2019 — Fossil Emissions by Fuel Type
#
# Fossil fuel and cement production emissions by fuel type
# All values in million tonnes of carbon per year (MtC/yr), except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in million tonnes of CO2 per year, multiply the values below by 3.664
# 1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2
# Methods:
# 1959-2016 estimates for fossil fuel combustion and cement are from the Carbon Dioxide Information Analysis Center (CDIAC) at Oak Ridge National Laboratory, adjusted with revised China statistics from 1990.  http://cdiac.ornl.gov/trends/emis/meth_reg.html
# 2017-2018 estimates are preliminary and are based on energy statistics published by BP (data in red in Columns B, C, D, E and H). https://www.bp.com/en/global/corporate/energy-economics/statistical-review-of-world-energy.html
# Cement emissions are updated from Andrews (2018) https://www.earth-syst-sci-data.net/10/195/2018/
# and flaring is assumed to be constant since 2014 value (data in green in Column G).
# The uncertainty for the global estimates is about ±5 % for a ± 1 sigma confidence level.
# Cite as: Friedlingstein et al (2019; see summary tab) and Gilfillan, D., Marland, G., Boden, T. and Andres, R.: Global, Regional, and National Fossil-Fuel CO2 Emissions, available at: https://energy.appstate.edu/CDIAC, last access: 27 September 2019, 2019.
#
# MtC/yr
#
#
# Generated with openclimatedata 0.34.1 from the GCB Excel file from https://doi.org/10.18160/gcp-2019
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,Total,Coal,Oil,Gas,Cement,Flaring,Per Capita
1959,2417.2400738251113,1351.5681167678417,793.6654716218121,207.1440124704158,39.83694562635042,25.025527338690875,0.8112697658123856
1960,2550.2242462290897,1402.909631207572,852.2542862427961,227.89690671343556,42.834761445556545,24.32866061972936,0.8402854933297201
1961,2556.1831848758784,1344.313296073168,902.353569657643,240.8293561063459,45.15555774004745,23.531405298674244,0.8267505063204605
1962,2646.897506105517,1340.7736823181297,969.8837822505872,264.28758257667477,48.49973115182579,23.45272780829983,0.8401726875045963
1963,2796.805899529675,1395.511307512626,1039.2300789523476,286.2666944328506,51.09634823271742,24.701470399133708,0.8710074807484045
1964,2942.3055079237974,1421.0940167334488,1119.0809092454917,315.17991926437116,56.16685612191751,30.783806558568358,0.8986942502866974
1965,3078.978146860975,1444.5600148648225,1203.488047267827,336.5992382605627,58.7296424361472,35.601204031615396,0.9219646873421192
1966,3222.1559974400984,1457.5664287270145,1295.9536388257877,366.3320294066525,62.848090881660006,39.45580959898385,0.9454897740563136
1967,3325.2846040177737,1434.76326455857,1381.6400179896657,391.81315721677225,64.9985872133805,52.06957703938561,0.9558794172483929
1968,3506.7761238166026,1450.655575549164,1504.528546096109,426.3965589355967,69.57240580875751,55.6230374269755,0.9873794869351545
1969,3740.343099460153,1505.4387063253257,1627.9272061467002,467.1291268363232,73.2446672796149,66.60339287218846,1.031625088985024
1970,4050.1253838046337,1554.2384700695711,1853.4907071512093,489.546891291462,77.04494142382804,75.80437386856264,1.0944991992723212
1971,4213.719956047652,1554.6499586839636,1961.0399387802315,528.4718871537183,81.91621607262582,87.64195535711245,1.1159926434606104
1972,4409.5791903626405,1553.3484359792749,2114.2428322085993,560.8403533915274,86.56029181359264,94.58727696964748,1.1448545194587472
1973,4643.900982190476,1597.5656485705656,2261.8190218671352,583.0127092336941,91.78664478906565,109.71695773001457,1.1823219988894083
1974,4623.822415737487,1600.7707040099135,2229.060595528613,595.1953670181147,92.01792788914462,106.77782129170139,1.154860169404704
1975,4617.960293092419,1635.838303540673,2200.225724046566,598.7968821618731,91.27465347614054,91.82472986716694,1.131997119020602
1976,4862.957943350042,1709.0391914255836,2314.458435228547,634.1230122486099,97.43703612602995,107.90026832127026,1.1704808357770757
1977,4996.469166663815,1745.2189571468618,2399.3448371580707,646.0989909344592,101.73339985271008,104.07298157171277,1.181336330007248
1978,5179.521322002933,1798.3413095697963,2487.015274172803,679.6935282910083,108.00323757905518,106.46797239027012,1.2032712303899276
1979,5317.644322979317,1865.9947653997594,2525.551193929368,718.0131410388325,109.77686730404308,98.30835530731358,1.2139337787885551
1980,5292.225789323583,1921.4320246346078,2434.664379523745,739.2511088383632,110.50013274926911,86.3781435775968,1.1871291201776255
1981,5148.521496650671,1909.9062141559664,2315.5857078644253,747.7824396955315,110.47873252445041,64.76840241029838,1.134786240045959
1982,5110.302130409437,1944.3777486848214,2259.8437344542326,731.7805582809883,109.94306580804555,64.35702318134875,1.106752073694903
1983,5158.748238514669,2002.8869892468601,2241.1295433072823,743.9614248396788,112.59502002431398,58.17526109653329,1.0977065992247081
1984,5308.86403742206,2087.8980752389257,2251.892456327995,803.267096484077,114.73483524868291,51.07157412237908,1.1097096867654266
1985,5497.983372513077,2239.5195595348587,2256.5649381979492,836.4382807292565,115.81834097152473,49.64225307948718,1.1287357231309318
1986,5576.267062105061,2265.096664135459,2323.910395463626,820.31543235455,120.49666736817036,46.4479027832554,1.1241186817774709
1987,5757.050833937689,2346.9782858472727,2351.6736221113133,888.3990926022152,125.36256848568748,44.637264891200466,1.1394409893593465
1988,5977.267884411318,2427.0979046723032,2434.3832916225765,931.8147703683785,133.15819071799268,50.81372703006777,1.1616662789665981
1989,6067.326471673994,2434.1004203163407,2475.1785147407477,980.3910667463872,136.32119112566158,41.335278744857426,1.1584523482474711
1990,6200.201951215436,2388.9591013745135,2511.2024017592476,1053.7587589521274,136.8207480799638,62.484173613300435,1.163869537517595
1991,6329.408588445987,2367.7810504532176,2636.1821233282735,1074.8978454672645,140.37877103621915,66.51083783319577,1.169019250616552
1992,6131.66633303753,2307.4319870729387,2495.007821293923,1082.2689312475088,146.28643602499736,58.35520888917522,1.1150674216055894
1993,6199.877341556663,2337.4582845732757,2503.7643251958943,1112.0467141702845,151.78998688166448,57.296415068113845,1.110771117132898
1994,6243.946315332149,2350.6917726859374,2513.5107625419687,1122.8719562199883,161.58507310253452,57.98988194966616,1.102557030016916
1995,6378.7016018495515,2419.280206136179,2540.5710101660966,1152.022588270891,170.94449720840427,57.519165606150956,1.1104570156380253
1996,6577.389844519236,2477.8667778729555,2625.8929571661306,1202.8567942582467,174.5788268526519,58.54916689136823,1.1291865840344129
1997,6614.872562488479,2466.263033455301,2663.3700557060683,1208.6824689610505,179.79609004148057,59.90462556285526,1.1202068197220352
1998,6591.112380571013,2402.18464099725,2689.369799806418,1227.7638997308993,178.96892282251383,56.502834626604354,1.1013098269459205
1999,6674.814165179003,2384.713692173847,2748.954222224953,1263.8496126000368,186.92346488954382,54.43983735841703,1.1006845384295298
2000,6865.272805444425,2472.6671279145394,2799.0258558674664,1295.4362828966164,195.49421900765222,67.04613863808632,1.1174867271359874
2001,6922.620717308159,2485.6778936193796,2821.563072022934,1308.0579887853137,204.2715600907466,67.46906374040587,1.1124917427366137
2002,7074.07585474694,2592.5149206028345,2811.3380481564814,1347.7792954509953,215.777042876506,70.46827881162451,1.1225532312425301
2003,7414.836742189236,2803.9004401422176,2877.7335543477816,1393.7232876929208,232.17592986246035,70.46697598673325,1.1619842724702434
2004,7763.19804088034,2987.648968365036,2974.911835611946,1438.5315524662199,247.66387089425464,76.89586315253801,1.201517804079721
2005,8024.317631847922,3169.9479578619444,2999.558275969169,1472.825280924162,261.7422473670082,82.31857605011179,1.2266022122799456
2006,8290.304792504576,3349.829924370782,3021.6607031947055,1510.7106105701864,285.40785552172196,82.73041111630548,1.2516467837076293
2007,8537.702381401656,3510.6202310980925,3032.1893460540223,1561.485536799528,306.1008345368794,86.81200549085354,1.2731539449881846
2008,8732.095488918048,3646.1449520162387,3040.6008847218313,1605.872957926816,310.47392267046746,90.19604195886379,1.2861955253176742
2009,8605.967999730176,3602.5967097553043,2991.8764348157792,1570.6616219539387,320.0488508304714,88.10568082816734,1.2521838559749046
2010,9047.813838749611,3822.1039807287366,3066.5311178245106,1691.386490379404,340.9632353056593,90.01036018981463,1.3005668039143463
2011,9353.586149214254,4061.926869766547,3068.94912148982,1731.3389855975356,365.97787070871436,88.01557898536751,1.3284090382061813
2012,9495.930589140873,4105.687898922639,3124.151244109261,1764.9427332699784,374.84959758569306,89.478137384968,1.3326073139173498
2013,9541.32839602987,4075.1979051460394,3162.903157806066,1786.6247321263386,388.7261663453947,90.63139689258713,1.3232397090536692
2014,9613.765781816553,4076.6201496895046,3203.834671871633,1800.9657216135013,402.91009869091505,91.8762594283793,1.3178043331651297
2015,9617.533007146902,3995.960103509141,3259.429799987407,1841.5374435371812,391.5463189765502,92.46977645850374,1.303224577315431
2016,9656.027242560564,3941.288466150228,3308.7954153011715,1879.0895917852336,399.8082770448829,91.41722161843654,1.2936761412507134
2017,9773.607426431547,3952.9837442339344,3350.0779670071297,1938.0884333624808,402.8654390997881,93.68044836972308,1.294884751231825
2018,9981.646894153482,4006.654276184452,3391.248923789456,2042.9007635586254,411.23408789273225,93.69744836972308,1.3080235633191295
