# Global Carbon Budget 2019 — Global Carbon Budget
#
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide per year (GtCO2/yr) , multiply the numbers below by 3.664.
# Note: 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# All uncertainties represent ± 1 sigma error (68 % chance of being in the range provided)
# Emissions from fossil fuel combustion and industrial processes (uncertainty of ±5% for a ± 1 sigma confidence level):
# Cite as: Gilfillan, D., Marland, G., Boden, T. and Andres, R.: Global, Regional, and National Fossil-Fuel CO2 Emissions, available at: https://energy.appstate.edu/CDIAC, last access: 27 September 2019.
# Emissions from land-use change (uncertainty of ±0.7 GtC/yr):
# Cite as: average of two bookkeeping models: Houghton, R. A. and Nassikas, A. A.: Global and regional fluxes of carbon from land use and land cover change 1850-2015, Global Biogeochemical Cycles, 31, 456-472, 2017;  Hansis, E., Davis, S. J., and Pongratz, J.: Relevance of methodological choices for accounting of land use change carbon fluxes, Global Biogeochemical Cycles, 29, 1230-1246, 2015.
# The atmospheric CO2 growth rate (variable uncertainty around 0.2 GtC/yr from 1980) is estimated directly from atmospheric CO2 concentration measurements, and provided by the US National Oceanic and Atmospheric Administration Earth System Research Laboratory (NOAA/ESRL).  http://www.esrl.noaa.gov/gmd/ccgg/trends/global.html
# Cite as: Dlugokencky, E. and Tans, P.: Trends in atmospheric carbon dioxide, National Oceanic & Atmospheric Administration, Earth System Research Laboratory (NOAA/ESRL), available at http://www.esrl.noaa.gov/gmd/ccgg/trends/global.html, 2019.
# 1959-1980 are based on Mauna Loa and South Pole stations as observed by the CO2 Program at Scripps Institution of Oceanography. http://scrippsco2.ucsd.edu/data/atmospheric_co2/
# 1980 onwards are global averages estimated from multiple stations run by NOAA/ESRL.
# The ocean sink (uncertainty of ±0.5 GtC/yr) is estimated from the average of several global ocean biogeochemistry models that reproduce the observed mean ocean sink of the 1990s.
# Cite as: Friedlingstein et al. 2019 (see Summary tab).
# The land sink (uncertainty of ±0.9 GtC/yr on average) was estimated from the average of several dynamic global vegetation models that reproduce the observed mean total land sink of the 1990s.
# Cite as: Friedlingstein et al. 2019 (see Summary tab).
# The budget imbalance is the sum of emissions (fossil fuel and industry + land-use change) minus (atmospheric growth + ocean sink + land sink); it is a measure of our imperfect data and understanding of the contemporary carbon cycle.
# Cite as: Friedlingstein et al. 2019 (see Summary tab).
#
#
#
# Generated with openclimatedata 0.36 from the GCB Excel file 'Global_Carbon_Budget_2019v1.0.xlsx' from https://doi.org/10.18160/gcp-2019
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,fossil fuel and industry,land-use change emissions,atmospheric growth,ocean sink,land sink,budget imbalance
1959,2.4172400738251114,1.8103646677017209,2.0448,0.7567593563527443,0.5641968887348682,0.8618484964392198
1960,2.5502242462290896,1.6522492790985104,1.5122999999999998,0.790414326155164,1.3321507234237124,0.5676084757487234
1961,2.5561831848758785,1.5746800705947877,1.6614,0.6809901718857231,0.6874263368926754,1.1010467466922682
1962,2.646897506105517,1.5265188908233644,1.1928,0.7534451252065103,1.3188295126637515,0.9083417590586196
1963,2.796805899529675,1.4676559116210939,1.2140999999999997,0.8878919895797259,1.0916832158520364,1.0707866057190065
1964,2.9423055079237974,1.414413009628296,1.0436999999999999,1.0380866738943026,1.475604356546007,0.7993274871117841
1965,3.0789781468609747,1.362905536529541,2.343,1.1720919397997829,0.5354990459535923,0.39129269763714036
1966,3.2221559974400984,1.318462435020447,2.343,1.1491773176087159,1.4333009114812132,-0.3848597966293832
1967,3.325284604017774,1.295181525123596,1.2993,0.9664556790908194,1.6882888905689697,0.6664215594815812
1968,3.5067761238166026,1.290053425830841,2.1087,1.0702799805086107,2.4811281026337673,-0.863278533494934
1969,3.740343099460153,1.2956680158958436,2.8116,1.1070527412052173,0.5183535326459193,0.5990048415048604
1970,4.050125383804634,1.271824422969818,2.4069,1.032619186074328,0.4260514078901114,1.4563792128100126
1971,4.213719956047652,1.2471406268081666,1.5549,1.1282789480476443,2.5155912855511753,0.2620903492569995
1972,4.40957919036264,1.216660305469513,3.1311,1.3431401559696188,1.1668274559269232,-0.01482811606438883
1973,4.643900982190476,1.193009380886078,3.1098,1.299469135720022,1.3942980896058654,0.033343137750666774
1974,4.623822415737487,1.158836985736847,1.4484000000000001,1.2351677165300707,3.927686910652344,-0.8285952257080815
1975,4.61796029309242,1.1360972407569885,2.6199,1.2310947850881488,2.3945532132613923,-0.49149046450013234
1976,4.862957943350042,1.1212929113349914,2.0661,1.3210350069328811,2.982769383243508,-0.3856535354913557
1977,4.996469166663815,1.103117126514435,4.0896,1.398156021368469,1.424957879101951,-0.8131276072921698
1978,5.179521322002933,1.06598721295166,2.7477,1.4373897022997912,2.650031210556826,-0.5896123779020237
1979,5.317644322979317,1.038699279640198,4.5582,1.3563019686973874,1.4442559019907575,-1.002414268068631
1980,5.292225789323583,1.084985162540436,3.6209999999999996,1.6288639862170988,0.5011000715972916,0.6262468940496285
1981,5.148521496650671,1.102055435045648,2.4494999999999996,1.617185247781383,2.2502952362113158,-0.06640355229637951
1982,5.110302130409437,1.11744058761885,2.13,1.7025704274773776,1.4935962345432092,0.9015760560077
1983,5.158748238514669,1.1601088688595265,3.9405,1.8261309897537323,0.22743127897780077,0.324794838642662
1984,5.308864037422061,1.1983848308555953,2.6412,1.695264433235798,2.712689506913212,-0.5419050718713532
