# Global Carbon Budget 2019 — Ocean Sink
# 
# Ocean CO2 sink (positive values represent a flux from the atmosphere to the ocean)
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide per year (GtCO2/yr), multiply the numbers below by 3.664.
# 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# Methods: The ocean sink (uncertainty of ±0.5 GtC/yr) is estimated from the average of several global ocean biogeochemistry models that reproduce the observed mean ocean sink of the 1990s.
# Cite individual estimates as:
# Model results used to compute the annual values:
# CESM_ETH	Doney, S. C., Lima, I., Feely, R. A., Glover, D. M., Lindsay, K., Mahowald, N., Moore, J. K., and Wanninkhof, R.: Mech- anisms governing interannual variability in upper-ocean inor- ganic carbon system and air–sea CO2 fluxes: Physical cli- mate and atmospheric dust, Deep-Sea Res. Pt. II, 56, 640–655, https://doi.org/10.1016/j.dsr2.2008.12.006, 2009.
# CSIRO	Law, R. M., Ziehn, T., Matear, R. J., Lenton, A., Chamberlain, M. A., Stevens, L. E., Wang, Y.-P., Srbinovsky, J., Bi, D., Yan, H., and Vohralik, P. F.: The carbon cycle in the Australian Commu- nity Climate and Earth System Simulator (ACCESS-ESM1) – Part 1: Model description and pre-industrial simulation, Geosci. Model Dev., 10, 2567–2590, https://doi.org/10.5194/gmd-10- 2567-2017, 2017
# MITgcm-REcoM2	Hauck, J., Lenton, A. A., Langlais, C., & Matear, R. J. (2018). The fate of carbon and nutrients exported out of the Southern Ocean. Global Biogeochemical Cycles, 32, 1556–1573. https://doi.org/10.1029/2018GB005977
# MPIOM-HAMOCC	Mauritsen, T., Bader, J., Becker, T., Behrens, J., Bittner, M., Brokopf, R., Brovkin, V., Claussen, M., Crueger, T., Esch, M., Fast, I., Fiedler, S., Popke, D., Gayler, V., Giorgetta, M., Goll, D., Haak, H., Hagemann, S., Hedemann, C., Hohenegger, C., Ilyina, T., Jahns, T., Jimenez Cuesta de la Otero, D., Jungclaus, J., Kleinen, T., Kloster, S., Kracher, D., Kinne, S., Kleberg, D., Lasslop, G., Kornblueh, L., Marotzke, J., Matei, D., Meraner, K., Mikolajewicz, U., Modali, K., Möbis, B., Müller, W., Nabel, J.E.M.S., Nam, C., Notz, D., Nyawira, S., Paulsen, H., Peters, K., Pincus, R., Pohlmann, H., Pongratz, J., Popp, M., Raddatz, T., Rast, S., Redler, R., Reick, C., Rohrschneider, T., Schemann, V., Schmidt, H., Schnur, R., Schulzweida, U., Six, K., Stein, L., Stemmler, I., Stevens, B., von Storch, J., Tian, F., Voigt, A., de Vrese, P., Wieners, K.-H., Wilkenskjeld, S., Roeckner, E. & Winkler, A. (2019). Developments in the MPI-M Earth System Model version 1.2 (MPI-ESM1.2) and its response to increasing CO2.
# NEMO3.6-PISCESv2-gas (CNRM)	Berthet, S., Séférian, R., Bricaud, C., Chevallier, M., Voldoire, A., & Ethé, C. ( 2019). Evaluation of an online grid‐coarsening algorithm in a global eddy‐admitting ocean biogeochemical model. Journal of Advances in Modeling Earth Systems, 11, 1759– 1783. https://doi.org/10.1029/2019MS001644
# NEMO-PlankTOM5	Buitenhuis, E. T., Hashioka, T., Le Quéré, C. (2013) Combined constraints on global ocean primary production using observations and models Global Biogeochemical Cycles 27. pp. 847-858 doi:10.1002/gbc.20074
# NorESM-OC	Schwinger, J., Goris, N., Tjiputra, J. F., Kriest, I., Bentsen, M., Bethke, I., Ilicak, M., Assmann, K. M., and Heinze, C.: Evaluation of NorESM-OC (versions 1 and 1.2), the ocean carbon-cycle stand-alone configuration of the Norwegian Earth System Model (NorESM1), Geosci. Model Dev., 9, 2589-2622, 2016.
# MOM6-COBALT (Princeton)	Xiao Liu , John P. Dunne, Charles A. Stock, Matthew J. Harrison, Alistair Adcroft, and Laure Resplandy. Simulating Water Residence Time in the Coastal Ocean: A Global Perspective (in revision in GRL).
# NEMO-PISCES (IPSL)	Aumont, O., Ethé, Tagliabue, A., Bopp, L., & Gehlen, M. (2015). PISCES-v2: an ocean biogeochemical model for carbon and ecosystem studies.
# Data products used to evaluate the results:
# Landschützer	Landschützer, P., Gruber, N., and Bakker, D. C. E.: Decadal variations and trends of the global ocean carbon sink, Global Biogeochem. Cy., 30, 1396–1417, https://doi.org/10.1002/2015GB005359, 2016
# Rödenbeck	Rödenbeck, C., Bakker, D. C. E., Metzl, N., Olsen, A., Sabine, C., Cassar, N., Reum, F., Keeling, R. F., and Heimann, M.: Interannual sea–air CO2 flux variability from an observation-driven ocean mixed-layer scheme, Biogeosciences, 11, 4599-4613, 2014.
# CMEMS	Denvil-Sommer, A., Gehlen, M., Vrac, M., and Mejia, C.: LSCE-FFNN-v1: a two-step neural network model for the reconstruction of surface ocean pCO2 over the global ocean, Geosci. Model Dev., 12, 2091–2105, https://doi.org/10.5194/gmd-12-2091-2019, 2019.
# Note: the data products include a pre-industrial steady state source of CO2 (of about 0.78 GtC/yr) and therefore are not directly comparable with the ocean model results.
# 
# 
# 
# Generated with openclimatedata 0.33 from the GCB Excel file from 10.18160/gcp-2019
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
#
# Individual models
Year,CESM-ETH,CSIRO,MITgcm-REcoM2,MPIOM-HAMOCC,NEMO-PISCES (CNRM),NEMO-PlankTOM5,NorESM-OC,MOM6-COBALT (Princeton),NEMO-PISCES (IPSL),MMM (multi-model mean)
1959,0.858704102878138,1.04328067330276,0.462590541116318,0.797706787256134,0.541802315963606,0.933523684210526,1.10351055379658,0.351303637980662,0.718411910669975,0.7567593563527443
1960,0.811137109614206,1.04732831897997,0.606507598352506,0.72482840592382,0.683204659061545,0.944668421052631,1.07848330833749,0.473216551074585,0.744354562999724,0.790414326155164
1961,0.54878328230251,0.904648808858069,0.462590541116318,0.723444013334062,0.405533387601999,0.895226315789473,1.01264858634672,0.406737190613259,0.769299421009098,0.6809901718857231
1962,0.650767238211879,1.02810200201319,0.616787388155091,0.661245231979889,0.377310696236195,1.00130394736842,1.18713572737877,0.49703682906906,0.761317066446098,0.7534451252065103
1963,0.812204898958971,1.21429370316519,0.750424655588694,0.71236887261599,0.578580698556632,1.14486842105263,1.35860753763261,0.644392931715469,0.775286186931348,0.8878919895797259
1964,0.904840661359461,1.23048428587406,0.812103394404203,0.899855183343352,0.999365451359562,1.36978947368421,1.45288687996445,0.913135462933701,0.760319272125723,1.0380866738943026
1965,1.04570826699326,1.48852169779666,0.894341712824882,1.00625564238482,1.26050311290249,1.55256315789473,1.64335527412097,0.853356371058011,0.804222222222222,1.1720919397997829
1966,0.976352327005511,1.3114371994184,0.935460872035222,0.984303131318651,1.08261127348044,1.61456842105263,1.65662272954507,0.932116937983425,0.849122966639095,1.1491773176087159
1967,0.785369136558481,1.06250699026954,0.801823604601619,0.782775124323733,0.894741490854649,1.31345789473684,1.45962111870243,0.724735721441988,0.873070030328094,0.9664556790908194
1968,0.946635548071034,1.31953249077284,0.976580031245561,0.92071995737472,0.936364401915092,1.28508947368421,1.52424970838193,0.811364204309392,0.911984008822718,1.0702799805086107
1969,0.987805878750765,1.45512862095962,0.997139610850731,0.738573446636428,0.778428448900542,1.40514868421052,1.6273740209965,0.993044142613259,0.980831816928591,1.1070527412052173
1970,0.795764972443355,1.17381724639302,0.863502343417128,0.951176594349418,0.879919019183483,1.21345921052631,1.50595670166083,0.912182266320442,0.997794320374965,1.032619186074328
1971,0.947945101041028,1.41768789844536,1.03825877006107,0.971349172085906,0.951475759855175,1.30200921052631,1.55480506026773,0.981167594334254,0.989811965811965,1.1282789480476443
1972,1.32280967544396,1.7546544010737,1.19245561709984,1.09268129405978,1.01305455732311,1.6608697368421,1.80769080153307,1.1364936247348,1.10755169561621,1.3431401559696188
1973,1.00154611145131,1.47536684934571,1.09993750887658,1.02702153123121,1.1245230708098,1.73452631578947,1.86005704604788,1.22178693653591,1.15045685139233,1.299469135720022
1974,0.911599969381506,1.44703332960518,1.22329498650759,1.0402721460189,1.02645477701775,1.46370921052631,1.79954940843192,1.09005936542265,1.11453625585883,1.2351677165300707
1975,0.79238028169014,1.3569732132871,1.20273540690242,1.13569634952729,1.05809974487444,1.67383815789473,1.75120360495472,0.991396667842541,1.11752963881996,1.2310947850881488
1976,1.11516494182486,1.68280869030309,1.16161624769208,0.944551286955571,1.12965648554614,1.68376710526315,1.91875548519691,1.07360193293093,1.1793928866832,1.3210350069328811
1977,1.19612553582363,1.65751090482048,1.09993750887658,1.14360716432591,1.17127939660658,1.80564999999999,1.99041984669221,1.23770592780939,1.28116790736145,1.398156021368469
1978,1.24802412737293,1.74352337546135,1.16161624769208,1.31784286026558,1.15303464844452,1.74769736842105,1.93363111703604,1.30107774694475,1.33005982905982,1.4373897022997912
1979,1.25775511328842,1.84471451739179,1.13077687828433,0.902129542597956,1.17470167309747,1.59714210526315,1.79603152252402,1.1145366718674,1.38892969396195,1.3563019686973874
1980,1.50095924678505,2.02382283860865,1.55224826019031,1.38874353789824,1.35601578901041,1.84394736842105,2.08640787646503,1.47679390315745,1.4308370554177,1.6288639862170988
1981,1.47134320269442,2.04406106699474,1.60364720920323,1.41405814525383,1.23799160881085,1.74384736842105,2.09927328778536,1.5245752002569,1.41587014061207,1.617185247781383
1982,1.67288340477648,2.34358684710882,1.58308762959806,1.23596592709984,1.40932778152004,1.91952894736842,2.15937888129756,1.55357045830386,1.44580397022332,1.7025704274773776
1983,1.82599029393753,2.41644446929873,1.68588552762391,1.39952202306136,1.41103891976549,2.11192763157894,2.33366500027773,1.76399150488121,1.48671353735869,1.8261309897537323
1984,1.46570205143906,1.91352449390448,1.57280783979548,1.48288223400185,1.48259566043718,1.91902236842105,2.27727831472532,1.66284016496132,1.48072677143644,1.695264433235798
1985,1.38546674831598,2.0126918129963,1.61392699900582,1.26652144925952,1.32465970742263,2.02560657894736,2.25014033772149,1.42903226062707,1.53061648745519,1.6487402646390399
1986,1.43693218003674,2.02989430712448,1.72700468683425,1.55536507459424,1.46606205052057,1.99480657894736,2.2987876742765,1.47109845691988,1.58250179211469,1.7291614223743013
1987,1.64014458052663,2.27072922491891,1.72700468683425,1.45450218591179,1.73717765526725,2.11344736842105,2.24149638949064,1.57151604958839,1.65833416046319,1.8238169223802332
1988,1.54030627679118,1.92566743093613,1.73728447663684,1.5917548226679,1.23999163332522,1.87018815789473,2.11374687552074,1.64084055388121,1.70922167080231,1.707666877606251
1989,1.38105456215554,2.1290616262163,1.65504615821616,1.43284633040056,1.40134986283065,1.99318552631578,2.24672296283952,1.37945834886187,1.69724813895781,1.7017748351993545
1990,1.58356181873851,2.26465775640308,1.71672489703167,1.60915861522487,1.63255369476234,2.09743947368421,2.2759716713881,1.47768315743922,1.68926578439481,1.81633520767409
