# Global Carbon Budget 2020 — Global_Carbon_Budget_2020v1.0.xlsx  — Fossil Emissions by Category
#
# Fossil fuel and cement production emissions by fuel type
# All values in million tonnes of carbon per year (MtC/yr), except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in million tonnes of CO2 per year, multiply the values below by 3.664
# 1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2
# Methods: Full details of the method are described in Friedlingstein et al (2020).
# The uncertainty for the global estimates is about ±5 % for a ± 1 sigma confidence level.
# Cite as: Friedlingstein et al (2020; see summary tab)
#
# MtC/yr
# Generated with openclimatedata 0.38 from the GCB Excel file 'Global_Carbon_Budget_2020v1.0.xlsx' from https://doi.org/10.18160/gcp-2020
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,fossil emissions excluding carbonation,Coal,Oil,Gas,Cement emission,Flaring,Other,Per Capita
1959,2415.0,1349.0,794.0,207.0,40.0,25.0,0.0,0.81
1960,2548.0,1400.0,852.0,228.0,43.0,24.0,0.0,0.84
1961,2553.0,1342.0,902.0,241.0,45.0,24.0,0.0,0.83
1962,2644.0,1338.0,970.0,264.0,48.0,23.0,0.0,0.84
1963,2794.0,1392.0,1039.0,286.0,51.0,25.0,0.0,0.87
1964,2939.0,1418.0,1119.0,315.0,56.0,31.0,0.0,0.9
1965,3076.0,1441.0,1204.0,337.0,59.0,36.0,0.0,0.92
1966,3219.0,1454.0,1296.0,366.0,63.0,39.0,0.0,0.94
1967,3322.0,1431.0,1382.0,392.0,65.0,52.0,0.0,0.95
1968,3503.0,1447.0,1505.0,427.0,70.0,56.0,0.0,0.99
1969,3737.0,1502.0,1628.0,467.0,73.0,67.0,0.0,1.03
1970,4047.0,1550.0,1854.0,490.0,77.0,76.0,0.0,1.09
1971,4210.0,1551.0,1961.0,529.0,82.0,88.0,0.0,1.12
1972,4406.0,1549.0,2115.0,561.0,87.0,95.0,0.0,1.14
1973,4640.0,1593.0,2262.0,583.0,92.0,110.0,0.0,1.18
1974,4620.0,1596.0,2230.0,595.0,92.0,107.0,0.0,1.15
1975,4613.0,1631.0,2201.0,599.0,91.0,92.0,0.0,1.13
1976,4858.0,1704.0,2315.0,634.0,97.0,108.0,0.0,1.17
1977,4991.0,1740.0,2400.0,646.0,102.0,104.0,0.0,1.18
1978,5174.0,1793.0,2488.0,680.0,108.0,106.0,0.0,1.2
1979,5312.0,1860.0,2526.0,718.0,110.0,98.0,0.0,1.21
1980,5286.0,1915.0,2435.0,739.0,110.0,86.0,0.0,1.19
1981,5142.0,1903.0,2316.0,748.0,110.0,65.0,0.0,1.13
1982,5104.0,1938.0,2261.0,732.0,110.0,64.0,0.0,1.11
1983,5152.0,1996.0,2242.0,744.0,112.0,58.0,0.0,1.1
1984,5302.0,2081.0,2253.0,803.0,114.0,51.0,0.0,1.11
1985,5490.0,2232.0,2257.0,836.0,115.0,50.0,0.0,1.13
1986,5568.0,2257.0,2325.0,820.0,120.0,46.0,0.0,1.12
1987,5749.0,2338.0,2352.0,889.0,125.0,45.0,0.0,1.14
1988,5968.0,2418.0,2435.0,932.0,133.0,51.0,0.0,1.16
1989,6057.0,2424.0,2475.0,981.0,136.0,41.0,0.0,1.16
1990,6195.0,2380.0,2516.0,1054.0,136.0,68.0,41.0,1.16
1991,6324.0,2358.0,2641.0,1075.0,140.0,72.0,38.0,1.17
1992,6126.0,2299.0,2500.0,1083.0,146.0,63.0,35.0,1.11
1993,6191.0,2326.0,2507.0,1112.0,152.0,62.0,32.0,1.11
1994,6235.0,2340.0,2517.0,1122.0,162.0,63.0,31.0,1.1
1995,6368.0,2408.0,2542.0,1152.0,171.0,63.0,32.0,1.11
1996,6564.0,2466.0,2626.0,1203.0,174.0,64.0,31.0,1.13
1997,6602.0,2453.0,2667.0,1207.0,180.0,65.0,31.0,1.12
1998,6581.0,2388.0,2694.0,1227.0,179.0,62.0,31.0,1.1
1999,6668.0,2369.0,2758.0,1263.0,187.0,60.0,31.0,1.1
2000,6856.0,2456.0,2806.0,1295.0,195.0,72.0,31.0,1.12
2001,6914.0,2470.0,2830.0,1308.0,204.0,73.0,30.0,1.11
2002,7072.0,2576.0,2827.0,1347.0,215.0,76.0,31.0,1.12
2003,7417.0,2787.0,2899.0,1394.0,231.0,76.0,31.0,1.16
2004,7770.0,2969.0,3000.0,1439.0,247.0,82.0,33.0,1.2
2005,8027.0,3149.0,3022.0,1474.0,261.0,88.0,34.0,1.23
2006,8290.0,3328.0,3046.0,1508.0,285.0,88.0,35.0,1.25
2007,8541.0,3487.0,3063.0,1559.0,306.0,92.0,35.0,1.27
2008,8719.0,3619.0,3057.0,1603.0,310.0,96.0,34.0,1.28
2009,8587.0,3574.0,2999.0,1573.0,319.0,94.0,28.0,1.25
2010,9043.0,3802.0,3081.0,1694.0,339.0,96.0,31.0,1.3
2011,9337.0,4025.0,3083.0,1739.0,364.0,94.0,32.0,1.33
2012,9487.0,4067.0,3145.0,1773.0,374.0,95.0,32.0,1.33
2013,9549.0,4072.0,3174.0,1785.0,390.0,95.0,33.0,1.32
2014,9619.0,4079.0,3205.0,1799.0,405.0,98.0,33.0,1.32
2015,9610.0,3991.0,3252.0,1846.0,390.0,99.0,32.0,1.3
2016,9613.0,3920.0,3267.0,1894.0,399.0,101.0,31.0,1.29
2017,9742.0,3934.0,3323.0,1942.0,403.0,110.0,31.0,1.29
2018,9940.0,3990.0,3344.0,2044.0,413.0,117.0,31.0,1.3
2019,9945.62221592368,3919.91201741387,3371.75524206816,2078.52451728287,426.790548012906,117.220404217352,31.4194869285235,1.28938398227429
