# Global Carbon Budget 2020 — Land-Use Change Emissions
#
# Land-use change emissions
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide per year (GtCO2/yr), multiply the numbers below by 3.664.
# 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# Methods: The GCB estimate is the average of three bookkeeping models (uncertainty of ±0.7 GtC/yr). Individual results from dynamic global vegetation models are also provided.  Cite as: Friedlingstein et al (2020; see summary tab)
# Data below represents the net flux of land-use change, based on the net balance between deforestation and forest regrowth along with other land-use changes
# Cite individual estimates as:
# H&N	Houghton, R. A. and Nassikas, A. A.: Global and regional fluxes of carbon from land use and land cover change 1850-2015, Global Biogeochemical Cycles, 31, 456-472, 2017.
# BLUE	Hansis, E., Davis, S. J., and Pongratz, J.: Relevance of methodological choices for accounting of land use change carbon fluxes, Global Biogeochemical Cycles, 29, 1230-1246, 2015.
# OSCAR	Gasser, T., Crepin, L., Quilcaille, Y., Houghton, R. A., Ciais, P. and Obersteiner, M.: Historical CO 2 emissions from land use and land cover change and their uncertainty, Biogeosciences , 4075–4101, 2020.
# CABLE-POP	Haverd, V., Smith, B., Nieradzik, L., Briggs, P. R., Woodgate, W., Trudinger, C. M., Canadell, J. G., and Cuntz, M.: A new version of the CABLE land surface model (Subversion revision r4601) incorporating land use and land cover change, woody vegetation demography, and a novel optimisation-based approach to plant coordination of photosynthesis, Geosci. Model Dev., 11, 2995-3026, 2018.
# CLASSIC	Melton, J. R., Arora, V. K., Wisernig-cojoc, E., Seiler, C., Fortier, M. and Chan, E.: CLASSIC v1 . 0 : the open-source community successor to the Canadian Land Surface Scheme ( CLASS ) and the Canadian Terrestrial Ecosystem Model ( CTEM ) – Part 1 : Model framework and site-level performance, , 2825–2850, 2020.
# CLM5.0	Lawrence, D., Fisher, R., Koven, C., Oleson, K., Swenson, S., et al.: The Community Land Model version 5: Description of new features, benchmarking, and impact of forcing uncertainty, JAMES, accepted, 2019
# DLEM	Tian, H., G. Chen, C. Lu, X. Xu, D. J. Hayes, W. Ren, S. Pan, D.N. Huntzinger, S.C. Wofsy: North American terrestrial CO2 uptake largely offset by CH4 and N2O emissions: Toward a full accounting of the greenhouse gas budget, Climatic Change, 129:423-426, 2015
# IBIS	Yuan WP, Liu D, Dong WJ, Liu SG, Zhou GS, Yu GR, Zhao TB, Feng JM, Ma ZG, Chen JQ, Chen Y, Chen SP, Han SJ, Huang JP, Li LH, Liu HZ, Liu SM, Ma MG, Wang YF, Xia JZ, Xu WF, Zhang Q, Zhao XQ, Zhao L. 2014. Multiyear precipitation reduction strongly decreases carbon uptake over northern China. Journal of Geophysical Research: Biogeosciences, 119, 881-896.
# ISAM	Meiyappan, P., Jain, A. K., and House, J. I.: Increased influence of nitrogen limitation on CO2 emissions from future land use and land use change, Global Biogeochemical Cycles, 29, 1524-1548, 2015.
# ISBA-CTRIP	Delire, C., Séférian, R., Decharme, B., Alkama, R., Calvet, J., Carrer, D., Gibelin, A., Joetzjer, E., Morel, X., Rocher, M. and Tzanos, D.: The Global Land Carbon Cycle Simulated With ISBA‐CTRIP: Improvements Over the Last Decade, J. Adv. Model. Earth Syst., 12(9), doi:10.1029/2019MS001886, 2020.
# JSBACH	Mauritsen, T., Bader, J., Becker, T., Behrens, J., Bittner, M., Brokopf, R., Brovkin, V., Claussen, M., Crueger, T., Esch, M., Fast, I., Fiedler, S., Popke, D., Gayler, V., Giorgetta, M., Goll, D., Haak, H., Hagemann, S., Hedemann, C., Hohenegger, C., Ilyina, T., Jahns, T., Jimenez Cuesta de la Otero, D., Jungclaus, J., Kleinen, T., Kloster, S., Kracher, D., Kinne, S., Kleberg, D., Lasslop, G., Kornblueh, L., Marotzke, J., Matei, D., Meraner, K., Mikolajewicz, U., Modali, K., Möbis, B., Müller, W., Nabel, J.E.M.S., Nam, C., Notz, D., Nyawira, S., Paulsen, H., Peters, K., Pincus, R., Pohlmann, H., Pongratz, J., Popp, M., Raddatz, T., Rast, S., Redler, R., Reick, C., Rohrschneider, T., Schemann, V., Schmidt, H., Schnur, R., Schulzweida, U., Six, K., Stein, L., Stemmler, I., Stevens, B., von Storch, J., Tian, F., Voigt, A., de Vrese, P., Wieners, K.-H., Wilkenskjeld, S., Roeckner, E. & Winkler, A. (in review). Developments in the MPI-M Earth System Model version 1.2 (MPI-ESM1.2) and its response to increasing CO2.
# JULES-ES	Sellar, A. A., Jones, C. G., Mulcahy, J., Tang, Y., Yool, A., Wiltshire, A., O’Connor, F. M., Stringer, M., Hill, R., Palmieri, J., Woodward, S., Mora, L., Kuhlbrodt, T., Rumbold, S., Kelley, D. I., Ellis, R., Johnson, C. E., Walton, J., Abraham, N. L., Andrews, M. B., Andrews, T., Archibald, A. T., Berthou, S., Burke, E., Blockley, E., Carslaw, K., Dalvi, M., Edwards, J., Folberth, G. A., Gedney, N., Griffiths, P. T., Harper, A. B., Hendry, M. A., Hewitt, A. J., Johnson, B., Jones, A., Jones, C. D., Keeble, J., Liddicoat, S., Morgenstern, O., Parker, R. J., Predoi, V., Robertson, E., Siahaan, A., Smith, R. S., Swaminathan, R., Woodhouse, M. T., Zeng, G. and Zerroukat, M.: UKESM1: Description and evaluation of the UK Earth System Model (accepted), J. Adv. Model. Earth Syst., 2019MS001739, doi:10.1029/2019MS001739, 2019.
# LPJ-GUESS	Smith, B., Warlind, D., Arneth, A., Hickler, T., Leadley, P., Siltberg, J., and Zaehle, S.: Implications of incorporating N cycling and N limitations on primary production in an individual-based dynamic vegetation model, Biogeosciences, 11, 2027-2054, 2014.
# LPJ 	Poulter, B., Frank, D. C., Hodson, E. L., and Zimmermann, N. E.: Impacts of land cover and climate data selection on understanding terrestrial carbon dynamics and the CO2 airborne fraction, Biogeosciences, 8, 2027-2036, 2011.
# LPX-Bern	Lienert, S. and Joos, F.: A Bayesian ensemble data assimilation to constrain model parameters and land-use carbon emissions, Biogeosciences, 15, 2909-2930, 2018.
# OCNv2	Zaehle, S. and Friend, A. D.: Carbon and nitrogen cycle dynamics in the O-CN land surface model: 1. Model description, site-scale evaluation, and sensitivity to parameter estimates, Global Biogeochemical Cycles, 24, GB1005, 2010
# ORCHIDEEv3	Vuichard, N., Messina, P., Luyssaert, S., Guenet, B., Zaehle, S., Ghattas, J., Ipsl, L. and Paris-saclay, U.: Accounting for carbon and nitrogen interactions in the global terrestrial ecosystem model ORCHIDEE ( trunk version , rev 4999 ): multi-scale evaluation of gross primary production, , 4751–4779, 2019.
# SDGVM	Walker, A. P., Quaife, T., van Bodegom, P. M., De Kauwe, M. G., Keenan, T. F., Joiner, J., Lomas, M. R., MacBean, N., Xu, C. G., Yang, X. J., and Woodward, F. I.: The impact of alternative trait-scaling hypotheses for the maximum photosynthetic carboxylation rate (V-cmax) on global gross primary production, New Phytologist, 215, 1370-1386, 2017.
# VISIT	Kato, E., Kinoshita, T., Ito, A., Kawamiya, M. and Yamagata, Y.: Evaluation of spatially explicit emission scenario of land-use change and biomass burning using a process-based biogeochemical model, J. Land Use Sci., 8(1), 104–122, doi:10.1080/1747423x.2011.628705, 2013.
# YIBs	Yue, X. and Unger, N.: The Yale Interactive terrestrial Biosphere model version 1 . 0 : description , evaluation and implementation into NASA GISS, , 2399–2417, doi:10.5194/gmd-8-2399-2015, 2015.
#
#
#
# Generated with openclimatedata 0.33 from the GCB Excel file from 10.18160/gcp-2020
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
#
# Individual models
Year,CABLE-POP,CLASSIC,CLM5.0,DLEM,IBIS,ISAM,ISBA-CTRIP,JSBACH,JULES-ES,LPJ-GUESS,LPJ,LPX-Bern,OCNv2,ORCHIDEE-v3,SDGVM,VISIT,YIBs,MMM (multi-model mean),Model Spread (sd)
1959,1.88,1.58,2.32,2.603857454,1.85,1.6,1.56,1.22,1.66,1.83,1.5,1.22,2.28,1.189,2.38,1.89,2.26,1.813109262,0.42090143526918483
1960,1.64,0.35,2.14,2.734774178,1.38,1.66,1.4,1.1,1.63,2.08,1.11,1.23,2.39,1.312,2.81,1.66,2.13,1.6915749516470586,0.6138976210382823
1961,1.61,1.23,1.96,2.191459893,1.29,1.01,1.27,1.04,1.8,1.64,1.09,0.82,1.81,1.177,2.32,1.61,2.06,1.525203523117647,0.43732119605411035
1962,1.49,0.22,2.05,1.841463831,1.52,1.02,0.89,1.12,1.92,1.75,1.07,0.82,2.03,1.182,1.81,1.78,2.09,1.4472625782941175,0.5172575045293071
1963,1.83,0.44,1.96,1.904419475,1.58,0.82,0.86,1.24,1.87,1.09,0.93,0.36,1.74,0.885,2.82,1.56,2.11,1.411730557352941,0.6373024356000802
1964,1.67,0.17,1.96,1.875185952,1.69,1.07,0.84,1.21,1.77,1.62,0.99,0.77,1.76,0.997,1.68,1.51,2.1,1.393069761882353,0.5023412368202628
1965,1.23,0.63,1.55,1.724010035,1.48,1.35,0.96,1.3,1.94,1.68,0.7,0.81,1.81,0.928,0.63,1.62,2.02,1.3154123549999999,0.4514571387451786
1966,1.63,1.32,1.7,1.460036939,1.35,1.01,0.83,1.28,1.83,1.42,1.0,0.62,1.6,0.916,2.14,1.57,2.06,1.396237467,0.4120693667273748
1967,2.09,0.61,1.9,1.755449325,1.68,1.07,0.78,1.17,1.83,1.81,1.04,0.92,1.71,0.889,2.23,1.64,2.3,1.4955558426470592,0.5186316611189552
1968,2.15,1.14,1.85,1.921783259,1.46,0.97,0.79,1.26,1.88,1.85,0.99,0.79,1.61,0.866,2.62,1.47,2.26,1.5222225446470588,0.5404987790285287
1969,1.36,-0.09,1.57,2.000342161,1.13,0.96,0.69,1.25,1.66,1.72,1.08,0.72,1.62,0.824,1.41,1.5,2.05,1.2620201271176472,0.5217635896831292
1970,1.73,1.25,1.58,1.547429538,1.74,1.2,0.92,1.25,1.74,1.38,1.1,0.79,1.63,0.847,1.1,1.6,2.1,1.3826135022352946,0.35527168837201945
1971,1.94,0.94,1.76,1.908486804,1.58,0.71,0.61,1.15,1.83,2.08,1.21,0.96,1.42,0.755,2.64,1.59,2.1,1.4813815767058822,0.559989153906565
1972,1.54,1.38,1.59,1.370418072,1.46,0.8,0.59,1.18,1.68,1.96,1.08,0.83,1.53,0.611,1.25,1.41,2.07,1.313612827764706,0.4150428362377311
1973,1.68,1.69,1.65,1.928308905,1.09,0.81,0.64,1.13,1.47,1.78,1.07,0.68,1.28,0.813,2.95,1.51,2.2,1.4336064061764706,0.5825794396721733
1974,2.0,0.92,1.85,2.12080135,1.58,0.42,0.61,1.2,1.75,2.37,1.31,0.94,1.69,0.953,3.14,1.5,2.39,1.5731647852941175,0.6878911019083891
1975,1.54,0.78,1.81,1.587363547,2.05,0.63,0.84,1.24,1.78,1.49,1.11,0.51,2.05,0.653,2.23,1.57,2.29,1.4211978557058824,0.5674128678522554
1976,1.61,0.72,1.81,2.152125822,1.38,0.73,0.56,1.07,1.83,1.62,1.32,0.74,1.83,0.627,2.34,1.67,2.3,1.429948577764706,0.5797095955454501
1977,1.94,0.81,1.82,1.629662315,1.42,0.97,0.55,1.18,1.55,0.91,1.04,0.27,1.51,0.242,1.35,1.56,2.25,1.235391900882353,0.5497154200618413
1978,2.13,1.09,1.9,1.821572304,1.45,0.89,0.56,0.88,1.67,2.15,1.22,0.95,1.63,0.724,2.82,1.59,2.21,1.510916017882353,0.6026880490578136
1979,1.98,0.66,1.65,1.777231969,1.72,0.97,0.72,1.62,1.75,1.34,0.86,0.77,1.78,0.567,0.99,1.64,2.31,1.3590724687647058,0.5182048703777272
1980,1.63,0.74,1.77,1.218776493,1.69,0.95,0.67,1.26,1.58,0.79,0.91,0.77,1.66,0.366,0.93,1.85,2.31,1.2408692054705883,0.5143021310155221
1981,1.73,1.28,2.01,1.684530201,1.53,0.82,0.71,1.57,1.7,1.62,1.13,0.78,1.51,0.707,2.6,1.63,2.49,1.5000900118235294,0.5441345128542321
1982,1.75,0.47,1.99,1.839869734,1.63,1.23,0.82,1.58,1.88,1.88,1.21,0.82,1.88,0.763,0.75,1.78,2.4,1.4513452784705883,0.5407585436668865
1983,2.11,1.04,2.17,1.816878299,1.42,1.1,0.96,1.76,1.71,0.84,1.06,1.0,1.44,0.462,1.96,1.77,2.39,1.4711104881764705,0.5272217744203098
1984,1.86,1.03,1.86,2.387638647,2.19,0.8,0.96,1.59,1.7,1.97,1.2,1.01,1.79,0.687,1.69,1.78,2.52,1.5896846262941178,0.5362195950715698
1985,1.31,0.85,1.92,2.250977523,1.6,1.04,0.95,1.54,1.76,2.39,1.18,0.96,1.74,0.643,1.79,1.88,2.59,1.5525869131176468,0.5498665464680599
1986,1.82,1.18,2.4,1.701732537,1.85,1.02,1.02,1.71,1.88,1.79,1.22,0.94,1.74,0.63,1.55,1.68,2.61,1.5730430904117643,0.5025930428650041
1987,2.33,0.75,2.2,2.140802645,1.68,1.1,0.92,1.73,1.71,1.02,1.04,0.88,1.62,0.354,1.31,1.62,2.54,1.4673413320588233,0.5963571779997109
1988,2.37,0.3,2.23,1.919291036,1.92,0.98,0.88,1.78,1.8,0.93,1.0,0.74,1.58,0.646,2.32,1.9,2.61,1.5238406491764707,0.679457334134957
1989,1.54,1.38,2.21,2.377680791,2.13,1.03,0.77,2.06,2.05,1.94,1.03,0.69,2.0,0.954,2.42,1.87,2.81,1.7212753406470591,0.6203875625700034
1990,1.98,1.83,2.16,1.965811157,1.41,1.32,1.19,1.69,1.75,2.14,1.07,0.9,1.81,0.503,1.62,1.51,2.75,1.6234594798235293,0.519590953386278
1991,2.13,1.19,1.88,1.833974518,1.59,0.99,1.07,1.32,1.8,1.27,0.95,0.61,1.71,0.684,1.15,1.52,2.62,1.4304690892941176,0.5131796881973916
1992,1.51,1.07,1.73,1.645732284,1.49,1.07,0.76,1.34,1.97,1.38,0.89,0.73,1.53,0.403,1.0,1.53,2.46,1.324043075529412,0.489183751775783
1993,1.63,0.89,1.74,1.976975389,1.1,0.85,0.58,1.2,1.75,2.15,0.98,0.83,1.24,0.581,1.32,1.44,2.33,1.328704434647059,0.5165239940699057
1994,1.96,0.38,1.92,1.10669755,1.44,0.97,0.94,0.99,1.84,0.8,0.76,0.14,1.78,0.523,0.48,1.48,2.42,1.17233515,0.6302671469278682
1995,1.43,1.34,1.66,1.333475243,1.51,0.83,0.63,1.27,1.92,1.09,0.65,0.33,1.34,0.458,1.68,1.44,2.47,1.2577338378235294,0.5351753592755278
1996,1.52,0.99,1.47,1.678174065,1.71,0.84,0.65,1.15,1.9,2.38,0.82,0.78,1.43,0.544,1.77,1.52,2.28,1.3783631802941176,0.5358916828108783
1997,1.77,1.7,1.56,1.649368098,1.01,0.84,0.65,1.37,2.03,1.7,0.87,0.77,1.44,0.372,2.36,1.44,2.32,1.4030216528235293,0.5602684877250831
1998,2.05,1.09,1.72,0.784284199,1.29,0.95,0.94,1.66,1.65,1.0,0.75,0.28,1.45,0.443,1.7,1.27,2.43,1.2621931881764703,0.5507541755499326
1999,1.78,0.51,1.71,1.707226518,2.12,0.76,0.83,1.45,2.11,1.13,0.8,0.42,1.63,0.647,1.61,1.55,2.57,1.3726015598823529,0.6098425865604917
2000,1.45,0.97,1.66,1.858387615,1.58,0.81,0.55,1.46,2.0,1.45,1.06,0.5,1.64,0.604,1.82,1.69,2.85,1.4089639773529414,0.589749159361825
2001,1.66,1.35,2.17,1.738316116,1.77,1.55,1.15,1.52,1.94,1.6,0.91,0.45,1.97,0.672,1.69,1.41,2.86,1.5535480068235294,0.5508193339740878
