# Global Carbon Budget 2020 — Global_Carbon_Budget_2020v1.0.xlsx  — Ocean Sink
#
# Ocean CO2 sink (positive values represent a flux from the atmosphere to the ocean)
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide per year (GtCO2/yr), multiply the numbers below by 3.664.
# 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# Methods: The ocean sink (uncertainty of ±0.4 GtC/yr on average) is estimated from the average of several global ocean biogeochemistry models that reproduce the observed mean ocean sink of the 1990s.  Cite as: Friedlingstein et al (2020; see summary tab)
# Note: the data products include a pre-industrial steady state source of CO2 from rivers (of about 0.61 GtC/yr) and therefore are not directly comparable with the ocean model results
# Cite individual estimates as:
# Model results used to compute the annual values:
# CESM_ETH	Doney, S. C., Lima, I., Feely, R. A., Glover, D. M., Lindsay, K., Mahowald, N., Moore, J. K., and Wanninkhof, R.: Mech- anisms governing interannual variability in upper-ocean inor- ganic carbon system and air–sea CO2 fluxes: Physical cli- mate and atmospheric dust, Deep-Sea Res. Pt. II, 56, 640–655, https://doi.org/10.1016/j.dsr2.2008.12.006, 2009.
# CSIRO	Law, R. M., Ziehn, T., Matear, R. J., Lenton, A., Chamberlain, M. A., Stevens, L. E., Wang, Y.-P., Srbinovsky, J., Bi, D., Yan, H., and Vohralik, P. F.: The carbon cycle in the Australian Commu- nity Climate and Earth System Simulator (ACCESS-ESM1) – Part 1: Model description and pre-industrial simulation, Geosci. Model Dev., 10, 2567–2590, https://doi.org/10.5194/gmd-10- 2567-2017, 2017
# FESOM-1.4-REcoM2	Hauck, J., Zeising, M., Le Quéré, C., Gruber, N., Bakker, D. C. E., Bopp, L., et al. (2020). Consistency and Challenges in the Ocean Carbon Sink Estimate for the Global Carbon Budget. Frontiers in Marine Science, 7. https://doi.org/10.3389/fmars.2020.571720
# MPIOM-HAMOCC6	Paulsen, H., Ilyina, T., Six, K. D. and Stemmler, I.: Incorporating a prognostic representation of marine nitrogen fixers into the global ocean biogeochemical model HAMOCC, J. Adv. Model. Earth Syst., 9(1), 438–464, doi:10.1002/2016MS000737, 2017.
# NEMO3.6-PISCESv2-gas (CNRM)	Berthet, S., Séférian, R., Bricaud, C., Chevallier, M., Voldoire, A., & Ethé, C. ( 2019). Evaluation of an online grid‐coarsening algorithm in a global eddy‐admitting ocean biogeochemical model. Journal of Advances in Modeling Earth Systems, 11, 1759– 1783. https://doi.org/10.1029/2019MS001644
# NEMO-PlankTOM5	Buitenhuis, E. T., Hashioka, T., Le Quéré, C. (2013) Combined constraints on global ocean primary production using observations and models Global Biogeochemical Cycles 27. pp. 847-858 doi:10.1002/gbc.20074
# MICOM-HAMOCC (NorESM-OCv1.2)	Schwinger, J., Goris, N., Tjiputra, J. F., Kriest, I., Bentsen, M., Bethke, I., Ilicak, M., Assmann, K. M., and Heinze, C.: Evaluation of NorESM-OC (versions 1 and 1.2), the ocean carbon-cycle stand-alone configuration of the Norwegian Earth System Model (NorESM1), Geosci. Model Dev., 9, 2589-2622, 2016.
# MOM6-COBALT (Princeton)	Liao, E., Resplandy, L., Liu, J. and Bowman, K. W.: Amplification of the Ocean Carbon Sink During El Niños: Role of Poleward Ekman Transport and Influence on Atmospheric CO 2, Global Biogeochem. Cycles, 34(9), doi:10.1029/2020GB006574, 2020.
# NEMO-PISCES (IPSL)	Aumont, O., Ethé, Tagliabue, A., Bopp, L., & Gehlen, M. (2015). PISCES-v2: an ocean biogeochemical model for carbon and ecosystem studies.
# Data products used to evaluate the results:
# Landschützer	Landschützer, P., Gruber, N., and Bakker, D. C. E.: Decadal variations and trends of the global ocean carbon sink, Global Biogeochem. Cy., 30, 1396–1417, https://doi.org/10.1002/2015GB005359, 2016
# Rödenbeck	Rödenbeck, C., Bakker, D. C. E., Metzl, N., Olsen, A., Sabine, C., Cassar, N., Reum, F., Keeling, R. F., and Heimann, M.: Interannual sea–air CO2 flux variability from an observation-driven ocean mixed-layer scheme, Biogeosciences, 11, 4599-4613, 2014.
# CMEMS	Denvil-Sommer, A., Gehlen, M., Vrac, M., and Mejia, C.: LSCE-FFNN-v1: a two-step neural network model for the reconstruction of surface ocean pCO2 over the global ocean, Geosci. Model Dev., 12, 2091–2105, https://doi.org/10.5194/gmd-12-2091-2019, 2019.
# CSIR-ML6	Gregor, L., Lebehot, A. D., Kok, S. and Scheel Monteiro, P. M.: A comparative assessment of the uncertainties of global surface ocean CO2 estimates using a machine-learning ensemble (CSIR-ML6 version 2019a)-Have we hit the wall?, Geosci. Model Dev., 12(12), 5113–5136, doi:10.5194/gmd-12-5113-2019, 2019.
# Watson et al.	Watson, A. J., Schuster, U., Shutler, J. D., Holding, T., Ashton, I. G. C., Landschützer, P., Woolf, D. K. and Goddijn-Murphy, L.: Revised estimates of ocean-atmosphere CO2 flux are consistent with ocean carbon inventory, Nat. Commun., 11(1), 1–6, doi:10.1038/s41467-020-18203-3, 2020.
# Generated with openclimatedata 0.38.1 from the GCB Excel file 'Global_Carbon_Budget_2020v1.0.xlsx' from https://doi.org/10.18160/gcp-2020
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
#
# Data-based products
Year,MPI-SOMFFN,Jena-MLS,CMEMS,CSIR,Watson,mean data-products (excl. Watson.)
1959,,,,,,
1960,,,,,,
1961,,,,,,
1962,,,,,,
1963,,,,,,
1964,,,,,,
1965,,,,,,
1966,,,,,,
1967,,,,,,
1968,,,,,,
1969,,,,,,
1970,,,,,,
1971,,,,,,
1972,,,,,,
1973,,,,,,
1974,,,,,,
1975,,,,,,
1976,,,,,,
1977,,,,,,
1978,,,,,,
1979,,,,,,
1980,,,,,,
1981,,,,,,
1982,1.38416250272237,1.43761655172413,,0.679958844054755,,1.167245966167085
1983,1.39418369061323,1.58736827586206,,0.895818794548328,,1.2924569203412062
1984,1.4572383559939,1.45758344827586,,0.971369777221079,,1.2953971938302795
1985,1.43944793254721,1.40766620689655,0.833248288736776,0.982162774745757,,1.1656313007315733
1986,1.47581696275784,1.49751724137931,0.889548848786558,1.10088574751722,,1.240942200110232
1987,1.61937892411561,1.5773848275862,1.08097075295581,1.30595270048611,,1.3959218012859322
1988,1.37425391244827,1.24793103448275,1.12601120099564,1.16564373266529,2.08673102158273,1.2284599701479872
1989,1.28034750007778,1.19801379310344,1.08097075295581,1.14405773761593,2.00518635971222,1.17584744593824
1990,1.40960956410814,1.38769931034482,1.18231176104542,1.33833169306015,2.02934774100719,1.3294880821396324
1991,1.52243237609284,1.80700413793103,1.30617299315494,1.44626166830694,1.95467657553956,1.5204677938714375
1992,1.52220718085933,2.20634206896551,1.30617299315494,1.57577763860308,2.09225064748201,1.652624970395715
1993,1.59077912946081,1.92680551724137,1.43003422526446,1.59736363365244,2.09297965467625,1.63624562640477
1994,1.49394517905478,1.64726896551724,1.46381456129433,1.54339864602904,1.96925671942446,1.5371068379738475
1995,1.24060054136461,1.61731862068965,1.43003422526446,1.42467567325758,1.958113323741,1.4281572651440748
1996,1.18655368532404,1.55741793103448,1.39625388923459,1.44626166830694,1.86802886330935,1.3966217934750125
1997,1.3342817585016,1.92680551724137,1.52011512134411,1.59736363365244,2.08693930935251,1.59464150768488
1998,1.02873686568557,2.29619310344827,1.4975948973242,1.60815663117711,2.02028722302158,1.6076703744087875
1999,0.761610279705049,1.8669048275862,1.29491288114499,1.28436670543676,1.72680975539568,1.3019486734682497
2000,0.794815316884975,1.62730206896551,1.30617299315494,1.33833169306015,1.73941116546762,1.2666555180163936
2001,0.800220002489032,1.29784827586206,1.29491288114499,1.28436670543676,1.69400443165467,1.1693369662332105
2002,1.12256445972433,2.13645793103448,1.52011512134411,1.68370761384987,1.94853208633093,1.6157112814881978
2003,1.41737879966398,2.35609379310344,1.56515556938394,1.75925859652262,2.01018526618705,1.774471689668495
2004,1.43742117544569,2.34611034482758,1.54263534536403,1.77005159404729,2.04736463309352,1.7740546149211476
2005,1.60147590305217,2.07655724137931,1.63271624144368,1.82401658167069,2.09735369784172,1.7836914918864626
2006,1.74357409539217,2.20634206896551,1.80161792159303,1.98591154454087,2.27033669064748,1.934361407622895
2007,1.82689633178805,1.92680551724137,1.80161792159303,2.03987653216426,2.21639015827338,1.8987990756966775
2008,1.93341367723468,2.07655724137931,1.79035780958307,2.03987653216426,2.32074233093525,1.96005131509033
2009,2.15680734886904,2.48587862068965,1.98177971375233,2.33128746533058,2.58693410071942,2.2389382871603996
2010,2.10332348091223,2.43596137931034,1.97051960174237,2.29890847275655,2.61359493525179,2.2021782336803724
2011,2.16851750101116,2.38604413793103,1.9367392657125,2.32049446780591,2.69211942446043,2.2029488431151503
2012,2.25533026352633,2.38604413793103,1.98177971375233,2.35287346037994,2.79261827338129,2.2440068938974074
2013,2.09048735260259,2.57572965517241,2.07186060983198,2.41763144552801,2.88228615827338,2.288927265783747
2014,2.12843274944774,2.74544827586206,2.18446172993154,2.55794041334884,2.92258984172661,2.404070792147545
2015,2.28719538906692,2.41599448275862,2.43218419415059,2.62269839849691,2.98601346762589,2.43951811611826
2016,2.31680856227248,2.77539862068965,2.54478531425015,2.87093734156452,3.20159130935251,2.6269824596942
2017,2.28483083911514,2.77539862068965,2.56730553827006,2.78459336136709,3.43185343884892,2.603032089860485
2018,2.29440163653899,2.87523310344827,2.64612632233976,2.9788673168113,3.49881795683453,2.69865709478458
2019,2.45507843564294,2.70551448275862,2.93888923459863,2.95728132176195,3.51298152517985,2.764190868690535
