# Global Carbon Budget 2021 — Fossil Emissions by Category
#
# Fossil fuel and cement production emissions by fuel type
# All values in million tonnes of carbon per year (MtC/yr), except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in million tonnes of CO2 per year, multiply the values below by 3.664
# 1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2
# Methods: Full details of the method are described in Friedlingstein et al (2021) and Andrew and Peters (2021)
# The uncertainty for the global estimates is about ±5 % for a ± 1 sigma confidence level.
# Cite as: Friedlingstein et al (2021; see summary tab)
#
# MtC/yr
#
#
# Generated with openclimatedata 0.34.1 from the GCB Excel file from https://doi.org/10.18160/gcp-2021
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,fossil.emissions.excluding.carbonation,Coal,Oil,Gas,Cement.emission,Flaring,Other,Per.Capita
1959,2417.13282396274,1350.3310952112,792.950715333406,206.897209871987,39.6661173646559,25.0255273386909,2.26215884279476,0.81123377080648
1960,2562.17532950871,1406.16253392522,853.475736795873,227.717109774923,42.983867881274,24.3286606197294,7.50742051169101,0.844223312493776
1961,2570.58768545191,1349.06692100467,904.514376091026,240.672286568609,44.8282013653523,23.5314052986742,7.97449512357886,0.831409377490175
1962,2661.37089897385,1345.13080461965,972.303780060086,264.051783531459,48.1684212846063,23.4527278082998,8.26338166974888,0.844766801691281
1963,2803.46344743521,1394.47224438077,1039.1755133125,285.648737468278,50.799711895525,24.7014703991337,8.66576997900289,0.873080836654203
1964,2955.74985015674,1423.30856231004,1121.21003377079,314.589907700393,56.3104729640366,30.7838065585684,9.54706685291497,0.902800673984406
1965,3088.94179048108,1444.60994282155,1204.39413202731,335.791630886126,59.1202185075045,35.6012040316154,9.42466220697639,0.924948186131926
1966,3238.8800697062,1460.46496344895,1299.80046016746,365.622614048454,63.650604580489,39.4558095989838,9.8856178618647,0.950397183666756
1967,3341.81051273785,1437.22913644636,1385.79601525573,391.031035279594,65.5320124473357,52.0695770393856,10.1527362694529,0.960629920702371
1968,3523.8302411595,1452.8351642915,1509.4735059681,425.589951988678,69.7762160331943,55.6223411558745,10.5330617221611,0.992181300634582
1969,3757.60827102091,1507.048848082,1632.3421449449,466.23870786775,73.9920406967111,66.6033928721885,11.3831365573563,1.03638700084019
1970,4066.20508819402,1554.66251262619,1856.16354681235,488.646305573423,78.824760055953,75.8037434443398,12.1042196817581,1.09884455204809
1971,4230.2557031101,1555.64129351735,1965.78257574486,527.584286503754,81.3367329704306,87.7215634873415,12.1892508863662,1.12037209256219
1972,4427.60351388648,1553.95550507866,2119.63013298555,559.980919364097,86.2512696125268,94.6655129466924,13.1201738989613,1.14953415607613
1973,4661.61075469646,1597.72090171124,2266.25703997269,582.410229964135,91.3823225185911,109.749899308863,14.0903612209382,1.18683084903704
1974,4642.77952698094,1601.08200810509,2234.27877716979,594.864655315451,91.452570646178,106.803568763197,14.297946981231,1.15959495606682
1975,4652.98553857673,1640.3930430659,2215.01671488833,601.85150997243,90.9658335952427,91.8847608632855,12.8736761915478,1.14058283099403
1976,4908.70669076019,1717.45038914603,2334.56146336838,640.207996058996,94.9284676043976,107.907516895093,13.650857687288,1.18149224749977
1977,5048.15256446881,1754.94450297074,2423.40547568206,652.675510500343,99.4641527443839,104.100739351657,13.5621832196241,1.19355605426625
1978,5204.59322297066,1800.68308983363,2497.16802807705,680.675925390562,105.649428976785,106.476848510463,13.9399021821708,1.20909576421267
1979,5352.47711497914,1871.46662312684,2539.53531509495,721.654699166987,107.215649379433,98.2860849423558,14.3187432685752,1.22188555221488
1980,5320.5381660755,1925.53845125544,2445.72239908611,741.751468714783,108.009355697036,86.360821200895,13.1556701212294,1.19348002965156
1981,5193.51315554345,1920.91758970873,2333.21094578227,754.036850617299,107.883735872963,64.7260879289676,12.7379456332243,1.14470285697406
1982,5152.2626077705,1954.37470779975,2276.47249201901,737.327838040736,107.50919942404,64.293075045958,12.2852954410126,1.11583956874852
1983,5185.63927976013,2007.67907500047,2250.69830086209,746.014143245086,109.983445722561,58.0905716789945,13.1737432509243,1.10342862171357
1984,5365.4555069036,2102.83878214042,2274.25637126571,810.837635733163,112.29710907312,50.9690069364763,14.256601754712,1.12153897857424
1985,5545.82696432764,2250.95944889576,2274.51774016919,842.038563579517,113.704511239834,49.5214646138809,15.0852358294664,1.13855801023969
1986,5628.34390325099,2278.42393842052,2343.20183338976,825.535220121835,118.59643908025,46.3067143205572,16.2797579180563,1.13461684288922
1987,5804.90354340745,2357.46196692552,2365.82863052711,893.059452981487,123.757421222475,44.4887596586353,20.3073120922159,1.1489120432365
1988,6032.9836316422,2438.09441469199,2451.03217233923,938.021237078108,130.870726623047,50.6302146434513,24.3348662663755,1.17249448777657
1989,6116.38451304683,2444.57965611183,2494.46072986288,978.202999202883,134.351578223703,41.1243749730501,23.6651746724891,1.16781914324262
1990,6206.96711067073,2378.32847026966,2515.00658587082,1048.66814102455,135.140208214809,68.8077284358452,61.0159768550435,1.165139457928
1991,6340.28687877195,2355.89501994967,2644.06352368747,1069.84530053617,138.693749603617,72.8401524135888,58.9491325814364,1.1710284321423
1992,6157.62759204954,2301.26598066376,2506.52621685087,1081.85059837982,144.478864677975,64.4392627177345,59.0666687593772,1.1197885777442
1993,6221.37946392934,2327.98270993015,2509.66553814815,1111.14468858579,150.278440871468,63.4298179352666,58.8782684584987,1.11462344116656
1994,6265.40619010604,2341.06308773022,2519.57917731356,1121.1428433097,160.307541931325,64.3728674680859,58.9406723531468,1.10634641810585
1995,6398.9097255219,2407.89391135696,2545.98550876236,1150.69319688344,169.588542669241,63.8985042528906,60.8500615970166,1.1139750125762
1996,6590.07794545551,2469.38946324985,2621.17849344537,1201.71239098117,172.956051272366,64.4609087313591,60.380637775394,1.13136483919228
1997,6630.69886312397,2455.98883933621,2662.61551348286,1205.85085596489,179.415262841562,66.00584894378,60.8225425546766,1.12288695146084
1998,6605.35866998798,2391.09020274695,2687.29838840144,1225.56456846213,178.578429948737,62.8693352568701,59.9577451718503,1.10369024130187
1999,6690.73763473793,2372.86707354042,2748.60790876327,1261.95570582825,186.986002825889,60.8090552041467,59.5118885759562,1.10331033688743
2000,6885.96068149415,2459.56446315889,2805.90715332188,1292.54801726706,195.866464877389,73.2736410257628,58.80094184317,1.12085417189068
