# Global Carbon Budget 2021 — Global_Carbon_Budget_2021v1.0.xlsx  — Global Carbon Budget
#
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide per year (GtCO2/yr) , multiply the numbers below by 3.664.
# Note: 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# All uncertainties represent ± 1 sigma error (68 % chance of being in the range provided)
# Emissions from fossil fuel combustion and industrial processes (uncertainty of ±5% for a ± 1 sigma confidence level):
# Cite as: Friedlingstein et al. 2021 (see Summary tab).
# Emissions from land-use change (uncertainty of ±0.7 GtC/yr). Average of three bookkeeping models: H&N (Houghton &Nassikas, 2017), BLUE (Hansis, et al., 2015) and OSCAR (Gasser et al., 2020).
# Cite as: Friedlingstein et al. 2021  (see Summary tab).
# The atmospheric CO2 growth rate (variable uncertainty around 0.2 GtC/yr from 1980) is estimated directly from atmospheric CO2 concentration measurements, and provided by the US National Oceanic and Atmospheric Administration Earth System Research Laboratory (NOAA/ESRL).  http://www.esrl.noaa.gov/gmd/ccgg/trends/global.html
# Cite as: Dlugokencky, E. and Tans, P.: Trends in atmospheric carbon dioxide, National Oceanic & Atmospheric Administration, Earth System Research Laboratory (NOAA/ESRL), available at http://www.esrl.noaa.gov/gmd/ccgg/trends/global.html, 2020.
# 1959-1980 are based on Mauna Loa and South Pole stations as observed by the CO2 Program at Scripps Institution of Oceanography. http://scrippsco2.ucsd.edu/data/atmospheric_co2/
# 1980 onwards are global averages estimated from multiple stations run by NOAA/ESRL.
# The ocean sink (uncertainty of ±0.4 GtC/yr on average) is estimated from the average of 8 global ocean biogeochemistry models and the average of 7 ocean fCO2 data products.
# Cite as: Friedlingstein et al. 2021 (see Summary tab).
# The land sink (uncertainty of ±0.5 GtC/yr on average) was estimated from the average of 17 dynamic global vegetation models.
# Cite as: Friedlingstein et al. 2021 (see Summary tab).
# The cement carbonation sink  is the average of two estimates.
# Cite as: Friedlingstein et al. 2021 (see Summary tab).
# The budget imbalance is the sum of emissions (fossil fuel and industry + land-use change) minus (atmospheric growth + ocean sink + land sink + cement carbonation sink); it is a measure of our imperfect data and understanding of the contemporary carbon cycle.
# Cite as: Friedlingstein et al. 2021 (see Summary tab).
# GtC/yr
# Generated with openclimatedata 0.40.1 from the GCB Excel file 'Global_Carbon_Budget_2021v1.0.xlsx' from https://doi.org/10.18160/gcp-2021
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,fossil emissions excluding carbonation,land-use change emissions,atmospheric growth,ocean sink,land sink,cement carbonation sink,budget imbalance
1959,2.41713282396274,1.84551880806033,2.03904,0.918022208427885,0.395882352941176,0.0126837301378357,0.897023340524901
1960,2.56217532950871,1.85371155937901,1.50804,0.899128547540474,1.15647058823529,0.0138387995254386,0.838408953483272
1961,2.57058768545191,1.86212030778633,1.65672,0.754059886653062,0.611176470588235,0.0147264637111403,1.39602517244077
1962,2.66137089897385,1.7905989263756,1.18944,0.80036872576565,1.15529411764706,0.0158710071181957,1.29099597405566
1963,2.80346344743521,1.65186198395652,1.21068,0.981130064878238,1.06058823529412,0.0168627079956106,1.1860644235396
1964,2.95574985015674,1.56411121199796,1.04076,1.17631640399083,1.55117647058824,0.0184512290990677,0.733156958057677
1965,3.08894179048108,1.41717257083713,2.3364,1.27094149310341,0.286470588235294,0.0194859725483232,0.592816307732758
1966,3.2388800697062,1.34886568040862,2.3364,1.239891582216,1.34705882352941,0.0209148424347867,-0.356519498728584
1967,3.34181051273785,1.3722228350952,1.29564,1.10546542132859,1.63411764705882,0.0219524771980331,0.656857802539817
1968,3.5238302411595,1.37953231304461,2.10276,1.11327176044118,2.40411764705882,0.0235326428885216,-0.740319495729017
1969,3.75760827102091,1.29242437566456,2.80368,1.19702184955377,0.581176470588235,0.0249665223810647,0.443187804039843
1970,4.06620508819402,1.28651434647713,2.40012,1.09204943866636,0.511764705882353,0.0264898232089375,1.32229546608508
1971,4.2302557031101,1.27313438447573,1.55052,1.14687952777895,2.42176470588235,0.027991509696747,0.356234343413354
1972,4.42760351388648,1.27630156830798,3.12228,1.38610586689153,1.13470588235294,0.0304854505014787,0.0303278823850055
1973,4.66161075469646,1.23863708479883,3.10104,1.34027720600412,1.61647058823529,0.0326104410468147,-0.190150395350354
1974,4.64277952698094,1.19226582411145,1.44432,1.26237479511671,3.77058823529412,0.0333958109118536,-0.675633489930914
1975,4.65298553857673,1.4170177831211,2.61252,1.2059523842293,2.44823529411765,0.0341044321565963,-0.230808788579863
1976,4.90870669076019,1.30192804195087,2.06028,1.33038497334188,2.93411764705882,0.0360669675458305,-0.150214854785642
1977,5.04815256446881,1.26728447012803,4.07808,1.44834006245447,1.60823529411765,0.0384652779258891,-0.857683599457082
1978,5.20459322297066,1.15395507543187,2.73996,1.49429640156706,2.65470588235294,0.0411112910442051,-0.57152527707355
1979,5.35247711497914,1.16074176263712,4.54536,1.40661399067965,1.36411764705882,0.0425988902389194,-0.845471650259781
1980,5.3205381660755,1.13097333121806,3.63204,1.66682532979224,0.454117647058824,0.0438607267004346,0.654667793275063
