# Global Carbon Budget 2021 — Global_Carbon_Budget_2021v1.0.xlsx  — Ocean Sink
#
# Ocean CO2 sink (positive values represent a flux from the atmosphere to the ocean)
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide per year (GtCO2/yr), multiply the numbers below by 3.664.
# 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# Methods: The ocean sink (uncertainty of ±0.4 GtC/yr on average) is estimated from the average of 8 global ocean biogeochemistry models and 7 fCO2 data products that reproduce the observed mean ocean sink of the 1990s.  Watson et al. 92020) not used for the fCO2 data produtcs average. Cite as: Friedlingstein et al (2021; see summary tab)
# Note: a pre-industrial steady state source of CO2 from rivers (of about 0.61 GtC/yr) was added to the data products to make them comparable to  the ocean model results
# Cite individual estimates as:
# Model results used to compute the annual values:
# CESM_ETH	Doney, S. C., Lima, I., Feely, R. A., Glover, D. M., Lindsay, K., Mahowald, N., Moore, J. K., and Wanninkhof, R.: Mech- anisms governing interannual variability in upper-ocean inor- ganic carbon system and air–sea CO2 fluxes: Physical cli- mate and atmospheric dust, Deep-Sea Res. Pt. II, 56, 640–655, https://doi.org/10.1016/j.dsr2.2008.12.006, 2009.
# FESOM-2-REcoM2	Hauck, J., Zeising, M., Le Quéré, C., Gruber, N., Bakker, D. C. E., Bopp, L., et al. (2020). Consistency and Challenges in the Ocean Carbon Sink Estimate for the Global Carbon Budget. Frontiers in Marine Science, 7. https://doi.org/10.3389/fmars.2020.571720
# NEMO3.6-PISCESv2-gas (CNRM)	Berthet, S., Séférian, R., Bricaud, C., Chevallier, M., Voldoire, A., & Ethé, C. ( 2019). Evaluation of an online grid‐coarsening algorithm in a global eddy‐admitting ocean biogeochemical model. Journal of Advances in Modeling Earth Systems, 11, 1759– 1783. https://doi.org/10.1029/2019MS001644
# NEMO-PISCES (IPSL)	Aumont, O., Ethé, Tagliabue, A., Bopp, L., & Gehlen, M. (2015). PISCES-v2: an ocean biogeochemical model for carbon and ecosystem studies.
# NEMO-PlankTOM12	Wright, R. M., Le Quéré, C., Buitenhuis, E., Pitois, S., & Gibbons, M. J. (2021). Role of jellyfish in the plankton ecosystem revealed using a global ocean biogeochemical model. Biogeosciences, 18(4), 1291-1320. https://doi.org/10.5194/bg-18-1291-2021
# NorESM-OC	Schwinger, J., Goris, N., Tjiputra, J. F., Kriest, I., Bentsen, M., Bethke, I., Ilicak, M., Assmann, K. M., and Heinze, C.: Evaluation of NorESM-OC (versions 1 and 1.2), the ocean carbon-cycle stand-alone configuration of the Norwegian Earth System Model (NorESM1), Geosci. Model Dev., 9, 2589-2622, 2016.
# MOM6-COBALT (Princeton)	Liao, E., Resplandy, L., Liu, J. and Bowman, K. W.: Amplification of the Ocean Carbon Sink During El Niños: Role of Poleward Ekman Transport and Influence on Atmospheric CO 2, Global Biogeochem. Cycles, 34(9), doi:10.1029/2020GB006574, 2020.
# MPIOM-HAMOCC6	Lacroix F., Tatiana Ilyina, Moritz Mathis, Goulven Laruelle, Pierre Regnier: Historical Increases in Land-Derived Nutrient Inputs May Alleviate Effects from a Changing Physical Climate on the Oceanic Carbon Cycle. Global Change Biology, https://doi.org/10.1111/gcb.15822, 2021
#
# Data products used to evaluate the results:
# Landschützer	Landschützer, P., Gruber, N., and Bakker, D. C. E.: Decadal variations and trends of the global ocean carbon sink, Global Biogeochem. Cy., 30, 1396–1417, https://doi.org/10.1002/2015GB005359, 2016
# Rödenbeck	Rödenbeck, C., Bakker, D. C. E., Metzl, N., Olsen, A., Sabine, C., Cassar, N., Reum, F., Keeling, R. F., and Heimann, M.: Interannual sea–air CO2 flux variability from an observation-driven ocean mixed-layer scheme, Biogeosciences, 11, 4599-4613, 2014.
# CMEMS	Chau, T. T. T., Gehlen, M., and Chevallier, F.: A seamless ensemble-based reconstruction of surface ocean pCO2 and air–sea CO2 fluxes over the global coastal and open oceans, Biogeosciences Discuss. https://doi.org/10.5194/bg-2021-207, 2021.
# CSIR-ML6	Gregor, L., Lebehot, A. D., Kok, S. and Scheel Monteiro, P. M.: A comparative assessment of the uncertainties of global surface ocean CO2 estimates using a machine-learning ensemble (CSIR-ML6 version 2019a)-Have we hit the wall?, Geosci. Model Dev., 12(12), 5113–5136, doi:10.5194/gmd-12-5113-2019, 2019.
# Watson et al.	Watson, A. J., Schuster, U., Shutler, J. D., Holding, T., Ashton, I. G. C., Landschützer, P., Woolf, D. K. and Goddijn-Murphy, L.: Revised estimates of ocean-atmosphere CO2 flux are consistent with ocean carbon inventory, Nat. Commun., 11(1), 1–6, doi:10.1038/s41467-020-18203-3, 2020.
# NIES-NN	Zeng, J., Nojiri, Y., Landschützer, P., Telszewski, M., Nakaoka, S.: A Global Surface Ocean fCO2 Climatology Based on a Feed-Forward Neural Network. Journal of Atmospheric and Oceanic Technology 31, 1838–1849. https://doi.org/10.1175/JTECH-D-13-00137.1, 2014.
# JMA-MLR	Iida, Y., Takatani, Y., Kojima, A., and Ishii, M.: Global trends of ocean CO2 sink and ocean acidification: an observation-based reconstruction of surface ocean inorganic carbon variables. J. Oceanogr. 77, 323–358. https://doi.org/10.1007/s10872-020-00571-5, 2021
# OS-ETHZ-GRaCER	Gregor, L. and Gruber, N.: OceanSODA-ETHZ: a global gridded data set of the surface ocean carbonate system for seasonal to decadal studies of ocean acidification, Earth Syst. Sci. Data, 13, 777–808, https://doi.org/10.5194/essd-13-777-2021, 2021.
# Generated with openclimatedata 0.40.1 from the GCB Excel file 'Global_Carbon_Budget_2021v1.0.xlsx' from https://doi.org/10.18160/gcp-2021
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
#
# Individual models
Year,CESM-ETH,FESOM2-RECOM2,NEMO-PISCES (CNRM),NEMO-PISCES (IPSL),NEMO-PlankTOM12,NorESM-OC,MOM6-COBALT (Princeton),MPIOM-HAMOCC,Multi-model mean,Model Spread (sd)
1959,0.93029,1.08,0.589999999999999,0.811721966205837,0.93,1.08469999999999,0.340999999999999,0.67,0.804713995775728,0.257729150339304
1960,0.882249999999999,1.07,0.529999999999999,0.691512679106544,0.919999999999999,1.0558,0.486999999999999,0.65,0.785820334888317,0.227730636019589
1961,0.612709999999999,0.929999999999999,0.429999999999999,0.571303392007252,0.739999999999999,0.982999999999999,0.309,0.55,0.640751674000906,0.232676798505468
1962,0.72389,0.929999999999999,0.23,0.601094104907959,0.85,1.15049999999999,0.381,0.63,0.687060513113493,0.296388961529768
1963,0.865789999999999,0.979999999999999,0.49,0.800884817808667,1.09999999999999,1.3289,0.586999999999999,0.79,0.867821852226082,0.270247211664626
1964,0.97669,1.27,0.789999999999999,0.960675530709375,1.29999999999999,1.42769999999999,0.808999999999999,0.969999999999999,1.06300819133867,0.238338835208201
1965,1.06689999999999,1.17999999999999,0.979999999999999,1.05046624361008,1.59999999999999,1.60669999999999,0.806999999999999,0.969999999999999,1.15763328045125,0.294538460476118
1966,1.05910999999999,1.20999999999999,0.899999999999999,0.94025695651079,1.54999999999999,1.60829999999999,0.824999999999999,0.919999999999999,1.12658336956384,0.302968720154463
1967,0.82911,1.15999999999999,0.769999999999999,0.830047669411498,1.35999999999999,1.43209999999999,0.646,0.909999999999999,0.992157208676433,0.289290146433963
1968,0.98267,1.08,0.609999999999999,0.929838382312205,1.23999999999999,1.4952,0.772,0.889999999999999,0.999963547789024,0.27532578387546
1969,1.07287999999999,1.11999999999999,0.719999999999999,0.969629095212913,1.39999999999999,1.6032,0.934,0.85,1.08371363690161,0.29122312070478
1970,0.883809999999999,1.14999999999999,0.76,0.79941980811362,1.09999999999999,1.48869999999999,0.817999999999999,0.83,0.978741226014198,0.251017567884381
1971,0.96516,1.20999999999999,0.61,0.829210521014328,1.18999999999999,1.5372,0.897,1.03,1.03357131512679,0.281262319384148
1972,1.34687999999999,1.3,0.899999999999999,1.18900123391503,1.45999999999999,1.78849999999999,1.15799999999999,1.04,1.27279765423937,0.272709937362374
1973,1.13785999999999,1.35999999999999,0.979999999999999,1.00879194681574,1.3,1.8471,1.14199999999999,1.04,1.22696899335196,0.284430683592724
1974,0.918849999999999,1.34,0.78,0.978582659716451,1.29999999999999,1.79509999999999,1.0,1.08,1.14906658246455,0.321127759823209
1975,0.839779999999999,1.17999999999999,0.719999999999999,0.838373372617159,1.35999999999999,1.74299999999999,0.869999999999999,1.18999999999999,1.09264417157714,0.344047146864954
1976,1.12104999999999,1.25,0.76,0.988164085517866,1.54999999999999,1.89339999999999,1.034,1.13999999999999,1.21707676068973,0.354427947769205
1977,1.2313,1.34999999999999,0.989999999999999,1.14795479841857,1.60999999999999,1.95599999999999,1.145,1.25,1.33503184980232,0.309280406593698
1978,1.33305999999999,1.48999999999999,1.07,1.21774551131928,1.58999999999999,1.90209999999999,1.165,1.28,1.38098818891491,0.269824143936743
1979,1.24371,1.33,1.10999999999999,1.16753622421998,1.60999999999999,1.74819999999999,1.07699999999999,1.06,1.29330577802749,0.256812592907567
1980,1.55541,1.76,1.33999999999999,1.45732693712069,1.57999999999999,2.03839999999999,1.387,1.31,1.55351711714008,0.245042901135877
1981,1.54697,1.78,1.32,1.4071176500214,1.54,2.0583,1.40599999999999,1.37,1.55354845625267,0.250065335605715
1982,1.74758999999999,1.85999999999999,1.38999999999999,1.54690836292211,1.94999999999999,2.1285,1.51699999999999,1.47999999999999,1.70249979536526,0.260590843942938
1983,1.92808,2.02,1.61999999999999,1.73669907582282,1.95999999999999,2.30779999999999,1.72,1.43999999999999,1.84157238447785,0.269084752499041
1984,1.53997,1.91999999999999,1.54,1.48648978872352,1.93999999999999,2.25919999999999,1.54099999999999,1.59,1.72708247359044,0.279544059449131
1985,1.48035,1.73999999999999,1.28,1.37628050162423,1.91999999999999,2.24219999999999,1.30199999999999,1.54,1.61010381270302,0.336531611804128
1986,1.47345999999999,1.83,1.3,1.48607121452494,1.83999999999999,2.30739999999999,1.35899999999999,1.53,1.64074140181561,0.333725508504177
1987,1.68321999999999,1.82,1.64999999999999,1.65586192742565,1.87999999999999,2.2448,1.47999999999999,1.47999999999999,1.7367352409282,0.249095780328475
1988,1.61571999999999,1.93999999999999,1.37999999999999,1.52565264032635,1.59999999999999,2.1583,1.518,1.5,1.65470908004079,0.260289089497254
1989,1.44669,1.79,1.21999999999999,1.38544335322706,1.83999999999999,2.28129999999999,1.38599999999999,1.65,1.62492916915338,0.341244046097096
1990,1.60684999999999,1.87999999999999,1.45999999999999,1.55523406612777,1.93999999999999,2.30409999999999,1.532,1.6,1.73477300826596,0.285537490978222
1991,1.79805999999999,1.97999999999999,1.61999999999999,1.62502477902848,1.96999999999999,2.34369999999999,1.753,1.58,1.83372309737855,0.256749128021774
1992,2.01933,2.14,1.94999999999999,1.83481549192918,2.2,2.59279999999999,1.977,1.93999999999999,2.08174318649114,0.236596347727149
1993,1.90122999999999,2.17,1.83,1.86460620482989,2.14,2.58539999999999,1.88799999999999,1.89,2.03365452560373,0.257394398851718
1994,1.68229,2.02999999999999,1.65999999999999,1.7143969177306,1.84999999999999,2.4359,1.691,1.67,1.84169836471632,0.271351988814185
1995,1.73341999999999,2.1,1.54,1.78418763063131,1.71999999999999,2.34329999999999,1.759,1.64,1.82748845382891,0.263247275572339
1996,1.71348,2.12,1.56,1.73397834353201,1.85999999999999,2.2611,1.80199999999999,1.66,1.8388197929415,0.237729128250323
1997,1.93591999999999,2.04,1.67999999999999,1.94376905643272,1.98999999999999,2.3503,1.90999999999999,1.58,1.92874863205409,0.232367995073443
1998,2.01800999999999,2.36,1.95999999999999,2.01355976933343,2.16999999999999,2.38319999999999,2.07699999999999,1.5,2.06022122116667,0.2762935042962
1999,1.58821,2.20999999999999,1.55,1.55335048223414,2.18999999999999,2.4222,1.727,1.81,1.88134506027927,0.343930366303458
