# Global Carbon Budget 2022 — Global_Carbon_Budget_2022v1.0.xlsx  — Cement Carbonation Sink
#
# Cement Carbonation sink (positive values represent a flux from the atmosphere to the land)
# All values in million tonnes of carbon per year (MtC/yr). For values in million tonnes of CO2 per year, multiply the values below by 3.664
# 1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2
# Methods: Full details of the method are described in Friedlingstein et al (2022b).
# Cite individual estimates as:
# Cao	Cao, Z., Myers, R. J., Lupton, R. C., Duan, H., Sacchi, R., Zhou, N., Reed Miller, T., Cullen, J. M., Ge, Q., and Liu, G.: The sponge effect and carbon emission mitigation potentials of the global cement cycle, Nature Communications, 11 (1), 3777, DOI: 10.1038/s41467-020-17583-w, 2020.
# Guo	Guo, R., Wang, J., Bing, L., Tong, D., Ciais, P., Davis, S. J., Andrew, R. M., Xi, F., and Liu, Z.: Global CO2 uptake of cement in 1930-2019, 13, 1791–1805, https://doi.org/10.5194/essd-13-1791-2021, 2021.
#
# MtC/yr
# Generated with openclimatedata 0.40.1 from the GCB Excel file 'Global_Carbon_Budget_2022v1.0.xlsx' from https://doi.org/10.18160/gcp-2022
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,GCB,Cao,Guo
1959,12.684256,10.207389,15.161123
1960,13.835326,11.14084,16.529812
1961,14.722842,11.837368,17.608316
1962,15.871906,12.753414,18.990398
1963,16.867484,13.548159,20.186809
1964,18.450709,14.821206,22.080211
1965,19.490534,15.629102,23.351967
1966,20.917271,16.78495,25.049592
1967,21.959945,17.622111,26.29778
1968,23.53351,18.884898,28.182122
1969,24.979505,20.017078,29.941933
1970,26.502762,21.229038,31.776486
1971,28.0066,22.942842,33.070359
1972,30.495585,24.478262,36.512909
1973,32.620028,26.190409,39.049646
1974,33.404118,26.762413,40.045824
1975,34.116485,27.304456,40.928514
1976,36.081537,29.289343,42.873731
1977,38.479023,30.912555,46.04549
1978,41.120745,33.029319,49.212172
1979,42.604231,34.150738,51.057724
1980,43.868786,35.172401,52.565171
1981,44.761866,35.8927,53.631032
1982,45.620269,36.621567,54.618971
1983,47.138101,37.840914,56.435288
1984,48.585224,39.000309,58.170139
1985,49.975966,40.132969,59.818964
1986,52.349388,42.023781,62.674994
1987,54.803645,43.963281,65.64401
1988,58.088966,46.597242,69.58069
1989,58.050544,48.320538,67.78055
1990,57.499247,49.316127,65.682367
1991,61.007853,50.451909,71.563798
1992,61.898773,52.737122,71.060423
1993,66.118868,55.339435,76.898301
1994,69.784621,58.548838,81.020403
1995,73.554452,61.833362,85.275542
1996,76.451757,64.520142,88.383371
1997,79.413817,66.771292,92.056342
1998,80.380303,67.700723,93.059883
1999,83.340673,70.309223,96.372122
2000,86.650436,73.200312,100.10056
2001,89.418752,74.220468,104.617037
2002,94.101367,78.632163,109.570572
2003,101.062174,85.337654,116.786693
2004,108.092599,91.649681,124.535517
2005,115.475489,98.240249,132.71073
2006,125.646472,107.114515,144.178429
2007,135.359946,113.832933,156.886958
2008,140.050695,115.715157,164.386232
2009,147.301267,124.016433,170.586101
2010,156.527323,131.957376,181.097271
2011,169.466484,144.122503,194.810464
2012,176.364664,151.325546,201.403782
2013,184.867663,161.393477,208.341849
2014,193.1155,167.699905,218.531095
2015,195.190052,,222.772122
2016,198.043401,,226.028674
2017,202.926853,,231.602201
2018,209.701778,,239.334482
2019,214.001697,,244.242017
2020,220.562555,,
2021,229.794956,,
