# Global Carbon Budget 2022 — Global_Carbon_Budget_2022v1.0.xlsx  — Fossil Emissions by Category
#
# Fossil fuel and cement production emissions by fuel type
# All values in million tonnes of carbon per year (MtC/yr), except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in million tonnes of CO2 per year, multiply the values below by 3.664
# 1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2
# Methods: Full details of the method are described in Friedlingstein et al (2022b) and Andrew and Peters (2021). Full country and fuel data can be found at https://zenodo.org/record/7215364#.Y1JIIHbRZmM
# The uncertainty for the global estimates is about ±5 % for a ± 1 sigma confidence level.
# Cite as: Friedlingstein et al (2022b; see summary tab)
#
# MtC/yr
# Generated with openclimatedata 0.38.1 from the GCB Excel file 'Global_Carbon_Budget_2022v1.0.xlsx' from https://doi.org/10.18160/gcp-2022
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,fossil.emissions.excluding.carbonation,Coal,Oil,Gas,Cement.emission,Flaring,Other,Per.Capita
1850,53.738,53.738,0.0,0.0,0.0,0.0,0.0,0.0425586148039703
1851,54.259,54.259,0.0,0.0,0.0,0.0,0.0,0.042752994812024
1852,56.646,56.646,0.0,0.0,0.0,0.0,0.0,0.0444074064044967
1853,59.282,59.282,0.0,0.0,0.0,0.0,0.0,0.0462383570516381
1854,69.634,69.634,0.0,0.0,0.0,0.0,0.0,0.0540375462441425
1855,71.006,70.996,0.01,0.0,0.0,0.0,0.0,0.0548232494955531
1856,75.68,75.669,0.011,0.0,0.0,0.0,0.0,0.0581361681761524
1857,76.389,76.375,0.014,0.0,0.0,0.0,0.0,0.0583836397203811
1858,77.5576660653831,77.5406660653831,0.017,0.0,0.0,0.0,0.0,0.0589765078116455
1859,82.2357133155761,82.2207147011143,0.014998614461781,0.0,0.0,0.0,0.0,0.0622167197117236
1860,90.2405228292801,90.1658833019383,0.0746395273417139,0.0,0.0,0.0,0.0,0.0679263618463333
1861,94.9057135277938,94.64888162014,0.256831907653853,0.0,0.0,0.0,0.0,0.0710749308472108
1862,96.6311896374252,96.2494552692555,0.381734368169746,0.0,0.0,0.0,0.0,0.0719988301765906
1863,103.12747526076,102.774543297147,0.352931963613835,0.0,0.0,0.0,0.0,0.0764473948288015
1864,111.105427692241,110.802475435462,0.302952256778793,0.0,0.0,0.0,0.0,0.0819406526544849
1865,117.987713421685,117.627495359723,0.360218061962434,0.0,0.0,0.0,0.0,0.0865708956569788
1866,121.716618072428,121.183885201006,0.532732871422143,0.0,0.0,0.0,0.0,0.0888486098434234
1867,130.408,129.866242177125,0.541757822874541,0.0,0.0,0.0,0.0,0.0947032315888485
1868,133.939,133.314309229938,0.62469077006183,0.0,0.0,0.0,0.0,0.0967656282905031
1869,142.23,141.51646977707,0.71353022293017,0.0,0.0,0.0,0.0,0.102223800715099
1870,145.343,144.487878807247,0.855121192753488,0.0,0.0,0.0,0.0,0.103918883758186
1871,154.515,153.619232821579,0.8957671784214,0.0,0.0,0.0,0.0,0.109901316501535
1872,170.953,169.943650072991,1.00934992700935,0.0,0.0,0.0,0.0,0.120957499914293
1873,181.61,180.062616307641,1.54738369235867,0.0,0.0,0.0,0.0,0.127823638774289
1874,170.032,168.328067929543,1.70393207045672,0.0,0.0,0.0,0.0,0.119044280997698
