# Global Carbon Budget 2022 — Global Carbon Budget
#
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide per year (GtCO2/yr) , multiply the numbers below by 3.664.
# Note: 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# All uncertainties represent ± 1 sigma error (68 % chance of being in the range provided)
# Emissions from fossil fuel combustion and industrial processes (uncertainty of ±5% for a ± 1 sigma confidence level):
# Cite as: Friedlingstein et al. 2022b (see Summary tab).
# Emissions from land-use change (uncertainty of ±0.7 GtC/yr). Average of three bookkeeping models: H&N (Houghton &Nassikas, 2017), BLUE (Hansis, et al., 2015) and OSCAR (Gasser et al., 2020).
# Cite as: Friedlingstein et al. 2022b  (see Summary tab).
# The atmospheric CO2 growth rate (variable uncertainty around 0.2 GtC/yr from 1980) is estimated directly from atmospheric CO2 concentration measurements, and provided by the US National Oceanic and Atmospheric Administration Earth System Research Laboratory (NOAA/ESRL).  http://www.esrl.noaa.gov/gmd/ccgg/trends/global.html
# Cite as: Dlugokencky, E. and Tans, P.: Trends in atmospheric carbon dioxide, National Oceanic & Atmospheric Administration, Earth System Research Laboratory (NOAA/ESRL), available at http://www.esrl.noaa.gov/gmd/ccgg/trends/global.html, 2020.
# 1959-1980 are based on Mauna Loa and South Pole stations as observed by the CO2 Program at Scripps Institution of Oceanography. http://scrippsco2.ucsd.edu/data/atmospheric_co2/
# 1980 onwards are global averages estimated from multiple stations run by NOAA/ESRL.
# The ocean sink (uncertainty of ±0.4 GtC/yr on average) is estimated from the average of 10 global ocean biogeochemistry models and the average of 7 ocean fCO2 data products.
# Cite as: Friedlingstein et al. 2022b (see Summary tab).
# The land sink (uncertainty of ±0.5 GtC/yr on average) was estimated from the average of 16 dynamic global vegetation models.
# Cite as: Friedlingstein et al. 2022b (see Summary tab).
# The cement carbonation sink  is the average of two estimates:
# Cite as: Friedlingstein et al. 2022b (see Summary tab).
# The budget imbalance is the sum of emissions (fossil fuel and industry + land-use change) minus (atmospheric growth + ocean sink + land sink + cement carbonation sink); it is a measure of our imperfect data and understanding of the contemporary carbon cycle.
# Cite as: Friedlingstein et al. 2022b (see Summary tab).
# GtC/yr
#
#
# Generated with openclimatedata 0.36 from the GCB Excel file from https://doi.org/10.18160/gcp-2022
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,fossil emissions excluding carbonation,land-use change emissions,atmospheric growth,ocean sink,land sink,cement carbonation sink,budget imbalance
1959,2.41709093103705,1.93893333333333,2.03904,0.975005218749614,0.401805228689998,0.0126842558369859,0.927489561093782
1960,2.56213668375546,1.7926,1.50804,0.959013163258062,1.23413142660293,0.0138353261948782,0.639716767699588
1961,2.57054034357617,1.6665,1.65672,0.805321107766511,0.839819014171117,0.0147228420467163,0.920457379591822
1962,2.66131526731046,1.60826666666667,1.18944,0.89522905227496,1.32223119097225,0.0158719057430955,0.846809784986822
1963,2.80339923892809,1.54273333333333,1.21068,1.05983699678341,0.871916855344267,0.0168674841706348,1.18683123596311
1964,2.95568014497337,1.49446666666667,1.04076,1.21324494129186,1.68622584376799,0.0184507085142494,0.491465318065948
1965,3.08886356318165,1.38283333333333,2.3364,1.32065288580031,0.340225187031016,0.0194905341262771,0.454928289557382
1966,3.23879202326999,1.32306666666667,2.3364,1.27606083030875,1.39526369443499,0.0209172712011906,-0.466783106008274
1967,3.34171096771521,1.34413333333333,1.29564,1.1270687748172,1.67584391208864,0.0219599451019902,0.565331669040712
1968,3.52371504676873,1.35846666666667,2.10276,1.18257671932565,2.40373938385874,0.0235335100597496,-0.83042789980875
1969,3.7574778561743,1.27346666666667,2.80368,1.2746846638341,0.712520680774416,0.0249795050657557,0.215079673166699
1970,4.06624328638585,1.2551,2.40012,1.12549260834255,0.71291312020085,0.0265027620696617,1.05631479577279
1971,4.23184929337033,1.2516,1.55052,1.213600552851,2.44967990692525,0.0280066001301148,0.241642233463971
1972,4.42923831859387,1.25286666666667,3.12228,1.48140849735945,1.25249542704009,0.0304955852253859,-0.204574524364385
1973,4.66326213146,1.21386666666667,3.10104,1.35141644186789,1.89060813421699,0.032620027856651,-0.498555805814862
1974,4.64450768454152,1.1793,1.44432,1.31052438637634,4.1864236303153,0.0334041183267036,-1.15086445047682
1975,4.65464732683664,1.1927,2.61252,1.25873233088479,2.64503015808274,0.0341164849860314,-0.703051647116919
1976,4.91044940494516,1.1749,2.06028,1.42374027539324,2.988922576204,0.0360815370606855,-0.423674983712762
1977,5.04990317627377,1.20283333333333,4.07808,1.50374821990169,1.50825904169346,0.0384790227158887,-0.875829774703936
1978,5.20665731911722,1.15266666666667,2.73996,1.54065616441014,2.78070163095985,0.0411207453454643,-0.743114554931565
1979,5.35438371238966,1.10793333333333,4.54536,1.48756410891858,1.42020189792379,0.0426042311760182,-1.0334131922954
1980,5.3223971993827,1.1148,3.63204,1.73647205342703,0.411581720468758,0.0438687856572983,0.613234639829604
1981,5.19544708203278,1.19863333333333,2.4426,1.72307999793548,2.21996241232271,0.0447618656819253,-0.0363238605740031
1982,5.15406304961668,1.2033,2.10276,1.88868794244393,1.6698958974074,0.0456202693936018,0.650398940371747
1983,5.18737435146172,1.31136666666667,3.88692,2.00809588695238,0.281260988036859,0.0471381005378262,0.275326042601325
1984,5.3670179608478,1.44816666666667,2.61252,1.86830383146083,2.88658397534779,0.0485852243794119,-0.600808403673563
1985,5.54734901618979,1.38656666666667,3.5046,1.77531177596928,2.76571964532625,0.0499759662885234,-1.16169170472759
