# Global Carbon Budget 2022 — National_Fossil_Carbon_Emissions_2022v1.0.xlsx  — Territorial Emissions
#
# Fossil CO2 emissions by country (territorial)
# All values in million tonnes of carbon per year. For values in million tonnes of CO2 per year, multiply the values below by 3.664
# 1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2
# Cite as: Friedlingstein et al. 2022b
# Methods: Full details of the method are described in Friedlingstein et al (2022b) and Andrew and Peters (2021)
# (1) National estimates include emissions from fossil fuel combustion and oxidation and cement production and excludes emissions from bunker fuels. World totals include emissions from bunker fuels.
# (2) Bunker fuels: Emissions from fuels used for international aviation and maritime transport
# (3) The disaggregations of regions (e.g. the former Soviet Union prior to 1992) are based on the shares of emissions in the first year after the countries are disaggregated (e.g., 1992 for the Former Soviet Union).
# (4) The statistical difference presented on column HX is the difference between the world emissions and the sum of the emissions for each countries and for the bunker fuels.
# MtC/yr
# Generated with openclimatedata 0.38.1 from the GCB Excel file 'National_Fossil_Carbon_Emissions_2022v1.0.xlsx' from https://doi.org/10.18160/gcp-2022
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Micronesia (Federated States of),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Iran,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,North Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Bolivia,Poland,Portugal,Qatar,Cameroon,South Korea,Moldova,South Sudan,Sudan,Réunion,Romania,Russia,Rwanda,Saint Helena,Saint Lucia,Sint Maarten (Dutch part),Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Saint Kitts and Nevis,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,USA,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna Islands,Yemen,Zambia,Zimbabwe,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU27,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,Bunkers,Statistical Difference,World
1850,,,,,,,,,6.85082601810144e-05,0.0,,0.635,0.000412688378677787,,,0.0,,0.000863719620647948,2.547,,,,,0.0,0.0,,,,,,,0.0,,0.016,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,0.093,,,,,,,,,0.000312287611423362,,,,,,5.354,,,,,0.000127269385120215,4.132,,,,,,,,,,,,,0.0,,,,,0.108,,,,,,,0.00205640637711136,,,,,0.000176475638679642,,0.000206910679883858,,,,,,0.000322730944066133,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.856,,,,,,,0.038,,,0.0,,,,,,,,0.874,,,,0.0,0.000318915390443085,0.0,0.0,,,0.0189504628854839,0.0,,,0.0,,,,,0.0,,,,0.0,0.0,,,,0.135,,,,,,,0.055,,,,0.000101293871818331,,,,,,,,0.000262607604114779,,,,0.00601110897880814,,33.462,,5.402,,0.000808614373540412,,,0.0,,,,,53.7328035010997,0.00519649890033458,53.7073122876114,0.0306877123885766,14.7898419292354,0.0,0.00401386388924354,0.0,48.3159861361108,0.0,5.418,0.0,0.0,0.0,0.0,53.738
1851,,,,,,,,,0.0,0.0,0.0,0.637,0.0,,,0.0,,0.0,2.775,,,,,0.0,0.0,,,,,,,0.0,,0.019,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,0.085,,,,,,,,,0.0,,,,,,5.469,,,,,0.0,4.604,,,,,,,,,,,,,0.075,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.851,,,,,,,0.041,,,0.0,,,,,,,,0.944,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,0.0,0.0,,,,0.139,,,,,,,0.059,,,,0.0,,,,,,,,0.0,,,,0.0,,31.838,,6.723,,0.0,,,0.0,,,,,54.259,0.0,54.259,0.0,15.638,0.0,0.0,0.0,47.517,0.0,6.742,0.0,0.0,0.0,0.0,54.259
1852,,,,,,,,,0.0,0.0,0.0,0.767,0.0,,,0.0,,0.0,3.114,,,,,0.0,0.0,,,,,,,0.0,,0.023,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,0.091,,,,,,,,,0.0,,,,,,5.887,,,,,0.0,5.233,,,,,,,,,,,,,0.094,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,1.027,,,,,,,0.041,,,0.0,,,,,,,,1.127,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,0.0,0.0,,,,0.146,,,,,,,0.059,,,,0.0,,,,,,,,0.0,,,,0.0,,31.725,,7.312,,0.0,,,0.0,,,,,56.646,0.0,56.646,0.0,17.545,0.0,0.0,0.0,49.311,0.0,7.335,0.0,0.0,0.0,-7.105427357601e-15,56.646
1853,,,,,,,,,0.0,0.0,0.0,0.88,0.0,,,0.0,,0.0,3.217,,,,,0.0,0.0,,,,,,,0.0,,0.028,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,0.098,,,,,,,,,0.0,,,,,,6.916,,,,,0.0,5.666,,,,,,,,,,,,,0.094,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,1.138,,,,,,,0.045,,,0.0,,,,,,,,1.178,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,0.0,0.0,,,,0.178,,,,,,,0.062,,,,0.0,,,,,,,,0.0,,,,0.0,,31.55,,8.232,,0.0,,,0.0,,,,,59.282,0.0,59.282,0.0,19.427,0.0,0.0,0.0,51.022,0.0,8.26,0.0,0.0,0.0,-7.105427357601e-15,59.282
1854,,,,,,,,,0.0,0.0,0.0,0.867,0.0,,,0.0,,0.0,3.564,,,,,0.0,0.0,,,,,,,0.0,,0.034,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,0.125,,,,,,,,,0.0,,,,,,7.973,,,,,0.0,6.65,,,,,,,,,,,,,0.119,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,1.623,,,,,,,0.064,,,0.0,,,,,,,,1.304,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,0.0,0.0,,,,0.15,,,,,,,0.092,,,,0.0,,,,,,,,0.0,,,,0.0,,38.019,,9.05,,0.0,,,0.0,,,,,69.634,0.0,69.634,0.0,22.467,0.0,0.0,0.0,60.55,0.0,9.084,0.0,0.0,0.0,0.0,69.634
1855,,,,,,,,,0.00020773472441985,0.0,0.0,1.01,0.00125137766437781,,,0.0,,0.00261902078519055,3.651,,,,,0.0,0.0,,,,,,,0.0,,0.041,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,0.124,,,,,,,,,0.000946936628186968,,,,,,9.026,,,,,0.00038591361939678,7.81,,,,,,,,,,,,,0.124,,,,,,,,,,,,0.00623555482091833,,,,,0.000535119678576979,,0.000627406577712343,,,,,,0.000978603507813435,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,1.269,,,,,,,0.07,,,0.0,,,,,,,,1.534,,,,0.0,0.000967033764569353,0.0,0.0,,,0.0574626939108222,0.0,,,0.0,,,,,0.0,,,,0.0,0.0,,,,0.151,,,,,,,0.086,,,,0.000307149159707196,,,,,,,,0.000796294025380299,,,,0.0182272336776763,,35.601,,10.415,,0.00245192745525157,,,0.0,,,,,70.9902428743022,0.0157571256977887,70.9129469366282,0.093053063371813,24.7875529467137,0.0,0.0121710711480288,0.0,60.537828928852,0.0,10.456,0.0,0.0,0.0,0.0,71.006
1856,,,,,,,,,0.0,0.0,0.0,1.155,0.0,,,0.0,,0.0,3.606,,,,,0.0,0.0,,,,,,,0.0,,0.049,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,0.177,,,,,,,,,0.0,,,,,,9.452,,,,,0.0,8.44,,,,,,,,,,,,,0.13,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,1.289,,,,,,,0.083,,,0.0,,,,,,,,1.724,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,0.0,0.0,,,,0.206,,,,,,,0.13,,,,0.0,,,,,,,,0.0,,,,0.0,,38.312,,10.927,,0.0,,,0.0,,,,,75.68,0.0,75.68,0.0,26.309,0.0,0.0,0.0,64.704,0.0,10.976,0.0,0.0,0.0,0.0,75.68
1857,,,,,,,,,0.0,0.0,0.0,1.33,0.0,,,0.0,,0.0,3.754,,,,,0.0,0.0,,,,,,,0.0,,0.059,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,0.181,,,,,,,,,0.0,,,,,,9.629,,,,,0.0,8.99,,,,,,,,,,,,,0.149,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,1.151,,,,,,,0.083,,,0.0,,,,,,,,1.833,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,0.0,,,,0.0,0.0,,,,0.232,,,,,,,0.167,,,,0.0,,,,,,,,0.0,,,,0.0,,37.626,,11.205,,0.0,,,0.0,,,,,76.389,0.0,76.389,0.0,27.416,0.0,0.0,0.0,65.125,0.0,11.264,0.0,0.0,0.0,0.0,76.389
1858,,,,,,,,,0.000291712591738513,0.0,0.0,1.977,0.00175725374146671,,,0.0,,0.00367777386856546,3.944,,,,,0.0,0.0,,,,,,,0.0,,0.072,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,0.134,,,,,,,,,0.00132974079702851,,,,,,9.442,,,,,0.000541921252769946,9.719,,,,,,,,,,,,,0.104,,0.107666065383119,,,,,,,,,,0.00875631102511935,,,,,0.000751444655022992,,0.000881039024021588,,,,,,0.00137420918118482,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,1.012,,,,,,,0.073,,,0.0,,,,,,,,2.103,,,,0.0,0.00135796230769313,0.0,0.0,,0.001,0.0806922935768993,0.0,,,0.0,,,,,0.0,,,,0.0,0.0,,,,0.314,,,,,,,0.14,0.04,,,0.000431315841290956,,,,,,,,0.0011182001207468,,,,0.0255956898452476,,36.876,,11.367,,0.00344313217120434,,,0.0,,,,,77.4278729724244,0.129793092958737,77.318329740797,0.23933632458609,28.8935849890022,0.0,0.124757356782478,0.0,65.9939087086006,0.0,11.439,0.0,0.0,0.0,0.0,77.5576660653831
1859,,,,,,,,,0.000309392142752968,0.0,0.0,1.601,0.00186375396822227,,,0.0,,0.00390066925453912,4.066,,,,,0.0,0.0,,,,,,,0.0,,0.086,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,0.171,,,,,,,,,0.00141033114836357,,,,,,9.55,,,,,0.000574764965059033,9.227,,,,,,,,,,,,,0.21,,0.173713315576124,,,,,,,,,,0.00928699654179325,,,,,0.000796986755327416,,0.000934435328507745,,,,,,0.00145749458610512,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.962,,,,,,,0.089,,,0.0,,,,,,,,1.941,,,,0.0,0.00144026305361393,0.0,0.0,,0.001,0.0855827356118629,0.0,,,0.0,,,,,0.0,,,,0.0,0.0,,,,0.445,,,,,,,0.206,0.056,,,0.00045745619530859,,,,,,,,0.00118596982503449,,,,0.0271469437752626,,40.942,,12.369,,0.00365180684824702,,,0.0,,,,,82.0385319404501,0.197181375126022,81.9224103311484,0.31330298442776,28.383802261063,0.0,0.191840442817869,0.0,69.5888728727583,0.0,12.455,0.0,0.0,0.0,-1.4210854715202e-14,82.2357133155761
