# Global Carbon Budget 2022 — Terrestrial Sink
#
# Terrestrial CO2 sink (positive values represent a flux from the atmosphere to the land)
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide per year (GtCO2/yr), multiply the numbers below by 3.664.
# 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# Methods: The terrestrial sink (uncertainty of ±0.5 GtC/yr on average) is estimated from the average of 16 Dynamic Global Vegetation Models (calculated from simulation S2; see Appendix C4.1 in Friedlingstein et al. 2022b) that reproduce the observed mean total land uptake of the 1990s.  Cite as: Friedlingstein et al (2022b; see summary tab).
# Cite individual estimates as:
# CABLE-POP	Haverd, V., Smith, B., Nieradzik, L., Briggs, P. R., Woodgate, W., Trudinger, C. M., Canadell, J. G., and Cuntz, M.: A new version of the CABLE land surface model (Subversion revision r4601) incorporating land use and land cover change, woody vegetation demography, and a novel optimisation-based approach to plant coordination of photosynthesis, Geosci. Model Dev., 11, 2995-3026, 2018.
# CLASSIC	Melton, J. R., Arora, V. K., Wisernig-cojoc, E., Seiler, C., Fortier, M. and Chan, E.: CLASSIC v1 . 0 : the open-source community successor to the Canadian Land Surface Scheme ( CLASS ) and the Canadian Terrestrial Ecosystem Model ( CTEM ) – Part 1 : Model framework and site-level performance, , 2825–2850, 2020.
# CLM5.0	Lawrence, D., Fisher, R., Koven, C., Oleson, K., Swenson, S., et al.: The Community Land Model version 5: Description of new features, benchmarking, and impact of forcing uncertainty, JAMES, accepted, 2019
# DLEM	Tian, H., G. Chen, C. Lu, X. Xu, D. J. Hayes, W. Ren, S. Pan, D.N. Huntzinger, S.C. Wofsy: North American terrestrial CO2 uptake largely offset by CH4 and N2O emissions: Toward a full accounting of the greenhouse gas budget, Climatic Change, 129:423-426, 2015
# IBIS	Yuan WP, Liu D, Dong WJ, Liu SG, Zhou GS, Yu GR, Zhao TB, Feng JM, Ma ZG, Chen JQ, Chen Y, Chen SP, Han SJ, Huang JP, Li LH, Liu HZ, Liu SM, Ma MG, Wang YF, Xia JZ, Xu WF, Zhang Q, Zhao XQ, Zhao L. 2014. Multiyear precipitation reduction strongly decreases carbon uptake over northern China. Journal of Geophysical Research: Biogeosciences, 119, 881-896.
# ISAM	Meiyappan, P., Jain, A. K., and House, J. I.: Increased influence of nitrogen limitation on CO2 emissions from future land use and land use change, Global Biogeochemical Cycles, 29, 1524-1548, 2015.
# JSBACH	Reick, C. H., Gayler, V., Goll, D., Hagemann, S., Heidkamp, M., Nabel, J. E. M. S., Raddatz, T., Roeckner, E., Schnur, R., and Wilkenskjeld, S.: JSBACH 3 - The land component of the MPI Earth System Model: documentation of version 3.2, https://doi.org/10.17617/2.3279802, 2021.
# JULES-ES	Wiltshire, A.,Burke, E., Chadburn, S., Jones, C., Cox, P., Davies-Barnard, T., Friedlingstein, P., Harper, A., Liddicoat, S., Sitch, S., Zaehle, S
# LPJ-GUESS	Smith, B., Warlind, D., Arneth, A., Hickler, T., Leadley, P., Siltberg, J., and Zaehle, S.: Implications of incorporating N cycling and N limitations on primary production in an individual-based dynamic vegetation model, Biogeosciences, 11, 2027-2054, 2014.
# LPJ 	Poulter, B., Frank, D. C., Hodson, E. L., and Zimmermann, N. E.: Impacts of land cover and climate data selection on understanding terrestrial carbon dynamics and the CO2 airborne fraction, Biogeosciences, 8, 2027-2036, 2011.
# LPX-Bern	Lienert, S. and Joos, F.: A Bayesian ensemble data assimilation to constrain model parameters and land-use carbon emissions, Biogeosciences, 15, 2909-2930, 2018.
# OCNv2	Zaehle, S. and Friend, A. D.: Carbon and nitrogen cycle dynamics in the O-CN land surface model: 1. Model description, site-scale evaluation, and sensitivity to parameter estimates, Global Biogeochemical Cycles, 24, GB1005, 2010
# ORCHIDEEv3	Vuichard, N., Messina, P., Luyssaert, S., Guenet, B., Zaehle, S., Ghattas, J., Ipsl, L. and Paris-saclay, U.: Accounting for carbon and nitrogen interactions in the global terrestrial ecosystem model ORCHIDEE ( trunk version , rev 4999 ): multi-scale evaluation of gross primary production, , 4751–4779, 2019.
# SDGVM	Walker, A. P., Quaife, T., van Bodegom, P. M., De Kauwe, M. G., Keenan, T. F., Joiner, J., Lomas, M. R., MacBean, N., Xu, C. G., Yang, X. J., and Woodward, F. I.: The impact of alternative trait-scaling hypotheses for the maximum photosynthetic carboxylation rate (V-cmax) on global gross primary production, New Phytologist, 215, 1370-1386, 2017.
# VISIT	Kato, E., Kinoshita, T., Ito, A., Kawamiya, M. and Yamagata, Y.: Evaluation of spatially explicit emission scenario of land-use change and biomass burning using a process-based biogeochemical model, J. Land Use Sci., 8(1), 104–122, doi:10.1080/1747423x.2011.628705, 2013.
# YIBs	Yue, X. and Unger, N.: The Yale Interactive terrestrial Biosphere model version 1 . 0 : description , evaluation and implementation into NASA GISS, , 2399–2417, doi:10.5194/gmd-8-2399-2015, 2015.
#
#
# Generated with openclimatedata 0.33 from the GCB Excel file from 10.18160/gcp-2022
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
#
# Individual models
Year,CABLE-POP,CLASSIC,CLM5.0,DLEM,IBIS,ISAM,JSBACH,JULES-ES,LPJ-GUESS,LPJ,LPX-Bern,OCNv2,ORCHIDEE-v3,SDGVM,VISIT,YIBs,Multi-model mean,Model Spread (sd)
1959,-0.10711439367234,0.0658,1.2697,0.41294042,0.413882,1.48879363,0.74628,-0.0407488559260167,-0.933846,-0.621298374989927,0.380448950764958,0.917553663253784,0.618757,0.146415619609514,1.373,0.29832,0.401805228689998,0.672549813171527
1960,2.17429169233276,1.3173,1.6708,1.675302768,1.314497,1.427073467,1.8569,0.813895714423463,0.821894,0.451942795641308,0.777281956323236,1.11617660522461,1.37081,0.428356826701449,1.648,0.88158,1.23413142660293,0.506765620371629
1961,1.64725647926186,0.867,0.9862,1.339520915,0.710071,0.931395298,1.3825,0.362215740747014,0.992955,-0.229665204939053,0.517547639473007,1.41683006286621,0.896782,-0.602524703671159,1.47,0.74902,0.839819014171117,0.609079753026905
1962,1.8499617938208,1.0637,1.2688,1.844608705,0.823385,1.397696074,1.9841,1.89316773282775,1.825286,0.210361868430432,0.219818171742076,1.73148381710052,1.66123,-0.34471010736558,2.324,1.40281,1.32223119097225,0.74901799423489
1963,1.49004661908692,0.1872,0.9963,1.167286202,1.024807,1.20100879,1.2421,1.70608731417567,0.007709,-0.513541297617692,0.0259049707465306,1.46534562110901,0.703026,0.71649946600783,1.932,0.59889,0.871916855344267,0.678401579705929
1964,2.32767031251037,1.3193,2.3801,1.765232197,1.509357,1.739234412,2.0017,2.91823763311031,2.455371,0.914544298318162,1.14298029128021,1.95440554618835,1.28029,0.264140809880386,1.689,1.31805,1.68622584376799,0.661414750422364
1965,1.6802465520199,-0.932,1.1524,0.635843133,-0.305257,1.43895315,0.80291,1.57273069196374,-0.183668,-0.765820935690805,-1.18109353263371,0.663922131061554,0.990789,-1.80805219722443,1.303,0.3787,0.340225187031016,1.07709382536899
1966,1.72281350204768,2.2671,1.558,1.592678989,1.384753,1.505697952,2.3025,1.04196801699966,1.500444,0.355704315086172,0.898700069465309,1.53945553302765,1.31675,1.60562373333334,1.208,0.52403,1.39526369443499,0.522601823009878
1967,1.95606559092305,0.9122,1.801,2.187721397,1.700408,1.386238947,1.5302,2.80636149464059,1.669869,1.23123255076242,1.12172783580851,2.6565363407135,0.994872,1.59424943657018,1.692,1.57282,1.67584391208864,0.5335971002134
1968,2.22487972413756,2.735,2.2916,2.742493985,2.533761,2.182637381,1.5473,3.12454629660139,3.73878,2.58144617335381,1.97607460986347,2.79930710792542,1.62268,2.33238386385825,2.595,1.43194,2.40373938385874,0.596506563530529
1969,0.93873522136563,0.1622,1.16,0.26771093,0.63181,0.541266998,1.6285,1.15597458103808,0.719865,0.350768334092649,0.666284166052742,0.676706075668335,0.94941,0.296359586173223,0.725,0.52974,0.712520680774416,0.384780557012875
1970,1.28353918304968,0.2532,1.5724,1.025043895,0.394539,0.786685337,1.7059,0.709455169400322,0.210731,-0.376283726955045,0.45853953341393,0.924590587615967,0.89926,-0.691100055311261,1.181,1.06911,0.71291312020085,0.651456957968521
1971,3.42236811649509,3.2418,1.7705,3.220935861,2.511149,2.479234659,2.1328,3.88268558369685,3.106956,1.44842979479784,1.46331144942697,3.016432762146,1.83863,1.33703528424125,2.701,1.62161,2.44967990692525,0.811465117463153
1972,1.30952176325432,1.9225,0.9223,1.427969881,1.348168,1.013133397,-0.34872,2.14057372554175,2.295991,1.04935458272304,0.984122673347031,1.73040378093719,0.837029,0.691609028838101,1.958,0.75797,1.25249542704009,0.666886662672181
1973,2.35034189103946,3.1355,2.3035,2.176908753,1.20311,1.331645871,2.5329,1.09551505644192,3.643364,0.513793651526036,1.13819860300242,2.22015428543091,1.54775,2.11418803603106,0.875,2.06786,1.89060813421699,0.845232620973321
1974,4.82676079906154,6.1504,3.1923,4.606776913,4.833205,3.657959283,4.6977,4.8292889068437,5.25418,3.47237705812006,3.50737086645313,4.35535764694214,3.20766,3.55127161162416,4.672,2.16817,4.1864236303153,0.987071072408752
1975,2.54027519888663,3.6048,2.4337,2.721078742,2.874903,2.806613264,2.127,3.02085876540779,3.696074,1.81851715406056,2.3717842355533,3.22043299674988,1.59112,1.91148517266572,3.47,2.11184,2.64503015808274,0.64696105499286
1976,3.19702209585255,3.847,3.3576,3.120873162,2.93383,2.905628948,1.3869,5.05766036500665,2.920095,3.62409061584108,2.03714503968559,3.66966366767883,1.71285,2.31576232519928,4.071,1.66564,2.988922576204,0.985562462977946
1977,2.44238147889124,2.1896,2.2383,0.486011148,2.004026,1.530828999,1.5634,2.0932563385157,-0.052642,0.703121777296097,1.3827319457077,2.58127593994141,0.784098,1.00690503974326,1.808,1.37085,1.50825904169346,0.759060329496886
1978,3.92375868653694,4.3762,2.4377,2.386590145,2.749029,2.861759874,3.6877,3.25536894362573,3.386902,1.70129144260108,1.69975622170833,2.85434007644653,2.18855,3.10031970543904,2.569,1.31296,2.78070163095985,0.838214385368137
1979,2.47770135794618,1.0619,2.1538,1.045623901,1.290048,1.80597112,3.2017,1.4449659001526,0.457806,0.219196533112367,0.469771908791626,2.14469766616821,1.29417,0.608027979609625,2.073,0.97485,1.42020189792379,0.831147484046048
1980,2.42989639538795,-0.8384,1.5636,0.642045302,-0.425138,1.658936968,1.4394,0.729271158706169,-1.068638,-1.59421371264403,-1.12120154133872,1.1334422826767,0.755032,-0.898395325287935,1.101,1.07867,0.411581720468758,1.21843383727981
