# Global Carbon Budget 2023 — Global_Carbon_Budget_2023v1.1.xlsx  — Cement Carbonation Sink
#
# Cement Carbonation sink (positive values represent a flux from the atmosphere to the land)
# All values in million tonnes of carbon per year (MtC/yr). For values in million tonnes of CO2 per year, multiply the values below by 3.664
# 1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2
# Methods: Full details of the method are described in Friedlingstein et al (2023).
# Cite individual estimates as:
# Cao	Cao, Z., Myers, R. J., Lupton, R. C., Duan, H., Sacchi, R., Zhou, N., Reed Miller, T., Cullen, J. M., Ge, Q., and Liu, G.: The sponge effect and carbon emission mitigation potentials of the global cement cycle, Nature Communications, 11 (1), 3777, DOI: 10.1038/s41467-020-17583-w, 2020.
# Huang	Huang, Z., Wang, J., Bing, L., Qiu, Y., Guo, R., Yu, Y., Ma, M., Niu, L., Tong, D., Andrew, R.M., Friedlingstein, P., Canadell, J.G., Xi, F., Liu, Z., 2023. Global carbon uptake of cement carbonation accounts 1930-2021. Earth System Science Data 15 (11), 4947–4958. DOI: 10.5194/essd-15-4947-2023.
#
# MtC/yr
# Generated with openclimatedata 0.40.1 from the GCB Excel file 'Global_Carbon_Budget_2023v1.1.xlsx' from https://doi.org/10.18160/gcp-2023
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,GCB,Cao,Huang
1959,12.542147,10.207389,14.876905
1960,13.682051,11.14084,16.223262
1961,14.547674,11.837368,17.25798
1962,15.679867,12.753414,18.60632
1963,16.652984,13.548159,19.75781
1964,18.219985,14.821206,21.618764
1965,19.23258,15.629102,22.836059
1966,20.642783,16.78495,24.500616
1967,21.656588,17.622111,25.691066
1968,23.209644,18.884898,27.534391
1969,24.631991,20.017078,29.246905
1970,26.12931,21.229038,31.029581
1971,27.599823,22.942842,32.256804
1972,30.070061,24.478262,35.66186
1973,32.169588,26.190409,38.148767
1974,32.925987,26.762413,39.089561
1975,33.594479,27.304456,39.884502
1976,35.521518,29.289343,41.753693
1977,37.886836,30.912555,44.861117
1978,40.505965,33.029319,47.982611
1979,41.960836,34.150738,49.770933
1980,43.189286,35.172401,51.206171
1981,44.043595,35.8927,52.19449
1982,44.840545,36.621567,53.059524
1983,46.303653,37.840914,54.766393
1984,47.709806,39.000309,56.419303
1985,49.042438,40.132969,57.951908
1986,51.366814,42.023781,60.709847
1987,53.740675,43.963281,63.51807
1988,56.903743,46.597242,67.210244
1989,56.755168,48.320538,65.189798
1990,56.125968,49.316127,62.935809
1991,59.52743,50.451909,68.602952
1992,60.295293,52.737122,67.853463
1993,64.402526,55.339435,73.465617
1994,67.875021,58.548838,77.201204
1995,71.508705,61.833362,81.184048
1996,74.213619,64.520142,83.907096
1997,76.982567,66.771292,87.193841
1998,77.747163,67.700723,87.793602
1999,80.512527,70.309223,90.715831
2000,83.536938,73.200312,93.873564
2001,86.109401,74.220468,97.998334
2002,90.522969,78.632163,102.413776
2003,97.275016,85.337654,109.212377
2004,104.064894,91.649681,116.480107
2005,111.160968,98.240249,124.081688
2006,121.018477,107.114515,134.92244
2007,130.367979,113.832933,146.903025
2008,134.660751,115.715157,153.606344
2009,141.512386,124.016433,159.008339
2010,150.279147,131.957376,168.600918
2011,162.719085,144.122503,181.315668
2012,169.239681,151.325546,187.153815
2013,177.229223,161.393477,193.06497
2014,184.932111,167.699905,202.164317
2015,185.938922,,205.421709
2016,188.003953,,207.703116
2017,192.072616,,212.198095
2018,198.195623,,218.962675
2019,201.583196,,222.705199
2020,206.857741,,228.532414
2021,216.462506,,239.143572
2022,217.464615,,
