# Global Carbon Budget 2023 — Global_Carbon_Budget_2023v1.1.xlsx  — Fossil Emissions by Category
#
# Fossil fuel and cement production emissions by fuel type
# All values in million tonnes of carbon per year (MtC/yr), except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in million tonnes of CO2 per year, multiply the values below by 3.664
# 1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2
# Methods: Full details of the method are described in Friedlingstein et al (2023) and Andrew and Peters (2022). Full country and fuel data can be found at https://zenodo.org/record/7215364
# The uncertainty for the global estimates is about ±5 % for a ± 1 sigma confidence level.
# Cite as: Friedlingstein et al (2023; see summary tab)
#
# MtC/yr
# Generated with openclimatedata 0.38 from the GCB Excel file 'Global_Carbon_Budget_2023v1.1.xlsx' from https://doi.org/10.18160/gcp-2023
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,fossil.emissions.excluding.carbonation,Coal,Oil,Gas,Cement.emission,Flaring,Other,Per.Capita
1850,53.6986807874229,53.6986807874229,0.0,0.0,0.0,0.0,0.0,0.0425274753640495
1851,54.2216426741618,54.2216426741618,0.0,0.0,0.0,0.0,0.0,0.0427235593716777
1852,56.6086833380389,56.6086833380389,0.0,0.0,0.0,0.0,0.0,0.0443781521557701
1853,59.2577616613298,59.2577616613298,0.0,0.0,0.0,0.0,0.0,0.0462194518028649
1854,69.6051224124126,69.6051224124126,0.0,0.0,0.0,0.0,0.0,0.0540151365883038
1855,70.9891905591979,70.9791905591979,0.01,0.0,0.0,0.0,0.0,0.0548102710406764
1856,75.6813443540825,75.6703443540825,0.011,0.0,0.0,0.0,0.0,0.0581372008875032
1857,76.4006594644642,76.3866594644642,0.014,0.0,0.0,0.0,0.0,0.0583925509768789
1858,77.5723677259311,77.5553677259311,0.017,0.0,0.0,0.0,0.0,0.0589876872687145
1859,82.2820047636301,82.2670061491683,0.014998614461781,0.0,0.0,0.0,0.0,0.0622517422333569
1860,90.3282150557627,90.2523610246964,0.075854031066273,0.0,0.0,0.0,0.0,0.0679923700399963
1861,94.9197088063564,94.6611627745433,0.258546031813143,0.0,0.0,0.0,0.0,0.0710854119175179
1862,96.749155360469,96.3659429765836,0.383212383885396,0.0,0.0,0.0,0.0,0.0720867251315421
1863,103.215104472416,102.86092584009,0.354178632325985,0.0,0.0,0.0,0.0,0.0765123535114906
1864,111.278923149674,110.97472193823,0.304201211444581,0.0,0.0,0.0,0.0,0.0820686061785382
1865,118.138408518543,117.777104545918,0.361303972625632,0.0,0.0,0.0,0.0,0.0866814648775173
1866,121.875979066102,121.337624682916,0.538354383185278,0.0,0.0,0.0,0.0,0.0889649374490979
1867,130.502387676132,129.954777802661,0.547609873471205,0.0,0.0,0.0,0.0,0.0947717766010553
1868,134.157193060025,133.529216444432,0.627976615592735,0.0,0.0,0.0,0.0,0.0969232641437046
1869,142.454750072824,141.735878063384,0.71887200943981,0.0,0.0,0.0,0.0,0.102385333490568
1870,145.561748668654,144.700589683522,0.861158985131683,0.0,0.0,0.0,0.0,0.104075287007535
1871,154.719261446191,153.813284370356,0.905977075835186,0.0,0.0,0.0,0.0,0.110046600790096
1872,171.206673020772,170.187166082807,1.01950693796477,0.0,0.0,0.0,0.0,0.121136985822047
1873,181.899896665575,180.346295787859,1.55360087771531,0.0,0.0,0.0,0.0,0.128027678456367
1874,170.369139046317,168.658667602629,1.71047144368781,0.0,0.0,0.0,0.0,0.119280321715711
1875,184.801807765625,183.202940899439,1.59886686618674,0.0,0.0,0.0,0.0,0.128700804673275
1876,187.440017857982,185.649628203189,1.79038965479282,0.0,0.0,0.0,0.0,0.129844893422763
1877,191.158406479728,188.744857708439,2.41354877128934,0.0,0.0,0.0,0.0,0.131714453292469
1878,192.678373324934,189.930743174217,2.74763015071693,0.0,0.0,0.0,0.0,0.132050509485444
1879,206.329279768356,202.867722838965,3.46155692939121,0.0,0.0,0.0,0.0,0.140645001678616
1880,233.05578932646,228.854747843799,4.20099445103453,0.0,4.70316271300428e-05,0.0,0.0,0.158004180791402
1881,241.141938213189,236.42954108587,4.7123404064796,0.0,5.67208398036545e-05,0.0,0.0,0.162598020774965
1882,254.738028370915,249.517295736389,5.17565889743396,0.045,7.37370917447508e-05,0.0,0.0,0.170827733202958
1883,270.94803640005,266.332409942832,4.51153289398542,0.103998499105236,9.50641275109249e-05,0.0,0.0,0.180701036541401
1884,274.054061351139,268.728003674496,5.00596692329998,0.32,9.07533436858472e-05,0.0,0.0,0.181764293907764
1885,276.101837281958,269.908626149571,5.17911697579357,1.014,9.41565940740665e-05,0.0,0.0,0.182107020558302
1886,280.408709569413,272.352588684124,5.96101878777794,2.095,0.000102097511646578,0.0,0.0,0.183916646477294
1887,294.41780302468,284.788171181218,6.41247999623786,3.217,0.000151847224108348,0.0,0.0,0.192022701397913
1888,325.969608425478,314.679148985081,6.71231189145457,4.578,0.000147548941556363,0.0,0.0,0.211402999561693
1889,326.043685894016,314.94899931933,7.75752775633495,3.337,0.000158818351450233,0.0,0.0,0.210252741302706
1890,354.902375796312,342.250688239038,9.46153514368393,3.18997090690209,0.000181506687371694,0.0,0.0,0.22755830518711
1891,371.656708495185,358.066703534921,11.147818398797,2.442,0.000186561467108309,0.0,0.0,0.236935161540046
1892,374.562358044789,361.462511301196,10.9776480250583,2.122,0.00019871853545677,0.0,0.0,0.237411116124458
1893,369.944689080411,356.338497636731,11.6170098810203,1.989,0.000181562659496413,0.0,0.0,0.233124819049838
1894,382.920077768977,369.70422775342,11.3876445323274,1.82801575780563,0.000189725423617564,0.0,0.0,0.239894264751726
1895,405.958618155617,390.78402806029,13.252406667132,1.92198532723622,0.000198100958952987,0.0,0.0,0.25283577815336
1896,419.313758213392,403.091253570553,14.3533030384015,1.86898575956601,0.000215844871203757,0.0,0.0,0.259612595722699
1897,439.200754113624,422.049433340452,15.16208600749,1.98898543305357,0.000249332628140475,0.0,0.0,0.270311349677189
1898,463.200439844771,445.280352455836,15.6108126057787,2.309,0.000274783155518695,0.0,0.0,0.283380026088658
1899,505.925005293486,486.554635386654,16.3940177737616,2.976,0.000352133069810572,0.0,0.0,0.307659157440216
1900,532.808265252405,511.277091470116,18.3807931540237,3.15,0.000380628265823465,0.0,0.0,0.32204925557035
1901,550.42152815684,526.50129257248,20.4097808298611,3.51,0.000454754498758791,0.0,0.0,0.330611711162707
1902,564.324221676258,538.522319639955,22.063313059361,3.738,0.00058897694199724,0.0,0.0,0.336717576264067
1903,615.202005945691,587.872635648176,23.363674760564,3.965,0.000695536951948713,0.0,0.0,0.364535973533349
1904,622.201805429747,591.325308957841,26.2362856841528,4.13898300166899,0.000750165997562162,0.0,0.500477620087336,0.36604849019532
1905,662.477723211855,630.754067359519,26.4961814511669,4.686,0.000958571475446999,0.0,0.540515829694323,0.386891938157999
1906,691.794005628853,659.283373945684,26.7358502156935,5.193,0.00122742817432909,0.0,0.58055403930131,0.401013569323763
1907,788.296394572222,749.692141575855,32.6174710664933,5.42498346971378,0.00126352566170871,0.0,0.560534934497816,0.453538596723533
1908,757.76226449748,716.685298062202,35.1749918183335,5.37,0.0314969968574603,0.0,0.500477620087336,0.432716728322636
