# Global Carbon Budget 2024 — Fossil Emissions by Category
#
# Fossil fuel and cement production emissions by fuel type
# All values in million tonnes of carbon per year (MtC/yr), except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in million tonnes of CO2 per year, multiply the values below by 3.664
# 1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2
# Methods: Full details of the method are described in Friedlingstein et al (2024) and Andrew and Peters (2024). Full country and fuel data can be found at https://zenodo.org/records/13981696
# The uncertainty for the global estimates is about ±5 % for a ± 1 sigma confidence level.
# Cite as: Friedlingstein et al (2024; see summary tab)
#
# MtC/yr
#
#
# Generated with openclimatedata 0.34.1 from the GCB Excel file from https://doi.org/10.18160/gcp-2024
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,fossil.emissions.excluding.carbonation,Coal,Oil,Gas,Cement.emission,Flaring,Other,Per.Capita
1850,53.7247802539048,53.7247802539048,0.0,0.0,0.0,0.0,0.0,0.0425481452278441
1851,54.2517867741618,54.2517867741618,0.0,0.0,0.0,0.0,0.0,0.0427473112018056
1852,56.6580487380389,56.6580487380389,0.0,0.0,0.0,0.0,0.0,0.0444168519647614
1853,59.2895654613298,59.2895654613298,0.0,0.0,0.0,0.0,0.0,0.04624425790691
1854,69.6065931124127,69.6065931124127,0.0,0.0,0.0,0.0,0.0,0.054016277884499
1855,71.0316187898205,71.0216187898205,0.01,0.0,0.0,0.0,0.0,0.0548430295888706
1856,75.9404003540825,75.9294003540825,0.011,0.0,0.0,0.0,0.0,0.0583362035722685
1857,76.7415524644642,76.7275524644642,0.014,0.0,0.0,0.0,0.0,0.0586530933860635
1858,77.9335124412735,77.9165124412735,0.017,0.0,0.0,0.0,0.0,0.0592623094331769
1859,82.5797422283872,82.5647436139254,0.014998614461781,0.0,0.0,0.0,0.0,0.0624770001857186
1860,90.6928100557627,90.6181732274224,0.0746368283402509,0.0,0.0,0.0,0.0,0.0682668100711585
1861,95.3029952063565,95.0461660338078,0.256829172548638,0.0,0.0,0.0,0.0,0.0713724552720436
1862,97.159136960469,96.7774053210222,0.381731639446754,0.0,0.0,0.0,0.0,0.0723921978852636
1863,103.584849372416,103.23192172805,0.352927644366354,0.0,0.0,0.0,0.0,0.0767864418112843
1864,111.770041749674,111.467095295846,0.302946453828604,0.0,0.0,0.0,0.0,0.0824308079129686
1865,118.682131418543,118.321919709634,0.360211708909076,0.0,0.0,0.0,0.0,0.087080409624196
1866,122.561960866102,122.029236259563,0.532724606538312,0.0,0.0,0.0,0.0,0.0894656786812576
1867,131.226503376132,130.684757335488,0.541746040644323,0.0,0.0,0.0,0.0,0.095297634652971
1868,134.960023760025,134.335352077516,0.624671682508808,0.0,0.0,0.0,0.0,0.0975032775609797
1869,143.212626072824,142.499115564751,0.713510508073319,0.0,0.0,0.0,0.0,0.102930035488675
1870,146.321854868654,145.466753650547,0.855101218107665,0.0,0.0,0.0,0.0,0.104618755821594
1871,155.506710346191,154.610960518003,0.895749828188887,0.0,0.0,0.0,0.0,0.110606686676823
1872,172.205642320772,171.196311477507,1.00933084326553,0.0,0.0,0.0,0.0,0.121843804825043
1873,182.987776465575,181.440429928812,1.54734653676229,0.0,0.0,0.0,0.0,0.128793367320334
1874,171.578120946317,169.874242724959,1.70387822135836,0.0,0.0,0.0,0.0,0.120126764626602
1875,185.875541265625,184.282970964237,1.59257030138873,0.0,0.0,0.0,0.0,0.129448580721169
1876,188.477762957982,186.69397151837,1.78379143961137,0.0,0.0,0.0,0.0,0.13056376820441
1877,192.148706979728,189.740504185844,2.4082027938842,0.0,0.0,0.0,0.0,0.13239680303243
1878,193.681645524934,190.94143810991,2.7402074150234,0.0,0.0,0.0,0.0,0.132738093685354
1879,207.367464468356,203.912478146439,3.45498632191697,0.0,0.0,0.0,0.0,0.141352683540532
1880,234.18550042646,229.992380673583,4.19307272125004,0.0,4.70316271300428e-05,0.0,0.0,0.158770087861989
1881,242.34851771319,237.642746725149,4.70571426720049,0.0,5.67208398036545e-05,0.0,0.0,0.163411597376618
1882,255.973859470915,250.759910947092,5.16887478673155,0.045,7.37370917447508e-05,0.0,0.0,0.171656483534366
1883,272.24742330005,267.63974325379,4.503586483027,0.103998499105236,9.50641275109249e-05,0.0,0.0,0.181567625437257
1884,275.499400351139,270.178797372915,5.00051222488043,0.32,9.07533436858472e-05,0.0,0.0,0.182722904123198
1885,277.604953581958,271.416560998589,5.17429842677513,1.014,9.41565940740665e-05,0.0,0.0,0.183098422983002
1886,281.826876669413,273.775606651049,5.95616792085282,2.095,0.000102097511646578,0.0,0.0,0.184846804950535
1887,295.77716022468,286.151332391465,6.40867598599099,3.217,0.000151847224108348,0.0,0.0,0.192909289909298
1888,327.729705325478,316.442934942235,6.70862283430122,4.578,0.000147548941556363,0.0,0.0,0.212544485622239
1889,327.924735894016,316.834657415461,7.75291966020349,3.337,0.000158818351450233,0.0,0.0,0.211465756417361
1890,356.602391796312,343.955245733108,9.45699364961373,3.18997090690209,0.000181506687371694,0.0,0.0,0.228648331025576
1891,373.612338095185,360.026314462142,11.1438370715761,2.442,0.000186561467108309,0.0,0.0,0.238181896509703
1892,376.585415244789,363.489961407363,10.9732551188906,2.122,0.00019871853545677,0.0,0.0,0.238693402658382
1893,371.865451880411,358.264309480928,11.6119608368231,1.989,0.000181562659496413,0.0,0.0,0.234335209395759
1894,385.243702668977,372.03430747459,11.3811897111577,1.82801575780563,0.000189725423617564,0.0,0.0,0.241349984415714
1895,408.089202555617,392.919638788393,13.2473803390288,1.92198532723622,0.000198100958952987,0.0,0.0,0.254162731051029
1896,421.577749213392,405.360689518598,14.3478580903566,1.86898575956601,0.000215844871203757,0.0,0.0,0.261014315958894
1897,441.455458013624,424.310668230514,15.1555550174273,1.98898543305357,0.000249332628140475,0.0,0.0,0.271699034121314
1898,465.600676444771,447.687794020982,15.603607640633,2.309,0.000274783155518695,0.0,0.0,0.284848459733831
1899,508.497648793486,489.137326609741,16.3839700506748,2.976,0.000352133069810572,0.0,0.0,0.309223613285099
1900,535.341359152405,513.820854780535,18.3701237436038,3.15,0.000380628265823465,0.0,0.0,0.323580352323135
1901,552.39186985684,528.480462879594,20.4009522227467,3.51,0.000454754498758791,0.0,0.0,0.331795200557088
