# Global Carbon Budget 2024 — Global_Carbon_Budget_2024_v1.1.xlsx  — Global Carbon Budget
#
# Global Carbon Budget
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide per year (GtCO2/yr) , multiply the numbers below by 3.664.
# Note: 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# All uncertainties represent ± 1 sigma error (68 % chance of being in the range provided)
# Emissions from fossil fuel combustion and industrial processes (uncertainty of ±5% for a ± 1 sigma confidence level):
# Cite as: Friedlingstein et al. 2024 (see Summary tab).
# Emissions from land-use change (uncertainty of ±0.7 GtC/yr). Average of four bookkeeping models: H&N (Houghton & Castanho, 2023), BLUE (Hansis, et al., 2015), OSCAR (Gasser et al., 2020), and LUCE (Qin et al., 2024).
# Cite as: Friedlingstein et al. 2024  (see Summary tab).
# The atmospheric CO2 growth rate (variable uncertainty around 0.2 GtC/yr from 1980) is estimated directly from atmospheric CO2 concentration measurements, and provided by the US National Oceanic and Atmospheric Administration Earth System Research Laboratory (NOAA/ESRL).  http://www.esrl.noaa.gov/gmd/ccgg/trends/global.html
# Cite as: Lan et al. 2024: Trends in atmospheric carbon dioxide, National Oceanic & Atmospheric Administration, Earth System Research Laboratory (NOAA/ESRL), available at http://www.esrl.noaa.gov/gmd/ccgg/trends/global.html
# 1959-1980 are based on Mauna Loa and South Pole stations as observed by the CO2 Program at Scripps Institution of Oceanography. http://scrippsco2.ucsd.edu/data/atmospheric_co2/
# 1980 onwards are global averages estimated from multiple stations run by NOAA/ESRL.
# The ocean sink (uncertainty of ±0.4 GtC/yr on average) is estimated from the average of 10 global ocean biogeochemistry models and the average of 8 ocean fCO2 data products.
# Cite as: Friedlingstein et al. 2024 (see Summary tab).
# The land sink (uncertainty of ±0.5 GtC/yr on average) was estimated from the average of 20 dynamic global vegetation models.
# Cite as: Friedlingstein et al. 2024 (see Summary tab).
# The cement carbonation sink  is the average of two estimates:
# Cite as: Friedlingstein et al. 2024 (see Summary tab).
# The budget imbalance is the sum of emissions (fossil fuel and industry + land-use change) minus (atmospheric growth + ocean sink + land sink + cement carbonation sink); it is a measure of our imperfect data and understanding of the contemporary carbon cycle.
# Cite as: Friedlingstein et al. 2024 (see Summary tab).
# GtC/yr
# Generated with openclimatedata 0.38 from the GCB Excel file 'Global_Carbon_Budget_2024_v1.1.xlsx' from https://doi.org/10.18160/gcp-2024
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,fossil emissions excluding carbonation,land-use change emissions,atmospheric growth,ocean sink,land sink,cement carbonation sink,budget imbalance
1959,2.41667280224566,2.1134525,2.03904,1.00844107356389,0.368378445686921,0.0125421466923516,1.10172363630249
1960,2.56195698910899,1.8302425,1.50804,0.999830203808642,1.09642562061473,0.01368205142525,0.774221613260374
1961,2.56960756999731,1.8614975,1.65672,0.879819334053401,0.845490983191056,0.0145476739776071,1.03452707877524
1962,2.66028579811629,1.72781,1.18944,0.957408464298155,1.31912584264237,0.0156798665482469,0.906441624627522
1963,2.80206665217928,1.6815725,1.21068,1.13229759454291,0.874708975886814,0.0166529843536245,1.24929959739593
1964,2.95427568172774,1.599025,1.04076,1.26268672478766,1.58686575810255,0.0182199849783153,0.644768213859215
1965,3.08695426906357,1.535235,2.3364,1.36247585503241,0.369738698059748,0.0192325801248902,0.53434213584652
1966,3.23762181333353,1.425445,2.3364,1.32436498527717,1.45137546671214,0.0206427832085339,-0.469716421864314
1967,3.33989336127534,1.4740325,1.29564,1.16075411552193,1.57661945378884,0.021656588363145,0.759255703601426
1968,3.52218424445128,1.45535,2.10276,1.25104324576668,2.36406061591851,0.023209644354823,-0.763539261588742
1969,3.75594576654315,1.5927875,2.80368,1.36533237601144,0.702455993061356,0.0246319911316004,0.452632906338748
1970,4.06635492284044,1.5540675,2.40012,1.21432150625619,0.659202704672895,0.0261293095755532,1.3206489023358
1971,4.23140139653493,1.39686,1.55052,1.29211063650095,2.22962696187325,0.0275998227691944,0.528403975391543
1972,4.42811043943136,1.4712225,3.12228,1.57209976674571,1.18799907156168,0.0300700608300569,-0.0131159597060804
1973,4.6629620355452,1.431245,3.10104,1.46138889699046,1.59480277209718,0.0321695880929776,-0.095194221635416
1974,4.64275973872558,1.4024025,1.44432,1.38907802723522,3.72193091922653,0.0329259870967385,-0.543092694832904
1975,4.65413554208164,1.3808225,2.61252,1.30706715747997,2.43191957032019,0.0335944788308694,-0.350143164549384
1976,4.90969215774536,1.3876025,2.06028,1.51715628772473,2.98306130844988,0.0355215181233997,-0.298724456552641
1977,5.04875388008006,1.50485,4.07808,1.62534541796948,1.29473122163381,0.037886836026494,-0.482439595549723
1978,5.20450069314456,1.4773625,2.73996,1.61033454821424,2.50835452150661,0.040505964720794,-0.217291841297079
1979,5.35180684813502,1.279135,4.54536,1.57712367845899,1.16221902778766,0.0419608356097419,-0.69572169372137
1980,5.31892041733867,1.3557675,3.56832,1.89711280870375,0.373093569107295,0.0431892858071925,0.792972253720438
1981,5.19184082439429,1.318215,2.4426,1.81600193894851,2.12154303075447,0.0440435947827054,0.0858672599086161
1982,5.15040881731943,1.2400925,2.124,1.92499106919326,1.51014312076551,0.0448405454373189,0.78652658192334
1983,5.18338166838679,1.3059375,3.90816,2.12058019943801,0.230185618301816,0.0463036531460914,0.184089697500871
1984,5.36239121716387,1.53905,2.61252,1.89846932968277,2.6818278545771,0.0477098059649011,-0.339085773060907
1985,5.54364127336096,1.44404,3.5046,1.81205845992753,2.57536378788462,0.0490424383922362,-0.953383412843423
1986,5.62635458280538,1.50851,2.16648,1.87864759017228,2.36342194159167,0.0513668138867222,0.674948237154712
1987,5.7996928497544,1.45737,5.6286,1.98113672041703,0.592846277560217,0.0537406754384469,-0.999260823661294
1988,6.02760098570334,1.411295,4.60908,1.88812585066179,1.99203313641585,0.0569037427331009,-1.10724674410739
1989,6.10989014052626,1.351895,3.10104,1.86341498090654,3.44272389383666,0.0567551680659259,-1.00214890228287
1990,6.20332650043918,1.3582425,2.59128,2.01916189932745,2.38729776497544,0.0561259684803673,0.50770336765592
1991,6.32808445502293,1.3564375,1.593,2.17662274875027,2.13086558502565,0.0595274303624526,1.72450619088456
