# Global Carbon Budget 2025 — Global_Carbon_Budget_2025_v1.0.xlsx  — Cement Carbonation Sink
#
# Cement Carbonation sink (positive values represent a flux from the atmosphere to the land)
# All values in billion tonnes of carbon per year (GtC/yr), except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in billion tonnes of CO2 per year, multiply the values below by 3.664
# 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# Methods: Full details of the method are described in Friedlingstein et al (2025).
# Cite individual estimates as:
# Cao	Cao, Z., Myers, R. J., Lupton, R. C., Duan, H., Sacchi, R., Zhou, N., Reed Miller, T., Cullen, J. M., Ge, Q., and Liu, G.: The sponge effect and carbon emission mitigation potentials of the global cement cycle, Nature Comm
# Huang	Huang, Z., Wang, J., Bing, L., Qiu, Y., Guo, R., Yu, Y., Ma, M., Niu, L., Tong, D., Andrew, R.M., Friedlingstein, P., Canadell, J.G., Xi, F., Liu, Z.: Global carbon uptake of cement carbonation accounts 1930-2021. Earth System Science Data 15 (11), 4947–4958, https://doi.org/10.5194/essd-15-4947-2023, 2023.
#
# GtC/yr
# Generated with openclimatedata 0.38 from the GCB Excel file 'Global_Carbon_Budget_2025_v1.0.xlsx' from https://doi.org/10.18160/gcp-2025
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,GCB,Cao,Huang
1959,0.013422795,0.010207389,0.014876905
1960,0.014642637,0.01114084,0.016223262
1961,0.01561536,0.011837368,0.01725798
1962,0.01674701,0.012753414,0.01860632
1963,0.017818609,0.013548159,0.01975781
1964,0.01948775,0.014821206,0.021618764
1965,0.020532104,0.015629102,0.022836059
1966,0.022035198,0.01678495,0.024500616
1967,0.023113855,0.017622111,0.025691066
1968,0.024712219,0.018884898,0.027534391
1969,0.026169346,0.020017078,0.029246905
1970,0.027733453,0.021229038,0.031029581
1971,0.029442299,0.022942842,0.032256804
1972,0.0312159,0.024478262,0.03566186
1973,0.033593512,0.026190409,0.038148767
1974,0.034312049,0.026762413,0.039089561
1975,0.034625223,0.027304456,0.039884502
1976,0.03699347,0.029289343,0.041753693
1977,0.038822476,0.030912555,0.044861117
1978,0.04136374,0.033029319,0.047982611
1979,0.042667138,0.034150738,0.049770933
1980,0.043716565,0.035172401,0.051206171
1981,0.044374974,0.0358927,0.05219449
1982,0.044910709,0.036621567,0.053059524
1983,0.046106053,0.037840914,0.054766393
1984,0.047416243,0.039000309,0.056419303
1985,0.048517518,0.040132969,0.057951908
1986,0.050302549,0.042023781,0.060709847
1987,0.05235096,0.043963281,0.06351807
1988,0.054950758,0.046597242,0.067210244
1989,0.056775603,0.048320538,0.065189798
1990,0.057645124,0.049316127,0.062935809
1991,0.059286251,0.050451909,0.068602952
1992,0.061980431,0.052737122,0.067853463
1993,0.064762512,0.055339435,0.073465617
1994,0.068138602,0.058548838,0.077201204
1995,0.071323599,0.061833362,0.081184048
1996,0.074291646,0.064520142,0.083907096
1997,0.077053152,0.066771292,0.087193841
1998,0.078040185,0.067700723,0.087793602
1999,0.080723031,0.070309223,0.090715831
2000,0.083438738,0.073200312,0.093873564
2001,0.086315711,0.074220468,0.097998334
2002,0.090883604,0.078632163,0.102413776
2003,0.097629224,0.085337654,0.109212377
2004,0.10410281,0.091649681,0.116480107
2005,0.111207969,0.098240249,0.124081688
2006,0.120674473,0.107114515,0.13492244
2007,0.129992477,0.113832933,0.146903025
2008,0.135391435,0.115715157,0.153606344
2009,0.142564446,0.124016433,0.159008339
2010,0.152219571,0.131957376,0.168600918
2011,0.163509472,0.144122503,0.181315668
2012,0.171370723,0.151325546,0.187153815
2013,0.18121332,0.161393477,0.19306497
2014,0.187245879,0.167699905,0.202164317
2015,0.189520789,,0.205421709
2016,0.192173709,,0.207703116
2017,0.19518034,,0.212198095
2018,0.199661237,,0.218962675
2019,0.209573859,,0.222705199
2020,0.21364825,,0.228532414
2021,0.224417152,,0.239143572
2022,0.220895925,,
2023,0.227370673,,
2024,0.224290503,,
