# Global Carbon Budget 2025 — Fossil Emissions by Category
#
# Fossil fuel and cement production emissions by fuel type
# All values in billion tonnes of carbon per year (GtC/yr), except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in billion tonnes of CO2 per year, multiply the values below by 3.664
# 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# Methods: Full details of the method are described in Friedlingstein et al (2025) and Andrew and Peters (2025). Full country and fuel data can be found at https://zenodo.org/records/17417124
# The uncertainty for the global estimates is about ±5 % for a ± 1 sigma confidence level.
# Cite as: Friedlingstein et al (2025; see summary tab)
#
# GtC/yr
#
#
# Generated with openclimatedata 0.36 from the GCB Excel file from https://doi.org/10.18160/gcp-2025
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,fossil.emissions.excluding.carbonation,Coal,Oil,Gas,Cement.emission,Flaring,Other,Per.Capita
1850,0.0537247802539048,0.0537247802539048,0.0,0.0,0.0,0.0,0.0,0.04254814522784411
1851,0.0542517867741618,0.0542517867741618,0.0,0.0,0.0,0.0,0.0,0.04274731120180563
1852,0.0566580487380389,0.0566580487380389,0.0,0.0,0.0,0.0,0.0,0.04441685196476139
1853,0.0592895654613298,0.0592895654613298,0.0,0.0,0.0,0.0,0.0,0.04624425790690995
1854,0.0696065931124127,0.0696065931124127,0.0,0.0,0.0,0.0,0.0,0.05401627788449904
1855,0.0710316187898205,0.0710216187898205,1e-05,0.0,0.0,0.0,0.0,0.054843029588870586
1856,0.0759404003540825,0.0759294003540825,1.1e-05,0.0,0.0,0.0,0.0,0.058336203572268534
1857,0.0767415524644642,0.0767275524644642,1.4e-05,0.0,0.0,0.0,0.0,0.058653093386063455
1858,0.0779335106275628,0.0779165106275628,1.7e-05,0.0,0.0,0.0,0.0,0.05926230805399248
1859,0.0825797393020641,0.0825647406876023,1.4998614461781e-05,0.0,0.0,0.0,0.0,0.062476997971762926
1860,0.0906928070989571,0.0906181820450081,7.46250539489293e-05,0.0,0.0,0.0,0.0,0.06826680784549494
1861,0.0953029929201665,0.0950461755911425,0.000256817329024064,0.0,0.0,0.0,0.0,0.07137245355991499
1862,0.0971591344304188,0.0967774146466186,0.000381719783800268,0.0,0.0,0.0,0.0,0.07239219600015118
1863,0.103584846568023,0.103231937933733,0.000352908634289887,0.0,0.0,0.0,0.0,0.07678643973241504
1864,0.111770039097694,0.111467118315459,0.00030292078223523,0.0,0.0,0.0,0.0,0.08243080595712357
1865,0.118682128812287,0.118321945310691,0.000360183501596115,0.0,0.0,0.0,0.0,0.08708040771191244
1866,0.122561957924537,0.122029269037072,0.000532688887465711,0.0,0.0,0.0,0.0,0.08946567653402486
1867,0.131226503376132,0.130684808625456,0.000541694750676266,0.0,0.0,0.0,0.0,0.09529763465297099
1868,0.134960023760025,0.134335436816504,0.000624586943521245,0.0,0.0,0.0,0.0,0.09750327756097966
1869,0.143212626072824,0.142499202434816,0.000713423638007477,0.0,0.0,0.0,0.0,0.10293003548867519
1870,0.146321854868654,0.145466841488412,0.000855013380242271,0.0,0.0,0.0,0.0,0.10461875582159354
1871,0.155506710346191,0.154611035758073,0.000895674588118938,0.0,0.0,0.0,0.0,0.11060668667682325
1872,0.172205642320772,0.171196394424543,0.00100924789622913,0.0,0.0,0.0,0.0,0.12184380482504259
1873,0.182987776465575,0.181440594950461,0.00154718151511385,0.0,0.0,0.0,0.0,0.12879336732033408
1874,0.171578120946317,0.169874482933009,0.00170363801330809,0.0,0.0,0.0,0.0,0.12012676462660217
1875,0.185875541265626,0.184283305002376,0.0015922362632494,0.0,0.0,0.0,0.0,0.12944858072116883
1876,0.188477762957982,0.186694437744702,0.0017833252132802,0.0,0.0,0.0,0.0,0.13056376820441012
1877,0.192148706979728,0.189741016787295,0.00240769019243335,0.0,0.0,0.0,0.0,0.13239680303242987
1878,0.193681637401339,0.190942092947825,0.00273954445351406,0.0,0.0,0.0,0.0,0.1327380881179166
1879,0.2073674570611,0.203913161206698,0.00345429585440203,0.0,0.0,0.0,0.0,0.1413526784913529
1880,0.234232476852645,0.229993182413671,0.00419226281184371,0.0,4.70316271300428e-05,0.0,0.0,0.15880193633808687
1881,0.242405173831236,0.237643563790379,0.00470488920105298,0.0,5.67208398036545e-05,0.0,0.0,0.16344979966000106
1882,0.256047513772256,0.250760763065161,0.00516801361535036,4.5e-05,7.37370917447508e-05,0.0,0.0,0.17170587622778982
1883,0.272342381831718,0.267640721958449,0.00450259724665329,0.000103998499105236,9.50641275109249e-05,0.0,0.0,0.18163095531160844
1884,0.275590051754392,0.270179602323366,0.00499969608733992,0.00032,9.07533436858472e-05,0.0,0.0,0.1827830279842446
1885,0.277699005655378,0.271417294828048,0.00517355423325529,0.001014,9.41565940740665e-05,0.0,0.0,0.18316045640891598
1886,0.281928860972665,0.273776345186753,0.00595541827426565,0.002095,0.000102097511646578,0.0,0.0,0.18491369520895903
1887,0.295928843086921,0.286151881942414,0.0064081139203979,0.003217,0.000151847224108348,0.0,0.0,0.19300821922900602
1888,0.327877093044893,0.316443450825464,0.0067080932778734,0.004578,0.000147548941556363,0.0,0.0,0.21264007185229722
1889,0.328083379850541,0.316835337246074,0.00775222425301625,0.003337,0.000158818351450233,0.0,0.0,0.21156805966135447
1890,0.356783699617194,0.343955882214469,0.00945633980845141,0.00318997090690209,0.000181506687371694,0.0,0.0,0.22876458299583896
1891,0.373798694360758,0.360026788813815,0.0111433440798342,0.002442,0.000186561467108309,0.0,0.0,0.23830070063963815
1892,0.376783914758127,0.363490504992938,0.0109726912297321,0.002122,0.00019871853545677,0.0,0.0,0.2388192188008734
1893,0.372046812474998,0.358264926526705,0.0116113232887958,0.001989,0.000181562659496413,0.0,0.0,0.2344494958203081
1894,0.385433215794856,0.372035222684094,0.0113802519293393,0.00182801575780563,0.000189725423617564,0.0,0.0,0.24146871183334756
1895,0.408287077081828,0.392920140454217,0.0132468503414215,0.00192198532723622,0.000198100958952987,0.0,0.0,0.25428596962159716
1896,0.421793347423544,0.405361280623859,0.0143472361689156,0.00186898575956601,0.000215844871203757,0.0,0.0,0.26114780075369165
1897,0.441704508753792,0.424311412505025,0.0151547781875721,0.00198898543305357,0.000249332628140475,0.0,0.0,0.27185231537386784
1898,0.465875147931585,0.447688599144682,0.0156027656313837,0.002309,0.000274783155518695,0.0,0.0,0.28501637783235473
1899,0.508849388944599,0.489138656668806,0.0163825992059823,0.002976,0.000352133069810572,0.0,0.0,0.30943751075487613
1900,0.535721557804534,0.513822197657145,0.018368731881565,0.00315,0.000380628265823465,0.0,0.0,0.32381015861720375
1901,0.552846116485288,0.528481322205888,0.0204000397806415,0.00351,0.000454754498758791,0.0,0.0,0.3320680446364683
1902,0.566854800714091,0.54047453915425,0.0220532846178435,0.003738,0.00058897694199724,0.0,0.0,0.3382275069164015
1903,0.618065460813062,0.590053293002326,0.0233516308587875,0.003965,0.000695536951948713,0.0,0.0,0.3662327045219631
1904,0.625069581980008,0.593459150172664,0.0262208051880256,0.00413898300166899,0.000750165997562162,0.0,0.000500477620087336,0.36773563617798877
1905,0.666094576618949,0.633432957884968,0.0264765314288396,0.004686,0.000958571475446999,0.0,0.000540515829694323,0.38900420756068804
1906,0.695681836472895,0.66196749933539,0.026713354923875,0.005193,0.00122742817432909,0.0,0.00058055403930131,0.4032672357490436
1907,0.792835501493771,0.752996498317725,0.0325899591101263,0.00542498346971378,0.00126352566170871,0.0,0.000560534934497816,0.4561501273581423
1908,0.761570690375401,0.71923646812739,0.0351471172965513,0.00537,0.00131662733137271,0.0,0.000500477620087336,0.4348915127677894
1909,0.793425668415555,0.748041278780804,0.0366697387218301,0.00641999942987457,0.00165404012933533,0.0,0.00064061135371179,0.4497288781689794
1910,0.832498081683658,0.783797552897543,0.0393268316077114,0.0068,0.00193308582469231,0.0,0.00064061135371179,0.46843890064841276
1911,0.845307682334072,0.793980247637633,0.0417070264796089,0.00701901021400778,0.00198080575391411,0.0,0.000620592248908297,0.47224452673080936
1912,0.888081000381355,0.834737011580851,0.04289327192618,0.007728,0.00208210552061271,0.0,0.00064061135371179,0.4926311650671653
1913,0.962021264534276,0.901297542486801,0.0496608174370802,0.008078,0.00232427415187881,0.0,0.000660630458515284,0.5298914708861967
1914,0.87274834614197,0.81092400110781,0.0507651019329707,0.00822501719470442,0.00221363365757633,0.0,0.000620592248908297,0.47733307350756626
1915,0.859178678850047,0.793740814852922,0.053920055531018,0.00869698413978875,0.00216019386780241,0.0,0.000660630458515284,0.4665793706904199
1916,0.928010942615101,0.855760205567908,0.05873233280122,0.0104740201100873,0.00230367725815702,0.0,0.000740706877729257,0.5003415267480049
1917,0.970660071365257,0.89127223831388,0.0653288827661266,0.0110559836310269,0.00232231709090433,0.0,0.000680649563318777,0.5195136354791516
1918,0.956900864569164,0.877701191333702,0.0668730140190628,0.00996700057926241,0.00177910459783552,0.0,0.00058055403930131,0.5083251257504519
1919,0.829998111056313,0.74240031005836,0.0746208228871618,0.0103569963201472,0.00201940864653885,0.0,0.000600573144104803,0.437531388740076
1920,0.968001575927146,0.854971704352054,0.0985368217777093,0.0113770178922607,0.0024754205514103,0.0,0.00064061135371179,0.5062476021293038
1921,0.850162087856081,0.729286128470636,0.108425271471921,0.009550317256967,0.00243993124607669,0.0,0.000460439410480349,0.4409856232051321
