# Global Carbon Budget 2025 — National_Fossil_Carbon_Emissions_2025_v1.0.xlsx  — Consumption Emissions
#
# Consumption emissions
# All values in million tonnes of carbon per year. For values in million tonnes of CO2 per year, multiply the values below by 3.664
# 1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2
# CIte as: Updated from Peters, G. P., Davis, S. J., and Andrew, R.: A synthesis of carbon in international trade, Biogeosciences, 9, 3247–3276, https://doi.org/10.5194/bg-9-3247-2012, 2012.
# For an explanation of issues around consumption emissions, see: Peters, G. P., Davis, S. J., and Andrew, R.: A synthesis of carbon in international trade, Biogeosciences, 9, 3247–3276, https://doi.org/10.5194/bg-9-3247-2012, 2012.
# Consumption emissions are computed as in Peters et al. (2011), using 'Territorial Emissions' as reference
# MtC/yr
# Generated with openclimatedata 0.40.1 from the GCB Excel file 'National_Fossil_Carbon_Emissions_2025_v1.0.xlsx' from https://doi.org/10.18160/gcp-2025
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,North Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Micronesia (Federated States of),Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Iran,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,North Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norway,State of Palestine,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Bolivia,Poland,Portugal,Qatar,Cameroon,South Korea,Moldova,South Sudan,Sudan,Romania,Russia,Rwanda,Saint Helena,Saint Lucia,Sint Maarten (Dutch part),Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Saint Kitts and Nevis,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Suriname,Eswatini,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Türkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,USA,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna Islands,Yemen,Zambia,Zimbabwe,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU27,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,International Shipping,International Aviation,Statistical Difference,World
1990,,1.52114197297577,,,,,,31.534647310162,1.71812619444028,,66.7796676013271,24.1948491905188,8.12775154773565,,2.47559113748279,3.89903507414899,,17.8646186341386,32.8426332685334,,0.287730575335661,,,,,0.737,65.1425684359852,,1.04038785476598,16.984626908129002,0.225222536249379,,0.527826123449839,135.692997365606,,,,8.83700307110655,644.315208257795,16.4002425770237,,,,1.32730494056707,1.57374503819963,5.48248932150872,,,1.4896740550185,41.3311135034367,,,16.5786505459834,,,1.69084665979613,4.06370775495069,21.6188585978839,1.05213418969678,,,8.52329937782154,0.823448768318787,,,,24.1892202986283,132.469848555286,,,,2.64484064369988,327.520896099111,1.23470584552039,25.8737075193925,,,1.13992446311053,0.349308144559911,,,,0.500609859343058,16.8420875313854,24.1633340321251,,159.211977499856,40.137617695662,,10.279301803502,55.4244560718906,14.8825358970868,152.62951874716,2.49235927477522,371.847998723434,4.96116114396578,67.6370156741584,1.86188187018844,,,9.68206734996259,5.82589312018413,0.231531270671479,5.71912225024195,,,,,,11.3332138272305,3.22302579864555,,,0.313834331959508,0.189607420086213,19.7069115535582,,,0.890457288033695,,,0.535701961084827,88.8282817777634,2.4333795112676,,,8.08074304948431,0.44206440917539,,0.0,,0.311496372099629,47.6434032104593,,7.41303808287927,0.639224078330949,,10.0646276397651,,,,3.36745368824282,18.8788609432373,,0.74843087870162,,0.9919702313501,6.32896949166947,13.8722097557376,2.27907209284568,88.5589667162686,14.4073405109001,2.69740337652812,0.894880893508184,90.3344161602161,,,,43.8753726919486,557.59726943732,0.171662061754233,,,,,,47.2639674585414,0.895522589302061,,,,16.8533126336579,19.3724566937349,5.8678637157091,,,85.4077209940595,73.9433655195487,0.886066058411358,,,,,,30.6138993197812,23.6781430026647,,22.2695748569317,1.51913059067182,34.0662089719176,,0.253026862335923,,2.8744854120183,3.51999164742955,57.2148530774177,,,,0.358357469378173,140.814926533203,15.0354591038312,181.770370575942,0.788879315915824,1378.64082754333,1.31198346342361,,,23.5253873558047,6.35308081663354,,,0.431040823521139,3.51360836270696,4065.79261174442,1988.80333947532,3544.08268075842,2510.51327046131,1190.00165076866,177.471248463563,1611.23263422945,27.6514854388372,2160.7725367118,236.166775859329,1603.56578717294,75.9663919651448,161.764237298411,97.9457409020926,51.5819930649988,1.53477230924182e-12,6204.18768518683
1991,,1.25984775898904,,,,,,33.842289494378,1.32324039714215,,66.9830440875281,24.6808495875871,6.38017240936607,,2.6117653318166,4.0272441813182,,18.853229675686,33.6780070927703,,0.301626925106769,,,,,0.719,67.037471823337,,1.29011608315939,12.3806515278386,0.238900125350539,,0.548881072316904,135.64959782406,,,,8.56847959214871,670.828736027449,16.1497637860494,,,,1.38056924880212,1.4701041902868,4.06217216038577,,,1.52474012924996,36.3436913615207,,,17.8779465600953,,,1.83844831710086,3.96989869330785,20.4554090936135,1.2231113779989,,,8.11516564069738,0.819854332650221,,,,22.1091514735067,136.444553591966,,,,2.94573720338644,313.49055454141,1.3479299287957,25.5697038313854,,,1.16259929654611,0.35007469669388,,,,0.513523167350815,17.8167507808348,22.1658973269153,,164.822158084214,43.8262883284311,,10.4352388414121,58.3887837411187,14.9297171970929,152.466026737564,2.37786516565562,377.509523014406,4.2396478708276,50.391056046802,1.65267955010334,,,5.38475735106804,6.20349334383007,0.248749906591207,5.3148719052069,,,,,,12.5612422069267,3.38985008212668,,,0.335991049107474,0.203046482896297,21.5961838104032,,,0.85268128341753,,,0.554992061968068,93.6276434883499,2.38288632724667,,,8.13198125669301,0.408412958132469,,0.285,,0.408044126753666,47.6190350331797,,7.44957536040913,0.64124765834787,,10.5818986207181,,,,3.58596781454756,18.643759210656,,0.769372905950873,,1.01173665636281,6.34198948887661,14.4524637211391,2.43002735211821,93.0241458566506,14.9378775210778,4.08321806753958,0.913068377485599,96.5942038915222,,,,35.1330845774703,561.721520714279,0.158250360606161,,,,,,61.6025701285574,0.945388565091757,,,,17.1501366851045,15.4167177968976,5.48078566352907,,,88.9820883585081,75.7592657091889,0.974011281719596,,,,,,28.8975292094543,23.8253688942065,,23.7996192292104,1.18842768540108,34.4095627980243,,0.271493040384363,,3.06534437687461,3.73730454781524,57.5217022366167,,,,0.364933343338441,127.429588857485,16.4974419250825,184.779972613698,0.847562170040164,1357.63644731461,1.46687433475311,,,24.4736796496886,6.32255165380548,,,0.505207031978855,3.47091914249403,4013.33394593174,2041.45918376016,3525.97256038788,2528.82056930402,1159.73143724943,181.888524668211,1642.30857351402,26.479337043895,2116.91551394116,256.960227165321,1587.35197093098,76.2672380624962,166.615843318911,94.2445901851459,53.8639251622628,130.437999999999,6333.40364503931
1992,,0.798288994095646,,,,,,35.8632873970491,1.03904274519921,,67.7036167807531,25.6140863226207,4.36182075207279,,2.46484676364057,4.33637556556321,,12.8315173845584,33.4386611221229,,0.313418509925553,,,,,0.758,67.4996982997055,,1.38837104435869,11.7264389003427,0.239993688416486,,0.574044827620705,140.263795447248,,,,9.25464768803112,725.486897796096,18.1670151815731,,,,1.53511607623985,1.54196451049741,4.82144052730726,,,1.69115534081203,39.8569688742584,,,18.4645982577827,,,2.07530908631613,5.0128392022263,22.9543409767818,1.30314942609219,,,6.31232975373897,0.825861591404661,,,,28.3967370766852,145.728650052309,,,,2.50114071829426,337.378933809371,1.18748849035068,28.2992376249838,,,1.55376428100097,0.361207284469685,,,,0.617384867045756,19.612096019616,24.6986175447288,,179.267897036974,50.8908111524643,,10.3857002551437,59.8924124434873,17.1955580606696,168.725442965953,2.25457327843585,409.399870651497,4.96101056359281,22.4599151830717,1.85035098344112,,,8.19694744150845,7.81692691002487,0.264682934145145,4.79720541163769,,,,,,14.332919290933,3.3268101263745,,,0.340932202824749,0.205834071380666,24.2243268456294,,,0.892857880880333,,,0.623843201931979,95.7842780979139,2.49435537025645,,,9.35772432051084,0.437502291822934,,0.311,,0.462546088333226,51.3691566250675,,7.807040441069,0.791591351617469,,11.6307279509743,,,,3.67399131202033,19.8405118120289,,0.895585576176224,,1.15903637908145,6.48676557106447,15.8541519992475,2.62066607884929,94.9244972354396,16.6482359066073,5.97683910589854,0.958189964154779,114.692160107456,,,,31.2914273700546,199.995390781901,0.161801268418142,,,,,,69.4005922499237,0.978520161925149,,,,20.4734423669686,14.7391860787436,6.08010637391773,,,82.2404681769746,82.4135332012162,1.14816922938254,,,,,,31.3290219877012,26.4191695991154,,26.4121532558176,1.12139432487325,45.1488441084264,,0.274418412258877,,3.49122139787826,4.49876840699793,66.4718680396492,,,,0.38096215785974,121.673709060496,17.1276809361347,191.560884882994,0.832959214929534,1415.81277615285,1.66017383597476,,,23.6952464369979,6.3201009679902,,,0.547334876884656,3.66146005383265,3832.2968021805,2162.95611683764,3747.05678283155,2248.19613618659,1237.68395591673,181.312785756593,1762.70238734294,25.889645538779,1834.04099093268,288.842443337981,1652.28773397417,77.4356925191733,172.735292043773,91.4470945737917,59.7039346433327,-1.98951966012828e-13,6146.40394823527
1993,,0.73002586891111,,,,,,34.5524630640435,0.516292827500129,,67.8976019755531,24.2344365455552,6.98406089840379,,3.61271293039335,4.35725983304222,,11.0898803641896,33.1471631250154,,0.346943801162335,,,,,0.872,69.7975267673919,,1.39530511612234,12.5913799418596,0.239561121136356,,0.564497577068419,136.111603741977,,,,9.85485190115545,766.946671569353,18.558882257343,,,,1.52754962908932,1.7390771421239,4.81404709297462,,,1.63146188826074,36.0095816586632,,,18.0195501708835,,,2.2340204400669,5.76611634002135,24.9774536789035,1.41857369118401,,,4.74900446992108,0.831870532628761,,,,24.1227549063031,135.248633158863,,,,2.24015849581568,321.889586080384,1.33775543620293,26.869869190519,,,1.41734940283841,0.36106139985767,,,,0.612913099556391,19.1635982970344,22.7267066067906,,180.421939649432,53.1896748557639,,10.1857895209392,58.097824608996,17.1110088262154,152.406683512403,2.46479099053443,398.177412037323,4.80392281574327,35.8700529467333,1.96118772246765,,,12.0207669256475,5.01472471488163,0.271855832984345,3.81829712270201,,,,,,8.57719738598948,3.36743820354907,,,0.35729640432899,0.235137658359641,25.6216053242678,,,0.963834683656201,,,0.643725930194386,97.6749015757777,1.64882150420159,,,9.2427977651452,0.464927287200279,,0.375,,0.509521817054909,49.648011123619,,7.80273425549716,0.741688182975051,,11.6133765749724,,,,4.11340617273134,21.2608573867842,,0.872208196152945,,1.19918874486317,7.13228252059899,15.9436040810016,2.75898517387429,92.1079767640738,16.1496257801081,6.97500387391279,1.00921406266314,114.915640648565,,,,29.5878196894914,298.91257079275,0.163170994303928,,,,,,75.7303162649128,1.00876200245135,,,,20.0480441773784,13.6484579740152,5.71169259064315,,,87.4324889529807,76.0138300507809,1.11398469599838,,,,,,29.3471371473819,24.03020197924,,28.3242784704127,0.767934687986781,44.0707656841571,,0.28690428584622,,3.17654184507748,4.24618422317227,62.1239503771495,,,,0.420912916931788,103.720786342664,18.5659999343359,180.234606621699,0.885568765748942,1426.60629659706,1.52642741638815,,,27.4280826930383,6.86745375728196,,,0.569659708352598,3.31665390211861,3813.68088708596,2243.20711891347,3653.33914204639,2403.54886395304,1157.58796638535,190.413511956789,1810.17899282602,26.6931171858953,1813.57011786926,297.916325653759,1660.81138484765,77.6556319681868,179.642928248315,90.4584819922865,61.6797350050593,0.0,6209.02622299677
1994,,0.645564344926504,,,,,,34.6839761713721,0.514092372080141,,70.4002211141652,24.0927103116594,5.58335371671186,,3.22403087651588,4.68969683766301,,8.86798815597453,34.0701553292299,,0.399353667544803,,,,,0.827,73.3352058732109,,1.40012478645766,11.4959498923423,0.252465904057653,,0.594136744267278,137.633651506793,,,,10.6230156865704,762.019297240681,19.470506137785,,,,1.80830679553378,1.43197732862149,4.68088291394159,,,1.67050099284347,34.6587113265458,,,18.6859439635208,,,2.35039945875679,3.86043475762569,24.7353291021919,1.5685783012414,,,4.43610317294624,0.616602883544385,,,,22.9019113116332,133.08074363225,,,,1.33645392916141,313.329080199464,1.54484119580519,26.807856105697,,,1.61111346006286,0.379774078186566,,,,0.624643093741932,22.2780230520339,20.9997386207092,,188.959079513048,54.5429696033515,,10.4669141043056,63.6568509257195,17.9560111594515,147.541183621436,2.42304993948109,416.716972221771,5.27155516444739,32.0528174286097,2.09291182147445,,,13.5928962484636,3.94882960487336,0.299468210044961,3.61230431418509,,,,,,7.60399124174115,3.14519407372298,,,0.390236671708728,0.225963523179179,25.843210357884,,,0.963136350373675,,,0.649039970336853,100.995426071715,1.59263677269783,,,9.46608587050756,0.461844605978363,,0.424995305164319,,0.57039061625723,49.4427386618587,,8.0262202237003,0.785166208224058,,21.0595337056045,,,,5.10233258446677,23.2333415303544,,0.928139415607926,,1.34129132969528,7.27164417586952,17.5152234659272,2.27199694023863,88.9536234689929,16.4321684706713,7.38992971012771,1.47471527298261,120.135206245722,,,,27.9038984190116,317.397571593946,0.160100986856827,,,,,,74.2348139083804,1.06744616998717,,,,21.373561634656,12.0026007609747,5.4425978407867,,,92.4403015215759,77.0537464644219,1.20383122602761,,,,,,29.2447908740637,23.6075955705161,,29.7861700542525,0.35072701144098,45.6304760412058,,0.265850367147266,,2.69327285683726,3.7475717490934,56.6221981837963,,,,0.400987410533302,76.944205966496,21.3308278110623,177.72624854294,0.815671015135195,1452.64077271065,1.46322156899061,,,25.3611855481579,8.03524541274084,,,0.571513429506816,3.4546610022727,3824.03775061851,2286.70704679068,3680.7308036241,2430.01399378509,1130.71917643933,210.705425488148,1843.32101265075,27.8087448432182,1769.09253324622,306.828160414079,1691.69868754898,80.4184793225094,180.865685256493,94.1050418370268,65.509969328105,5.11590769747272e-13,6270.35980857432
1995,,0.688626388675192,,,,,,35.8792386164422,0.756776130018676,,71.970913675974,25.1469851578691,6.48233728585361,,3.28137811016843,5.38395406864807,,9.86537063891832,34.3802663595113,,0.424490548856429,,,,,0.831,79.2642690879123,,1.46383370125338,12.7799198177533,0.268477564156566,,0.580494941914554,140.314641225454,,,,11.5094165483924,828.764641693285,17.9280582317008,,,,1.77861491793072,1.95901290120368,5.14476172819126,,,1.71547464632495,34.1918798763322,,,18.5616513453854,,,3.02324820291372,5.68504324752389,27.3450471708111,1.72348027098781,,,4.18035749596837,0.686938809609883,,,,22.2410717269717,136.363883829666,,,,0.624887641625032,314.411485275404,1.59067783808174,27.1182349140312,,,1.67841090608238,0.402527418114306,,,,0.697508289613287,23.3544802155658,20.0447982466855,,198.863848235312,56.0117941365327,,10.6655316300826,67.6630899239534,19.1186972345281,152.749514521272,2.71119278321585,425.751217274425,5.44798999491284,29.4140692599777,2.42824720694698,,,13.3213859130036,3.86750584648163,0.329681134070935,3.33690841307733,,,,,,7.50376837608754,2.49303580969865,,,0.39369236689733,0.226690444889282,28.7439096715139,,,1.03764882237456,,,0.690971045878519,90.0109966563191,1.62328489756237,,,9.707871440941,0.479912080465944,,0.442,,0.747759385771992,49.8528834328437,,8.36648769478881,0.837317026426275,,20.5717697321194,,,,5.36587427768355,23.2619909691548,,0.8776275763995,,1.46628383377963,7.64610899097314,18.9357966722747,2.12892791414679,88.4691871824717,17.6061307713064,7.70435193559014,1.6081151046229,127.279362625711,,,,28.2286346767005,314.630150505741,0.160182933159432,,,,,,69.8327425734817,0.939969413257989,,,,21.2122045918717,12.5071399458123,5.71042766962631,,,98.7205052901565,80.4788563959121,1.27113713196138,,,,,,29.4136662916205,24.5595059777551,,30.3083297579957,0.149028897385245,48.7145133862125,,0.319846718511048,,2.39129892010733,3.74999392102608,60.6542757626085,,,,0.461604592049427,62.3765867905904,21.3406121319387,176.783391825245,0.89615007384825,1470.13079956417,1.63278619636672,,,27.5685460566039,8.85429442923902,,,0.537403154204304,2.9340012385367,3853.67677004931,2396.15416180893,3728.24878856872,2521.58214328951,1146.33410435898,222.265599919175,1940.04038844648,29.259434070031,1769.59805579362,313.393514766989,1700.91069533586,82.3829832080224,191.977000497756,99.209965802436,69.255469837481,8.24229573481716e-13,6418.29636749816
1996,,0.79009585951095,,,,,,37.3867081180859,0.81586324450078,,73.6181024376341,26.1460428473203,7.90112127671345,,3.41528630597692,5.32859776806737,,13.7638863572096,35.3447816217419,,0.545641002466733,,,,,0.752,85.9786690202556,,1.69488816711367,12.4741277784812,0.301978758663942,,0.653239688585391,142.969237540617,,,,13.1320811703503,862.270192628878,17.7149940337118,,,,1.68320593571239,2.09476108307724,5.17561290682706,,,1.66716300703252,33.5822660060395,,,20.2953231205549,,,3.30265645483875,5.87469954916269,27.7471192156237,1.6044632187178,,,4.35984220313112,1.06775415345846,,,,20.6912733666533,136.794314984289,,,,2.3196352569411,309.81588291323,1.85956391960123,27.394211744631,,,1.51118945702045,0.353940453335023,,,,0.674036190892036,22.3785647563365,19.6871357006886,,211.126621836113,62.2261557124492,,11.0584422109195,72.2143815735721,19.0271068133995,145.024769945473,1.82222570129993,422.178579542558,4.26983504081403,31.6732760328271,2.80282952380746,,,12.5359233478734,2.57496083829081,0.327945537715289,3.4633007858905,,,,,,5.54392613772015,2.5070123722299,,,0.414351572586668,0.286185134345448,28.5085109542163,,,0.952663065036941,,,0.716490553347259,94.3821428935347,1.95254998576446,,,9.0909658523553,0.337046770571283,,0.469,,0.798605555263249,52.2429188869422,,8.63448107593394,0.856294541953983,,24.2871114655023,,,,5.09335909615585,25.9429537522511,,1.00270516266564,,1.37870896921959,7.51647932269692,21.163635299189,2.37782357476233,90.5757487697873,16.7261947178671,7.99343990715261,1.74979460985356,137.323093104009,,,,27.2612866306915,341.905514561844,0.138705838928954,,,,,,68.9810371170167,1.09968420094474,,,,21.7554366317363,12.1108670626252,5.76561887956394,,,99.2719244134384,76.4953352323807,1.51222361227049,,,,,,26.06578766857,27.0082137676025,,31.589047824428,0.675998697783734,49.1983082034531,,0.321108412156635,,3.09845220969011,3.42356404231124,58.5668033945072,,,,0.462656021262657,77.4850803233453,21.7555298658521,183.877310025991,0.92132672924343,1513.42963511065,1.93440303451879,,,23.8829651361884,10.3895840847728,,,0.481248280600619,2.9214236863258,3932.74319230081,2498.74182219058,3781.86557055181,2649.61944393958,1129.22185056632,227.596304695681,2016.48671068951,32.5280302598746,1808.94700533906,310.920173387256,1751.68212463892,84.4146263857209,198.907565343013,109.128297303336,73.3268439610007,9.09494701772928e-13,6613.94015575572
1997,,0.598296571575674,,,,,,39.7843646884179,1.07424245200085,,75.3721193127274,25.4882756731854,7.13645147112065,,3.79898265107901,5.75084486116016,,13.1060956592311,33.8475397694999,,0.572219720858494,,,,,0.764,91.2651641661205,,1.57712189878262,11.829864973506,0.304182743143641,,0.655227977652295,150.502396297348,,,,15.2113034077414,845.955592191416,19.2031191449159,,,,1.95905551746033,2.11089499384615,5.60594586565062,,,1.6006405898385,32.0485489486664,,,18.6412920789386,,,3.43340311386685,4.97281285144621,30.5323833171383,1.87474346539203,,,4.26972284093837,0.812763710074025,,,,18.8015098824622,130.395352031801,,,,2.07219861153076,294.212415090027,3.28208758237146,27.7044863500835,,,1.71159159479858,0.349741560906048,,,,0.70880499303634,25.6781688682176,20.609541612906,,219.028408102211,66.5955625031141,,12.0551792081483,68.1031650286676,19.6685722392943,144.578486796662,1.97192978995328,413.968087968658,5.25317399679075,29.8704316000856,2.79183028423077,,,13.3262024423466,1.45551956681283,0.344478017354881,3.30364384793672,,,,,,5.63997811733963,2.33296339662236,,,0.475835991619319,0.281803107879254,31.2934032709351,,,0.900723362593781,,,0.781004411104705,104.340590427349,1.71788966921401,,,8.98986410384296,0.375388121235601,,0.495011952191235,,0.847099497377272,50.9552630032455,,9.22383862266171,0.925022055144818,,23.8154917381534,,,,4.99293424898314,25.9048411031743,,1.07948583038636,,1.52580416559775,8.36728840150687,23.4295284028583,2.82544777200781,87.291375962336,18.4574686186179,9.50647537706706,1.68420353958655,136.351121102763,,,,24.1208802370633,323.966891329868,0.133394528672982,,,,,,58.433122099745,1.08049863762121,,,,23.5993783244437,11.8112366988646,5.91233951365168,,,105.135211634709,77.3374164870915,1.49845581026824,,,,,,22.6664624416736,25.3769475608758,,66.4402414997494,0.911632814947892,45.9921221118353,,0.220475666258101,,3.23201404490506,3.38572117416425,61.7197828266015,,,,0.486726595548254,75.1066207366671,22.7508358048986,180.498020213649,1.02689083650823,1538.92884124661,1.95643734736708,,,28.4063684768106,12.3061262394435,,,0.622904191184038,2.8131432067787,3897.41804197099,2564.65561994433,3785.13558686671,2676.93807504861,1092.41855339935,235.388080035124,2046.82207137078,32.976766234753,1746.22220228362,304.534227048351,1794.35271704812,86.8042208970235,214.971014078872,113.594616449993,78.3495513442146,8.81072992342524e-13,6654.01782970953
1998,,0.664080784161401,,,,,,40.6499629342187,1.23857408365803,,80.1750921057182,26.3904446565179,8.31613301576787,,4.35999905758459,5.63006852561352,,13.6195126249139,35.5501519580993,,0.539260764911539,,,,,0.912,92.8299971923899,,1.37784043332003,12.1861667928413,0.349969919738705,,0.780785891625547,153.050876353608,,,,16.4137630283346,818.054430306278,19.355595170837,,,,2.0235247838574,2.22215498246445,5.4852711438785,,,1.72197854817207,31.3711021565974,,,18.7253439452605,,,3.58748642895467,6.25946957108322,34.7995345295689,2.13050439291359,,,4.33313498060165,0.856700060210118,,,,18.8938024080033,137.162090442543,,,,1.93054707120421,298.391945979844,2.58764664013715,28.8042453796513,,,1.97416785688409,0.35644604949034,,,,0.835649192434973,22.7038383912499,21.3367488707464,,222.186616412702,40.605117677479,,13.3422844816029,79.0658995581705,20.3032543265634,150.370799012172,1.94039514008808,389.168650228704,4.90205797503478,32.2238076080167,3.24118992171436,,,13.7332522064977,1.71104025939502,0.349682687767729,3.64003259456114,,,,,,6.05487469056611,2.08974537931979,,,0.535297672019259,0.2808683725565,21.6308556173428,,,1.0642622751727,,,0.824042983321421,111.172727107523,1.80721526206412,,,9.37451217140168,0.372312022788668,,0.509,,0.570259147112584,50.6851666282605,,8.5359423119306,1.03219386275461,,23.5120208960782,,,,5.40239444214584,26.504612221747,,1.20979573569759,,1.48554823442059,8.69778435837808,20.9673463921367,2.87996037495927,80.60873812668,20.820702950969,8.4110494415688,1.75028317395606,100.291807902074,,,,23.7912425344926,285.012836268653,0.135721413149892,,,,,,62.1548648141676,1.10335696587936,,,,17.5719919447026,12.477081198511,6.00569136822097,,,102.967644945612,80.8203970075273,1.54288132030086,,,,,,23.6053448741938,29.3535029790587,,65.837230338213,1.14286020772658,35.0029728006029,,0.316505336431123,,3.57584566163664,3.46631118203481,62.3293854854089,,,,0.548977958406811,68.5515487093856,26.5852170768916,188.84823343293,0.98757253292655,1593.58413304817,2.10577709964837,,,31.779610904123,12.9361946744329,,,0.675981758190882,2.67361205723353,3924.5530784215,2502.70088012667,3830.34204353703,2596.91191501114,1115.72879038501,245.816660419175,1909.48917520745,33.1525714740362,1738.21288560379,327.258149599112,1858.61920007109,90.738618727552,223.940862263682,119.921221541947,83.7508567390019,1.87583282240666e-12,6630.92603682912
1999,,1.01197657386139,,,,,,40.8064787839222,0.968861833257452,,82.0067820244863,25.7339484448528,7.07298368403575,,2.45352555243304,8.4452757012825,,13.6466794245823,49.4513433218149,,0.532163404163121,,,,,0.862,90.5159189382852,,1.17285796904559,11.5259410898339,0.463573945952937,,0.75117834697518,154.671752514087,,,,16.4904662306356,870.992423857798,14.8814183711144,,,,2.09547100477585,1.81234100125942,5.85333007621632,,,1.82396516611666,30.0923088521508,,,19.6877350563782,,,3.12063635182391,5.36082975339715,35.2685499482537,2.01317627665986,,,5.58418890100741,1.18261716209951,,,,19.7713829258777,138.147528533521,,,,1.65358414808166,298.402034054328,2.24682080064652,28.2072127251743,,,2.07331864176044,0.325501742531208,,,,0.919611260719291,22.1007248451594,19.7310919478945,,251.644193234291,66.1859049234125,,16.1416719838248,83.2531988084709,18.4607502377843,152.683035697288,1.71236332061208,409.328963656173,4.15981734207701,26.8789353638373,3.11754404950836,,,10.2482935730307,1.49853179255053,0.326160846969777,3.3767332003812,,,,,,5.08290194110105,2.11309773113359,,,0.621133445938473,0.311588439991714,25.6720982692161,,,1.25505790097817,,,0.812366408637843,114.593778546195,1.9859117009079,,,10.3204853753642,0.44756172551046,,0.475,,0.827375365113917,36.9997801479938,,9.33525084942645,1.13531614155518,,17.3537244268453,,,,4.80359867458402,27.6246535403423,,1.28363694870676,,1.51994878030864,8.94344231565369,22.687070972481,3.03935254309495,83.9002898798291,22.811067849207,4.45308154600624,1.58527490367146,118.996870402734,,,,21.643106726821,273.097178428552,0.137576125179173,,,,,,51.3747317051241,1.21705974588864,,,,23.0450175957253,12.0489492609751,5.18674155243742,,,102.311414610354,86.6139278811392,4.38656559592406,,,,,,21.733366854274,23.2877696965554,,72.3251954118012,1.0976751087366,40.8106908412704,,0.338456751433693,,3.12945990533721,3.81586600068304,63.0808298269485,,,,0.781329114612191,64.0787692550918,27.8713718984459,187.936905873383,1.02499964402709,1620.48291977401,2.42648043831814,,,24.5283509922721,12.2262713296889,,,0.544527559532388,2.71505087596957,3959.55335246685,2608.22814891061,3906.51808699315,2661.26341438431,1125.60173970255,229.56244513811,2082.15512229051,43.7278437679857,1719.04067828997,299.515785120902,1891.03712488084,93.2179310488524,209.518130865661,125.07911438826,86.0069249251493,1.70530256582424e-13,6778.86754069088
