# Global Carbon Budget 2025 — National_Fossil_Carbon_Emissions_2025_v1.0.xlsx  — Territorial Emissions
#
# Fossil CO2 emissions by country (territorial)
# All values in million tonnes of carbon per year. For values in million tonnes of CO2 per year, multiply the values below by 3.664
# 1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2
# Cite as: Friedlingstein et al. 2025
# Methods: Full details of the method are described in Friedlingstein et al (2025) and Andrew, R. M. and Peters, G. P.: The Global Carbon Project’s fossil CO2 emissions dataset (2025v15), https://zenodo.org/records/17417124, 2025.
# (1) National estimates include emissions from fossil fuel combustion and oxidation and cement production and excludes emissions from bunker fuels. World totals include emissions from bunker fuels.
# (2) Bunker fuels: Emissions from fuels used for international aviation and maritime transport
# (3) The disaggregations of regions (e.g. the former Soviet Union prior to 1992) are based on the shares of emissions in the first year after the countries are disaggregated (e.g., 1992 for the Former Soviet Union).
# (4) The statistical difference presented on column HX is the difference between the world emissions and the sum of the emissions for each countries and for the bunker fuels.
# MtC/yr
# Generated with openclimatedata 0.40.1 from the GCB Excel file 'National_Fossil_Carbon_Emissions_2025_v1.0.xlsx' from https://doi.org/10.18160/gcp-2025
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,North Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Micronesia (Federated States of),Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Iran,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,North Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norway,State of Palestine,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Bolivia,Poland,Portugal,Qatar,Cameroon,South Korea,Moldova,South Sudan,Sudan,Romania,Russia,Rwanda,Saint Helena,Saint Lucia,Sint Maarten (Dutch part),Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Saint Kitts and Nevis,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Suriname,Eswatini,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Türkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,USA,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna Islands,Yemen,Zambia,Zimbabwe,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU27,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,International Shipping,International Aviation,Statistical Difference,World
1850,,,,,,,0.0,,6.85599037339807e-05,0.0,0.0305820009434216,0.635,0.000412981678613181,,,0.0,,0.000864619305068224,2.547,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.016,,0.0,0.0,0.0256893,,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.093,,,,,,,,,0.000312413215424971,,,,,,5.354,,0.0,,0.000114399448168241,4.132,,,,,,0.0,,,,,,0.0,,,,,0.108,,,,,,,0.00205717392676538,,,,,0.000176559964550317,,0.000207117025936349,,,,,,0.000323041596303243,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.856,,,,0.0,,,0.038,,,0.0,,,,,,,,0.874,,,,0.0,0.000319250096036237,0.0,0.0,,0.0189594281663443,0.0,,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.135,,0.0,,,,,0.055,,,,0.000101377778906184,,,,,,,,0.000262781488052742,,,,0.00601344693314329,,33.3925089529614,,5.402,,0.000806849472953357,,,0.0,,,,,53.693906400842,0.0308738530628478,53.6940926671202,0.030687586784575,14.7898425718377,0.0,0.00400068366174338,0.0,48.2465082692996,0.0,5.418,0.0305820009434216,0.0256893,,,,53.7247802539048
1851,,,,,,,0.0,,0.0,0.0,0.0290334908417313,0.637,0.0,,,0.0,,0.0,2.775,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.019,,0.0,0.0,0.0301441,,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.085,,,,,,,,,0.0,,,,,,5.469,,0.0,,0.0,4.604,,,,,,0.0,,,,,,0.075,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.851,,,,0.0,,,0.041,,,0.0,,,,,,,,0.944,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.139,,0.0,,,,,0.059,,,,0.0,,,,,,,,0.0,,,,0.0,,31.77160918332,,6.723,,0.0,,,0.0,,,,,54.2216426741618,0.0301441,54.2517867741618,0.0,15.638,0.0,0.0,0.0,47.45060918332,0.0,6.742,0.0290334908417313,0.0301441,,,,54.2517867741618
1852,,,,,,,0.0,,0.0,0.0,0.0289450290888339,0.767,0.0,,,0.0,,0.0,3.114,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.023,,0.0,0.0,0.0493654,,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.091,,,,,,,,,0.0,,,,,,5.887,,0.0,,0.0,5.233,,,,,,0.0,,,,,,0.094,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,1.027,,,,0.0,,,0.041,,,0.0,,,,,,,,1.127,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.146,,0.0,,,,,0.059,,,,0.0,,,,,,,,0.0,,,,0.0,,31.65873830895,,7.312,,0.0,,,0.0,,,,,56.6086833380389,0.0493654,56.6580487380389,0.0,17.545,0.0,0.0,0.0,49.24473830895,0.0,7.335,0.0289450290888339,0.0493654,,,,56.6580487380389
1853,,,,,,,0.0,,0.0,0.0,0.0415723001759676,0.88,0.0,,,0.0,,0.0,3.217,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.028,,0.0,0.0,0.0318038,,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.098,,,,,,,,,0.0,,,,,,6.916,,0.0,,0.0,5.666,,,,,,0.0,,,,,,0.094,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,1.138,,,,0.0,,,0.045,,,0.0,,,,,,,,1.178,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.178,,0.0,,,,,0.062,,,,0.0,,,,,,,,0.0,,,,0.0,,31.4841893611538,,8.232,,0.0,,,0.0,,,,,59.2577616613298,0.0318038,59.2895654613298,0.0,19.427,0.0,0.0,0.0,50.9561893611538,0.0,8.26,0.0415723001759676,0.0318038,,,,59.2895654613298
1854,,,,,,,0.0,,0.0,0.0,0.0500891057352644,0.867,0.0,,,0.0,,0.0,3.564,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.034,,0.0,0.0,0.0014707,,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.125,,,,,,,,,0.0,,,,,,7.973,,0.0,,0.0,6.65,,,,,,0.0,,,,,,0.119,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,1.623,,,,0.0,,,0.064,,,0.0,,,,,,,,1.304,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.15,,0.0,,,,,0.092,,,,0.0,,,,,,,,0.0,,,,0.0,,37.9400333066774,,9.05,,0.0,,,0.0,,,,,69.6051224124126,0.0014707,69.6065931124126,0.0,22.467,0.0,0.0,0.0,60.4710333066774,0.0,9.084,0.0500891057352644,0.0014707,,,,69.6065931124127
1855,,,,,,,0.0,,0.000207891320999812,0.0,0.0588639963115096,1.01,0.00125226702547223,,,0.0,,0.00262174886052945,3.651,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.041,,0.0,0.0,0.0411845,,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.124,,,,,,,,,0.000947317491933783,,,,,,9.026,,0.0,,0.000346888649284344,7.81,,,,,,0.0,,,,,,0.124,,,,,,,,,,,,0.00623788222954664,,,,,0.00053537537637838,,0.000628032272194091,,,,,,0.000979545485564672,,,0.0,,,,,,,,,,,,0.0,,,,,,,,1.269,,,,0.0,,,0.07,,,0.0,,,,,,,,1.534,,,,0.0,0.00096804867830343,0.0,0.0,,0.0574898789560117,0.0,,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.151,,0.0,,,,,0.086,,,,0.000307403587651009,,,,,,,,0.000796821286353476,,,,0.0182343229585635,,35.526570293509,,10.415,,0.00244657582121341,,,0.0,,,,,70.9747133869847,0.0569054028357322,70.9385661073124,0.0930526825080662,24.7875548952497,0.0,0.0121311052968993,0.0,60.4634391882121,0.0,10.456,0.0588639963115096,0.0411845,,,,71.0316187898205
1856,,,,,,,0.0,0.0045444,0.0,0.0,0.0815737600990279,1.155,0.0,,,0.0,,0.0,3.606,,0.0,,,0.0,0.0,,0.0620067,,,,0.0,0.0,,0.049,,0.0,0.0,0.05992,,0.002653,,0.0,,,0.0,0.0,0.1049454,0.0,,0.0,0.0,,0.177,,,,,,,,,0.0,,,,,,9.452,,0.0,,0.0,8.44,,,,,,0.0,,,,,,0.13,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,0.0021749,,0.0,,,,,,,,1.289,,,,0.0,,,0.083,,,0.0,,,,,0.0138453,,,1.724,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.206,,0.0,,,,,0.13,,,,0.0,,,,,,,,0.0,,,,0.0,,38.2317705939835,,10.927,0.0089663,0.0,,,0.0,,,,,75.6813443540825,0.259056,75.7434392540825,0.1969611,26.309,0.0,0.0,0.1049454,64.6237705939835,0.0,10.9781749,0.0815737600990279,0.1519357,,,,75.9404003540825
1857,,,,,,,0.0,0.0111237,0.0,0.0,0.0903658277146707,1.33,0.0,,,0.0,,0.0,3.754,,0.0,,,0.0,0.0,,0.07343,,,,0.0,0.0,,0.059,,0.0,0.0,0.1211847,,0.0049686,,0.0,,,0.0,0.0,0.0984529,0.0,,0.0,0.0,,0.181,,,,,,,,,0.0,,,,,,9.629,,0.0,,0.0,8.99,,,,,,0.0,,,,,,0.149,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,0.0019992,,0.0,,,,,,,,1.151,,,,0.0,,,0.083,,,0.0,,,,,0.0169645,,,1.833,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.232,,0.0,,,,,0.167,,,,0.0,,,,,,,,0.0,,,,0.0,,37.5472936367495,,11.205,0.0127694,0.0,,,0.0,,,,,76.4006594644642,0.340893,76.5238433644642,0.2177091,27.416,0.0,0.0,0.0984529,65.0462936367495,0.0,11.2659992,0.0903658277146707,0.2404409,,,,76.7415524644642
1858,,,,,,,0.0,0.0144018,0.000291932493318885,0.0,0.0929264948628625,1.977,0.00175850263151419,,,0.0,,0.00368160478287115,3.944,,0.0,,,0.0,0.0,,0.0776601,,,,0.0,0.0,,0.072,,0.0,0.0,0.1232196,,0.0054642,,0.0,,,0.0,0.0,0.0923615,0.0,,0.0,0.0,,0.134,,,,,,,,,0.00133027562697084,,,,,,9.442,,0.0,,0.00048712023090993,9.719,,,,,,0.0,,,,,,0.104,,0.107664107344902,,,,,,,,,,0.00875957930106549,,,,,0.000751803720020704,,0.000881917658825745,,,,,,0.00137553195845252,,,0.0,,,,,,,,,,0.0042252,,0.0,,,,,,,,1.012,,,,0.0,,,0.073,,,0.0,,,,,0.0122668,,,2.103,,,,0.0,0.00135938750570269,0.0,0.0,0.001,0.080730468321208,0.0,,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.314,,0.0,,,,,0.14,0.04,,,0.000431673123084396,,,,,,,,0.00111894052977297,,,,0.0256056450056424,,36.7995218253551,,11.367,0.029799,0.0034356171106401,,,0.0,,,,,77.444372158789,0.489138468773802,77.4622233958449,0.471287231717931,28.8935877252442,0.0,0.124699276485228,0.0923615,65.9174866562147,0.0,11.4432252,0.0929264948628625,0.2628115,,,,77.9335106275628
1859,,,,,,,0.0,0.0092316,0.000309625371701848,0.0,0.132354671096029,1.601,0.00186507854857566,,,0.0,,0.0039047323454694,4.066,,0.0,,,0.0,0.0,,0.1017233,,,,0.0,0.0,,0.086,,0.0,0.0,0.0687743,,0.0014399,,0.0,,,0.0,0.0,0.0866474,0.0,,0.0,0.0,,0.171,,,,,,,,,0.0014108983922418,,,,,,9.55,,0.0,,0.000516642669146895,9.227,,,,,,0.0,,,,,,0.21,,0.173710156388413,,,,,,,,,,0.00929046289506946,,,,,0.00079736758184014,,0.000935367213906094,,,,,,0.00145889753169207,,,0.0,,,,,,,,,,0.0021777,,0.0,,,,,,,,0.962,,,,0.0,,,0.089,,,0.0,,,,,0.0090804,,,1.941,,,,0.0,0.00144177462726043,0.0,0.0,0.001,0.0856232239770388,0.0,,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.445,,0.0,,,,,0.206,0.056,,,0.000457835130544056,,,,,,,,0.00118675510733496,,,,0.0271575022787117,,40.8577893745797,,12.369,0.0168105,0.00364383632946677,,,0.0,,,,,82.0867299350693,0.493009366994822,82.0415069440679,0.538232357996171,28.3838051631378,0.0,0.191777760022092,0.0866474,69.504721770946,0.0,12.4571777,0.132354671096029,0.20706,,,,82.5797393020641
