Year,Land-Use-Change,H&N,BLUE,CABLE,CLASS-CTEM,CLM5.0,DLEM,ISAM,ISBA-CTRIP,JSBACH,JULES,LPJ-GUESS,LPJ,LPX,OCNv2,ORCHIDEE-CNP,ORCHIDEE-Trunk,SDGVM,MMM (multi-model mean)
1959,1.810,0.998,2.623,2.621,0.869,2.276,2.273,1.726,0.732,1.195,1.700,1.813,1.643,1.212,2.312,2.633,0.979,2.320,1.753
1960,1.652,1.024,2.281,1.626,0.444,2.021,2.455,1.805,0.778,1.102,1.667,2.110,1.283,1.233,2.402,2.673,0.939,2.836,1.691
1961,1.575,1.055,2.095,1.716,1.733,1.804,1.214,1.145,0.576,1.029,1.713,1.598,1.248,0.816,1.835,1.871,0.816,2.100,1.414
1962,1.527,1.062,1.991,1.882,0.471,1.965,1.486,1.101,0.071,1.096,1.911,1.662,1.227,0.786,2.046,1.627,0.782,1.574,1.312
1963,1.468,1.019,1.917,2.106,0.960,1.843,1.324,0.827,-0.085,1.200,1.876,1.034,1.086,0.327,1.752,1.737,0.886,2.604,1.298
1964,1.414,0.965,1.864,2.097,0.870,1.864,1.545,1.092,0.162,1.172,1.801,1.762,1.148,0.776,1.804,1.762,0.659,1.533,1.336
1965,1.363,0.908,1.818,1.687,1.102,1.332,1.296,1.333,0.144,1.312,1.943,1.635,0.875,0.793,1.826,1.786,0.767,0.541,1.225
1966,1.318,0.849,1.788,1.478,1.283,1.624,1.276,1.041,0.186,1.235,1.829,1.434,1.132,0.625,1.630,1.718,0.755,2.020,1.284
1967,1.295,0.831,1.759,2.159,0.876,1.693,1.363,1.048,-0.012,1.132,1.832,1.765,1.185,0.926,1.723,1.637,0.797,1.993,1.341
1968,1.290,0.846,1.734,1.570,1.799,1.751,1.431,1.032,-0.079,1.251,1.877,1.876,1.154,0.788,1.639,1.630,0.850,2.527,1.406
1969,1.296,0.884,1.707,1.007,0.345,1.425,1.446,0.945,-0.050,1.235,1.648,1.697,1.244,0.726,1.664,1.364,0.717,1.244,1.111
1970,1.272,0.909,1.634,2.055,1.187,1.432,1.290,1.191,0.146,1.251,1.745,1.411,1.255,0.805,1.657,1.326,0.760,0.949,1.231
1971,1.247,0.897,1.598,1.723,1.185,1.581,1.251,0.892,-0.135,1.152,1.769,2.119,1.361,0.969,1.452,1.663,0.770,2.466,1.348
1972,1.217,0.860,1.573,1.959,1.194,1.453,1.064,0.902,-0.236,1.169,1.650,1.996,1.256,0.832,1.569,1.442,0.724,1.126,1.207
1973,1.193,0.843,1.543,1.043,1.349,1.417,1.253,0.907,0.182,1.120,1.464,1.763,1.228,0.678,1.325,1.288,0.564,2.881,1.231
1974,1.159,0.802,1.516,1.679,1.512,1.725,1.399,0.531,-0.138,1.204,1.770,2.474,1.466,0.963,1.720,1.905,0.991,2.959,1.477
1975,1.136,0.782,1.491,2.661,1.128,1.533,0.954,0.749,0.126,1.210,1.781,1.648,1.279,0.505,2.023,1.416,0.833,2.021,1.325
1976,1.121,0.767,1.476,1.531,1.039,1.625,1.506,0.885,-0.370,1.052,1.838,1.586,1.483,0.738,1.846,1.702,0.746,2.113,1.288
1977,1.103,0.743,1.463,1.550,0.499,1.681,1.029,1.105,-0.279,1.152,1.542,0.910,1.194,0.251,1.542,1.214,0.626,1.189,1.014
1978,1.066,0.690,1.442,1.917,1.023,1.830,1.372,0.982,-0.121,0.849,1.667,2.106,1.350,0.955,1.631,1.362,0.757,2.607,1.352
1979,1.039,0.657,1.421,1.760,1.349,1.442,1.223,1.077,-0.114,1.595,1.754,1.213,1.018,0.778,1.804,1.217,0.880,0.962,1.197
1980,1.085,0.624,1.546,1.966,0.827,1.446,1.103,1.064,0.025,1.225,1.569,0.805,1.096,0.760,1.671,1.227,0.639,0.793,1.081
1981,1.102,0.605,1.599,1.474,1.538,1.829,1.514,0.966,-0.037,1.550,1.693,1.697,1.267,0.781,1.536,1.798,0.901,2.437,1.396
1982,1.117,0.595,1.640,1.822,0.481,1.765,1.560,1.286,0.076,1.564,1.887,1.905,1.373,0.834,1.884,1.654,0.807,0.691,1.306
1983,1.160,0.651,1.670,1.365,0.902,1.923,1.319,1.175,0.317,1.760,1.749,0.880,1.240,1.019,1.480,1.576,0.797,1.922,1.295
1984,1.198,0.694,1.703,2.724,0.857,1.524,1.748,0.855,0.205,1.545,1.702,2.054,1.366,1.016,1.815,2.001,0.856,1.565,1.456
1985,1.218,0.715,1.721,1.379,0.819,1.709,1.841,1.150,0.226,1.502,1.764,2.351,1.360,0.954,1.756,2.107,0.863,1.735,1.434
1986,1.254,0.759,1.749,1.848,1.422,2.217,1.565,1.118,0.206,1.724,1.889,1.835,1.395,0.918,1.749,1.832,0.914,1.511,1.476
1987,1.291,0.803,1.779,1.836,1.629,2.002,1.504,1.189,0.160,1.702,1.711,1.068,1.226,0.856,1.658,1.493,0.807,1.274,1.341
1988,1.308,0.807,1.808,1.998,1.231,1.902,1.650,1.046,0.023,1.760,1.789,0.831,1.177,0.756,1.602,1.980,0.918,2.197,1.391
