# Global Carbon Budget 2020 — National_Carbon_Emissions_2020v1.0.xlsx  — Territorial Emissions
#
# Fossil CO2 emissions by country (territorial)
# All values in million tonnes of carbon per year. For values in million tonnes of CO2 per year, multiply the values below by 3.664
# 1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2
# Cite as: Friedlingstein et al. 2020
# Methods: Full details of the method are described in Friedlingstein et al (2020).
# (1) National estimates include emissions from fossil fuel combustion and oxidation and cement production and excludes emissions from bunker fuels. World totals include emissions from bunker fuels.
# (2) Bunker fuels: Emissions from fuels used for international aviation and maritime transport
# (3) The disaggregations of regions (e.g. the former Soviet Union prior to 1992) are based on the shares of emissions in the first year after the countries are disaggregated (e.g., 1992 for the Former Soviet Union).
# (4) The statistical difference presented on column HX is the difference between the world emissions and the sum of the emissions for each countries and for the bunker fuels.
# MtC/yr
# Generated with openclimatedata 0.38.1 from the GCB Excel file 'National_Carbon_Emissions_2020v1.0.xlsx' from https://doi.org/10.18160/gcp-2020
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Micronesia (Federated States of),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Iran,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,North Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Bolivia,Poland,Portugal,Qatar,Cameroon,South Korea,Moldova,South Sudan,Sudan,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Lucia,Sint Maarten (Dutch part),Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Saint Kitts and Nevis,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,USA,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna Islands,Yemen,Zambia,Zimbabwe,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU27,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,Bunkers,Statistical Difference,World
1959,0.104959449,0.394,1.543945669,,0.168829685,,0.008,13.3593885,1.912034585,0.196334852,22.84611276,7.617331732,5.477317031,0.071,0.358,0.502185307,0.041,11.97626809,24.10210142,0.011,0.028,0.037,,0.149387057,1.314820655,,10.64876646,,0.089,5.355418504,0.002,0.010628571,0.058,50.34971457,0.00499189,0.027,0.017,3.467075433,196.548075,4.390499948,0.003,0.051,,0.105,0.149,1.417354529,4.27531063,2.838354082,0.226910787,25.35497809,5.421874726,0.736618819,7.10546695,0.01,0.003,0.303789134,0.352829685,3.468029213,0.164910787,0.013,,3.452631263,0.091975669,0.027,,0.054,3.699710472,71.58555811,0.0,0.008,0.006,0.005,2.915191221,206.2758136,0.361,2.216410394,0.064,0.004,0.337870236,0.043,0.004,0.151,0.068959449,0.15999189,0.737845906,11.43641864,0.337910787,27.72819242,6.512618819,1.996270079,3.36031063,6.978359291,1.529140315,25.67811205,0.501781024,52.57095717,0.178878346,24.08291207,0.602650681,,,1.037,2.219099613,0.021,1.76530135,0.668180866,,0.039,0.118,,3.297588662,2.843789134,0.01,0.960859385,0.102,0.125475241,0.868789376,,0.013,0.106,,0.0,0.009,0.061,15.90801543,0.367,0.129746033,,0.919448504,0.489764803,0.757959449,,,0.018,18.31823197,0.161,2.816383622,0.130959449,0.006,0.972862268,,3.222751024,,,2.707705592,,0.270894567,0.044,0.08298378,1.969359291,1.972197087,0.258967559,51.7631363,2.177864567,0.05,0.07599189,3.062602598,2.868224095,0.031061941,0.341851173,0.0,13.82185323,232.2309656,0.020371429,,0.003,0.33392401,0.004,0.002,0.505918898,0.105813465,3.823479613,,0.064,0.491,8.097091591,1.084506677,0.003,0.024,25.78408031,14.21368213,0.560894379,,0.009,0.003,0.1,0.001,11.56888567,4.530039764,0.607504461,2.999824016,1.066338678,0.906440394,,0.015,0.002,0.843805354,0.433514504,4.692086392,4.346004016,,,0.112910787,70.09776604,0.003,149.1828963,0.188,770.470705,1.197537717,11.67434882,,17.78093177,1.802578268,,0.71,1.246670718,1.701191614,1886.26575,470.485943,1586.938422,769.8132708,527.9424584,40.34967885,360.6389459,10.95027252,1009.039186,19.31433865,836.801435,25.89449638,53.75934015,58.234,1.26477e-12,2414.985693
1960,0.112959805,0.552,1.678832126,,0.149822756,,0.01,13.30908843,1.990757896,0.168821185,24.04991811,8.401877559,5.702839436,0.112,0.157,0.603685966,0.047,12.46955208,24.81115799,0.012,0.044,0.043,,0.128452486,1.436208985,,12.78706898,,0.091,6.078247901,0.012,0.009942857,0.064,52.59720929,0.00599189,0.024,0.015,3.678075433,212.603566,4.473386063,0.003,0.061,,0.134,0.126,1.548832581,3.73556193,2.440597242,0.241902677,27.04188302,6.492477717,0.632781024,8.119410589,0.011,0.003,0.283813465,0.480781024,4.375745354,0.168902677,0.006,,3.593074304,0.095967559,0.016,,0.053,4.11761315,74.06136346,0.0,0.01,0.036,0.005,3.035274286,222.1479831,0.399,2.563190712,0.061,0.006,0.366878346,0.112,0.005,0.18,0.077943228,0.167959449,0.805837594,12.37126427,0.330919142,30.4283658,5.836570231,2.25331874,3.048181135,10.19612418,1.763107874,29.80433591,0.400764803,63.45514213,0.202821575,25.07478028,0.661611296,,,2.128,2.310618113,0.022,1.837930609,0.703057874,,0.045,0.189,,3.433827756,3.140764803,0.014,1.049569318,0.109,0.119636185,1.146683976,,0.033,0.093,,0.0,0.01,0.049,17.2085937,0.353,0.141724645,,0.992359291,0.513756693,0.740951339,,,0.022,20.04301299,0.235,3.14731874,0.144967559,0.008,0.928813665,,3.571726693,,,3.25503192,,0.271878346,0.049,0.08298378,2.228335259,2.272124094,0.273959449,54.46972512,2.241678031,0.048,0.074,3.422521356,2.986348911,0.030895389,0.340006692,0.0,14.57263425,241.7743261,0.019057143,,0.004,0.287129087,0.004,0.003,0.729902677,0.225813465,4.176450433,,0.195,0.38,8.635814831,1.18471978,0.003,0.023,26.70401554,13.33667402,0.615902677,,0.01,0.003,0.118,0.009,13.41990189,5.320650472,0.878464724,3.240694252,1.110255136,1.012416063,,0.018,0.003,0.703805077,0.470552988,4.584753465,4.525048706,,,0.114918898,72.98865034,0.003,159.3941096,0.226,788.1605982,1.177545827,12.15605491,,15.56136173,2.042553937,,0.991,1.188662238,1.622031847,1978.815669,503.8951491,1667.238271,815.4725467,564.3600024,42.7312149,395.0781136,9.797474881,1070.568239,24.63855111,858.0374012,27.50523685,54.35058597,65.022,-5.25802e-13,2547.732818
1961,0.133951339,0.622,1.652816621,,0.1238283,,0.013,13.95379646,2.053017558,0.176187927,24.70084499,8.685601811,5.881069943,0.149,0.483,0.625111769,0.053,12.8596714,25.29975268,0.01,0.035,0.048,,0.134057686,1.505391452,,13.41280095,,0.083,7.081069764,0.025,0.013028571,0.078,52.94778756,0.00599189,0.024,0.014,3.946026772,150.3707798,4.966240079,0.003,0.073,,0.134,0.151,1.624019272,3.32104328,2.547096031,0.235894567,29.35038816,7.212502047,0.642846145,8.652256299,0.012,0.003,0.280741393,0.448756693,4.657728646,0.158918898,0.006,,3.702711896,0.092967559,0.031,,0.046,4.072515462,76.79403316,0.0,0.016,0.045,0.006,3.130246646,227.8492421,0.367,2.676972441,0.08,0.005,0.383862126,0.168,0.008,0.201,0.080951339,0.200951339,0.919797244,13.3542321,0.297918898,32.90989889,7.096505276,2.37697,3.371343071,9.964180784,1.927067323,33.9451137,0.580764803,77.17983036,0.266756693,25.85947039,0.654635596,0.002,,2.722,2.383035168,0.031,1.895392955,0.731034882,,0.044,0.326,,3.54148497,3.160748583,0.019,1.100135079,0.097,0.101888106,1.278635039,,0.032,0.08,,0.0,0.013,0.051,17.80565047,0.38,0.148552602,,1.029303196,0.717764803,0.706959449,,,0.022,20.69289945,0.242,3.208278189,0.152959449,0.015,1.121602598,,3.639596929,,,3.370516251,,0.300878346,0.055,0.09898378,2.356343071,2.377872203,0.283951339,56.55988165,2.47762937,0.044,0.077,3.943424173,3.079796391,0.031478321,0.34645428,0.0,15.20635039,249.3246039,0.024971429,,0.005,0.299658357,0.005,0.003,0.97388634,0.221797244,4.377239922,,0.079,0.571,9.372999986,1.242072278,0.004,0.024,27.87113709,14.63069218,0.636910787,,0.013,0.003,0.117,0.001,13.31864261,5.556025984,0.835407953,3.419337402,1.144999721,1.130107874,,0.025,0.003,1.254894567,0.481635039,4.732761575,4.666482495,,,0.110927008,75.27595701,0.003,160.6481445,0.192,785.3083647,1.123570157,12.53685936,,14.15932929,2.177497165,,0.727,1.012273965,1.3813492,2026.645399,455.0035752,1705.051451,776.5975231,588.8739409,44.2124256,354.4778184,10.36796554,1107.339975,25.78706555,856.1548027,28.22712318,55.06779859,71.845,2.55795e-13,2553.493974
1962,0.187935118,0.672,1.545035506,,0.321814042,,0.028,14.63977213,2.15474996,0.19348861,25.87976402,9.242625777,6.172364935,0.198,0.434,0.686887575,0.071,13.49700138,26.75172043,0.019,0.037,0.043,,0.147221412,1.544809158,,14.63740432,0.001,0.101,8.379915669,0.023,0.012,0.084,56.49311441,0.00499189,0.02,0.023,4.55987243,119.9077798,5.300077874,0.003,0.065,,0.15,0.16,1.666553063,3.863140315,2.797206822,0.246894567,31.27755915,8.375380394,0.592781024,10.06819971,0.013,0.003,0.338732362,0.426764803,5.068534488,0.176927008,0.006,,3.882157058,0.107951339,0.032,,0.063,4.582499934,81.5683789,0.0,0.013,0.024,0.007,3.285399927,241.039466,0.391,2.769875884,0.072,0.007,0.376870236,0.18,0.011,0.185,0.082935118,0.190935118,1.004764803,13.78608612,0.326894567,36.23766518,6.270440394,2.462018661,3.577164646,10.21518087,2.164945669,39.91675362,0.577781024,79.93024843,0.285740472,27.14149413,0.715618286,0.003,,3.897,2.501295821,0.036,1.989308306,0.778051102,,0.069,0.286,,3.717177035,3.149748583,0.026,1.128935577,0.10798378,0.098420849,1.30364315,,0.038,0.09,,0.0,0.017,0.069,17.39730194,0.538,0.152441569,0.001,0.839228609,0.541804995,0.785943228,,,0.024,22.7297778,0.154,3.05630252,0.179951339,0.018,1.139464724,,3.837442835,,,3.703570428,,0.324862126,0.054,0.10698378,2.718229528,2.820937559,0.299943228,59.1176789,2.535450945,0.052,0.079,4.711132205,3.23247043,0.033726772,0.371187739,0.0,17.41615575,261.6694472,0.023,,0.005,0.329083156,0.005,0.003,1.705797244,0.221797244,4.492142237,,0.089,0.70286193,9.988443215,1.274437044,0.004,0.029,28.84006399,16.36895465,0.698902677,,0.009,0.003,0.135,,13.99360992,6.58288811,0.87332762,3.86594,1.201765685,1.371937559,,0.024,0.003,1.973821575,0.489601786,5.896437165,4.897631375,,,0.116935118,79.01129299,0.005,161.8262824,0.209,814.4109564,1.093586756,13.15874181,0.011,14.75330485,2.548489055,,1.06,0.977808624,1.334322969,2123.814332,445.7531201,1784.694171,784.8732807,631.1265926,45.39707377,336.6039032,12.15995622,1169.132641,29.8294988,888.3823728,29.19206654,58.85593969,74.403,1.59162e-12,2643.970452
1963,0.192886457,0.568,1.479026772,,0.313789134,,0.023,13.65520197,2.310811704,0.185340547,27.54756126,10.08435039,6.61921931,0.193,0.326,0.789640325,0.052,14.47453198,28.84180963,0.017,0.033,0.041,,0.141021721,1.718547674,,15.16128228,0.001,0.097,9.381566929,0.024,0.013,0.106,57.56298465,0.00399189,0.02,0.025,4.731710472,118.8639729,5.794972791,0.003,0.064,,0.164,0.17,1.854192573,3.555107874,2.679412707,0.268894567,32.90244582,8.959210079,0.625731934,11.09932118,0.018,0.004,0.340748583,0.489716142,5.875234409,0.306910787,0.007,,4.161268126,0.114959798,0.034,,0.066,5.277426614,91.21900016,0.0,0.018,0.02,0.008,3.523350019,258.0507602,0.47,3.340469606,0.09,0.004,0.414829685,0.19,0.013,0.168,0.067943228,0.193935118,1.158756693,15.34601286,0.35589427,38.93308166,6.212635039,2.56096189,3.670115984,11.27318094,2.23787318,44.91163739,0.653781024,88.65596701,0.332683701,29.10766211,0.778618819,0.005,,4.643,2.68250733,0.04,2.133425657,0.825010551,,0.097,0.399,,3.986228889,3.121772913,0.029,1.255899608,0.125951339,0.094624808,1.590602598,,0.048,0.112,,0.0,0.024,0.057,18.09284779,0.437,0.169585679,0.001,1.079164646,0.452813465,0.718862126,,,0.027,24.87570471,0.169,3.334205197,0.229943228,0.024,1.458416063,,4.084410394,,,4.25770095,,0.322845906,0.07,0.11198378,2.790164945,3.13095378,0.330935314,63.04553305,2.732418504,1.674,0.082,5.754140464,3.466626517,0.038140399,0.419761436,0.0,18.95618277,280.6272933,0.023,,0.006,0.315225024,0.006,0.002,1.893781139,0.234789134,4.99749054,0.002,0.101,0.926789361,10.50712563,1.417717488,0.004,0.028,29.94682068,16.03245181,0.690918898,,0.01,0.004,0.145,,15.09635826,7.933050315,0.984245748,4.123526378,1.288823867,1.517905118,,0.029,0.003,0.356821575,0.530602598,6.179023543,5.252089648,,,0.117943228,84.73503424,0.006,164.6794932,0.219,850.442787,1.177626612,14.11142029,0.009,15.3252563,2.486456614,,0.796,0.94009038,1.282853872,2252.003978,463.8511512,1887.325649,828.5294801,682.4261918,48.12632481,354.7828908,10.43086701,1251.526049,33.73176069,926.1986195,31.16176646,59.88185061,77.821,3.83693e-13,2793.676129
1964,0.228862126,0.55,1.540132205,,0.333764803,,0.025,15.19378856,2.457536376,0.18020615,29.71500179,10.61583906,7.039345872,0.296,0.436,0.81184838,0.049,15.39362606,28.26255236,0.023,0.039,0.055,,0.137115067,1.94702576,,15.46579607,0.002,0.093,11.68615331,0.03,0.013,0.092991976,64.84108441,0.00798378,0.02,0.027,4.777605039,118.9147716,5.917834933,0.003,0.073,,0.183967559,0.208,2.102003301,3.897107874,2.605186279,0.272918898,34.24222791,9.721120866,0.538748115,11.77590774,0.023,0.004,0.47666748,0.584683701,6.957218189,0.335902677,0.007,,4.423799878,0.110951339,0.033,,0.115967559,6.230264409,94.30624487,0.0,0.018,0.052,0.008,3.747071965,264.4425452,0.45,3.603055984,0.086,0.006,0.482797244,0.191,0.016,0.177,0.081935118,0.196918898,1.151764803,17.0145103,0.356878005,38.1240494,6.106513386,2.473791575,3.879929449,12.96918087,2.493792059,47.95880908,1.108692089,97.95062596,0.33865937,30.95628236,0.770537717,0.005,,6.909,2.852897657,0.047,2.268914153,0.890026772,,0.132,0.181,,4.239242146,3.355772981,0.035,1.422876545,0.131950967,0.089967559,2.019489308,,0.048,0.136,,0.0,0.032,0.084,20.25112599,0.558,0.192132782,0.002,1.20497811,0.583797244,0.779854016,,0.008,0.041,26.4128289,0.3,3.573132205,0.258935118,0.026,1.983269711,,4.41329685,,0.003,4.377445666,,0.338862126,0.073,0.117975669,3.344099764,3.499678031,0.403927188,66.28834056,3.004208234,1.711,0.092,6.057629596,3.68677902,0.042220922,0.464706484,0.0,19.66076079,298.4496071,0.01,,0.006,0.306492503,0.007,0.003,1.921716142,0.251772913,5.661530682,0.002,0.083,1.009781024,10.93500585,1.606559314,0.005,0.037,32.62718819,17.55562457,0.619918898,,0.013,0.005,0.165,0.003,16.47600165,7.676231181,1.19030252,4.614404724,1.370674373,2.038832698,,0.036,0.003,1.034805354,0.751497165,7.178755906,5.585340243,,,0.133918898,90.11687721,0.005,165.9022896,0.282,887.7606883,1.242553937,15.00707074,0.017,15.43395609,3.217205197,,0.991,0.893829685,1.219724026,2363.102815,491.0195603,1975.338165,878.7842097,712.7560209,52.84915802,371.3250072,12.31959154,1308.558172,39.51122521,972.9518987,33.76710155,62.82422095,85.181,-1.79057e-12,2939.303375
1965,0.274813465,0.593,1.798180411,,0.323732362,,0.041,16.0493585,2.606993498,0.161677677,32.98380701,10.40953937,7.467441066,0.359,0.335,0.851884884,0.056,16.32997291,28.74748748,0.023,0.041,0.049,,0.123017142,2.003286873,,15.37380338,0.002,0.091,12.62803953,0.028,0.01,0.109943228,68.75463835,0.00698378,0.024,0.029,4.843694252,129.5525723,6.238737607,0.004,0.067,,0.230870236,0.32,2.164565871,3.983115984,2.337325689,0.313894567,33.36502259,12.06935606,0.67372466,12.08880213,0.033,0.004,0.421765359,0.62064315,7.535332086,0.283910787,0.008,,4.691098114,0.175895163,0.037,,0.093959449,6.905045433,96.10032866,0.0,0.023,0.059,0.008,3.974996624,262.036637,0.465,4.639455827,0.094,0.006,0.538740472,0.19,0.018,0.294,0.082951339,0.204894567,1.310732158,16.71237228,0.380878346,42.00870814,6.732594488,5.265580439,3.743840236,14.66113215,3.52861315,51.7271778,0.815659787,105.4779419,0.38766748,32.83940494,0.672465519,0.003,,9.659,3.026540278,0.049,2.406872726,0.903929449,,0.152,0.277,,4.497350071,3.327756693,0.036,1.463988707,0.151959449,0.094967559,2.287180508,,0.054,0.129,,0.0,0.044,0.083,20.51525574,0.534,0.197684208,0.001,1.161132205,0.546756693,0.743854016,,0.009,0.049,27.40272346,0.336,3.735067073,0.212927008,0.025,3.206912889,,4.473231969,,0.007,4.59322884,,0.416813465,0.083,0.149967559,3.261880444,3.811312628,0.411935118,67.40744047,3.161150866,1.716,0.085,6.817223858,3.911035344,0.055128699,0.606804722,0.0,21.46203898,316.5898828,0.013,,0.007,0.274979493,0.008,0.003,1.150724252,0.461797244,5.825245336,0.002,0.077,0.689772913,10.65497497,1.653175366,0.007,0.036,34.9727178,19.38331071,0.724902677,,0.011,0.004,0.217,0.022,17.07483969,8.277548018,1.002253858,4.870307402,1.454048051,2.030621938,,0.036,0.003,1.416789283,0.671496416,7.465326555,5.925032293,,,0.170854016,95.60157074,0.006,169.7902897,0.317,924.7250758,1.505537717,15.92015861,0.013,16.57467222,3.58895378,,1.072,1.067756693,1.421724446,2455.180978,532.4470066,2043.000771,944.6272138,724.8339409,58.30632281,402.752407,12.22643829,1350.308556,47.16022733,1014.09997,37.21483353,65.54122995,88.051,-5.68434e-14,3075.678985
1966,0.297805354,0.696,2.298270079,,0.423708031,,0.095,17.21415575,2.753144214,0.151185649,32.81094488,10.70103607,7.886089546,0.298,0.177,0.866898011,0.073,17.2455872,28.68360936,0.022,0.031,0.055,,0.115033979,1.985101474,,17.52500964,0.003,0.134,13.29585323,0.028,0.013,0.127935118,70.70807063,0.006,0.023,0.023,5.12349179,142.319574,6.406712913,0.005,0.084,,0.270870236,0.338,2.145567768,4.140115984,2.185645596,0.338894567,33.1766173,12.99124252,0.655708031,13.66768858,0.038,0.004,0.455691811,0.659586378,7.241307402,0.355845906,0.007,,4.952048248,0.224886457,0.038,,0.087950779,8.048264409,94.87029866,0.0,0.033,0.104,0.009,4.197878497,259.6675744,0.393,5.082042205,0.106,0.008,0.474781024,0.196,0.018,0.322,0.082959449,0.219886457,1.408724252,16.83212898,0.407870236,43.55686607,6.379626929,7.553515827,4.119775651,17.49545897,3.706710125,58.40127189,0.959611114,114.422794,0.431586378,34.68086478,0.731463992,0.003,,9.586,3.196347587,0.064,2.541776343,0.988791575,,0.167,0.717,,4.749761495,3.168764877,0.041,1.450687713,0.157943228,0.116951339,2.684059213,,0.052,0.113,,0.0,0.049,0.075,22.06456614,0.533,0.195888159,0.002,1.490051102,0.579748583,0.765845906,,0.009,0.052,28.2635126,0.412,3.821034882,0.261910787,0.03698378,3.518896694,,5.332988661,,0.008,4.67405715,,0.451837436,0.093,0.139967559,3.613824341,4.395223858,0.460927008,68.89492142,3.230102205,1.712,0.094,8.18292378,4.130329523,0.060041982,0.660873512,0.0,22.95051181,334.3275664,0.012,,0.008,0.257134776,0.007,0.003,1.748724252,0.468789134,5.772893013,0.002,0.082,0.183567809,10.59493227,1.638047314,0.007,0.038,34.99860413,21.18368299,0.725910787,,0.012,0.005,0.299,0.055,19.79185588,8.593230626,1.34031874,5.311568724,1.535577571,2.583361732,,0.049,0.003,1.105764803,0.786472835,8.598734016,6.257254743,,,0.199870236,100.9651799,0.007,168.6885006,0.37394338,971.391692,1.473480945,16.81319229,0.021,15.54967236,5.235026586,,0.945,0.954756693,1.648724252,2552.121519,571.4562662,2118.821728,1004.756057,741.1035405,60.33899487,435.5132231,12.19027501,1390.933364,54.29883988,1064.282329,37.21493054,68.78782868,95.264,-1.23634e-12,3218.841785
1967,0.349854016,0.731,2.301197435,,0.270691811,,0.154,17.87008232,2.878818614,0.186233485,35.24678268,10.89398787,8.245965361,0.464245748,0.274,0.920071604,0.092,18.03276321,29.3015848,0.033,0.039,0.058,,0.14170114,2.005121803,,18.03477301,0.001,0.12,15.04030149,0.028,0.013,0.113935118,76.86600331,0.005,0.025,0.032,5.25063774,117.9649446,6.737672362,0.005,0.088,,0.238878346,0.371,2.168963383,4.295,2.692321652,0.371797244,33.10729528,14.29913709,0.624675591,13.38057504,0.024,0.006,0.42765937,0.706570157,5.362966772,0.315845906,0.007,,5.173992625,0.292837795,0.046,,0.096950832,7.802329291,101.6581065,0.0,0.038,0.276,0.009,4.389505408,255.5211293,0.408,5.323196299,0.114,0.01,0.540756693,0.198,0.013,0.361,0.070959449,0.238878346,1.651764803,16.04007239,0.393869906,43.60773634,6.697610709,5.014459055,4.474572598,18.52645906,3.692115984,63.9000388,1.054626929,133.5446041,0.38564315,36.26452985,0.736472835,0.006,,6.938,3.342362006,0.087,2.657828312,0.972880787,,0.167,5.047,,4.966490856,3.097797244,0.045,1.465307814,0.229935118,0.099951339,2.764083543,,0.061,0.142,,0.0,0.054,0.136,24.56482836,0.58,0.197862329,0.002,1.476051102,0.510724252,0.986854016,,0.013,0.058,29.11630984,0.402,3.719099764,0.294894567,0.035975669,3.500132205,,5.268623701,,0.037,4.960672503,,0.462797244,0.119,0.13298378,3.722799685,4.969672362,0.515935118,70.6947211,3.381988661,1.824,0.125,9.583307121,4.31891598,0.072366827,0.796524337,0.0,25.11701709,349.5895532,0.011,,0.009,0.316743724,0.007,0.003,6.95564315,0.190813465,5.831567353,0.002,0.069,0.833480945,10.57289509,1.654763522,0.009,0.062,36.50657992,23.57914205,0.803789134,,0.014,0.005,0.364,0.062,18.81270157,8.875392867,1.256334961,5.996155748,1.605696264,3.316086561,,0.054,0.004,1.264789134,0.841480945,9.137312796,6.542773104,,,0.220845906,105.5770425,0.25,161.5876167,0.479837795,1007.996226,1.331537717,17.58079351,0.023,17.94551813,6.26697,,0.833,1.306667735,1.445,2646.102615,573.8569426,2193.213621,1026.745937,757.9515982,64.69572885,441.6750122,13.50633173,1421.872236,56.09684894,1109.555057,39.56483327,72.97351001,101.955,-9.80549e-13,3321.914558
1968,0.333894882,0.838,2.470042605,,0.455660115,,0.27,18.83439339,2.959691704,0.17317426,36.70766913,11.54397933,8.477491291,0.444245748,0.301,1.055039719,0.12,18.53929054,32.32466591,0.028,0.042,0.061,,0.13176465,2.144586694,,21.08934969,0.004,0.117,16.22912355,0.028,0.015,0.133935118,82.76783289,0.00799189,0.05,0.034,5.786637245,127.6762126,7.252388864,0.005,0.123,,0.282854016,0.436,2.320151045,4.372140315,2.503528344,0.442740472,34.63836822,16.17603165,0.918675591,14.53948583,0.033,0.006,0.64064315,0.849521496,6.242528819,0.343829685,0.008,,5.315422565,0.470805354,0.05,,0.107943228,9.083370022,105.1039954,0.0,0.042,0.535,0.01,4.512814719,268.7747853,0.480748583,6.082498819,0.148,0.011,0.583805354,0.204,0.017,0.363,0.071951339,0.333854016,1.691586378,16.67390981,0.434886717,47.57125998,7.522545827,5.375458768,4.858507409,22.4698589,3.764783788,68.00550228,1.058545827,153.3604136,0.410472835,37.28388154,0.768400622,0.009,,6.12,3.436353215,0.046,2.732527965,1.008001451,,0.240943228,8.219,,5.105859311,3.345789197,0.046,1.567208815,0.248927008,0.105935724,2.87397,,0.054,0.174,,0.0,0.064,0.174,25.62424417,0.676918898,0.211622147,0.002,1.533905118,0.757683701,0.798805354,,0.013,0.069,30.96221252,0.502,3.677156765,0.335886457,0.043975669,1.808367402,,5.762469606,,0.044,5.688261345,,0.55082125,0.137,0.160975669,3.953775354,6.065169528,0.593918761,75.27320188,3.54594811,1.931,0.138,10.15205843,4.440290855,0.070534756,0.776344207,0.0,27.31424661,359.4141277,0.015,0.001,0.01,0.294532746,0.008,0.004,7.936440464,0.0,6.2379644,0.002,0.099,1.477375934,11.06178002,1.769669533,0.01,0.042,37.65113373,26.47850316,0.883756693,,0.011,0.006,0.396,0.076,21.18068535,9.820231181,1.62498622,6.588595474,1.650826826,4.660388504,,0.053,0.004,1.101764803,0.980440964,9.897785645,6.726422651,,,0.267829685,108.5455321,0.339,165.5262839,0.450830062,1044.843355,1.331432283,18.07459792,0.017,17.89630725,6.441294409,,3.176,1.246627228,1.740626929,2775.124148,620.4135851999999,2308.688089,1086.849644,804.8809295,70.21895899,485.5753184,13.91034196,1488.413424,64.39878807,1153.394432,41.09776913,78.5077,107.758,-0.022218976,3503.273514
