Year,Ocean-Sink,CESM-ETH,CSIRO,MITgcm-REcoM2,MPIOM-HAMOCC,NEMO-PISCES (CNRM),NEMO-PlankTOM5,NorESM-OC,MOM6-COBALT (Princeton),NEMO-PISCES (IPSL),MMM (multi-model mean),Landschützer,Rödenbeck,CMEMS,MPM (multi-product mean)
1959,0.757,0.859,1.043,0.463,0.798,0.542,0.934,1.104,0.351,0.718,0.757,,,,
1960,0.790,0.811,1.047,0.607,0.725,0.683,0.945,1.078,0.473,0.744,0.790,,,,
1961,0.681,0.549,0.905,0.463,0.723,0.406,0.895,1.013,0.407,0.769,0.681,,,,
1962,0.753,0.651,1.028,0.617,0.661,0.377,1.001,1.187,0.497,0.761,0.753,,,,
1963,0.888,0.812,1.214,0.750,0.712,0.579,1.145,1.359,0.644,0.775,0.888,,,,
1964,1.038,0.905,1.230,0.812,0.900,0.999,1.370,1.453,0.913,0.760,1.038,,,,
1965,1.172,1.046,1.489,0.894,1.006,1.261,1.553,1.643,0.853,0.804,1.172,,,,
1966,1.149,0.976,1.311,0.935,0.984,1.083,1.615,1.657,0.932,0.849,1.149,,,,
1967,0.966,0.785,1.063,0.802,0.783,0.895,1.313,1.460,0.725,0.873,0.966,,,,
1968,1.070,0.947,1.320,0.977,0.921,0.936,1.285,1.524,0.811,0.912,1.070,,,,
1969,1.107,0.988,1.455,0.997,0.739,0.778,1.405,1.627,0.993,0.981,1.107,,,,
1970,1.033,0.796,1.174,0.864,0.951,0.880,1.213,1.506,0.912,0.998,1.033,,,,
1971,1.128,0.948,1.418,1.038,0.971,0.951,1.302,1.555,0.981,0.990,1.128,,,,
1972,1.343,1.323,1.755,1.192,1.093,1.013,1.661,1.808,1.136,1.108,1.343,,,,
1973,1.299,1.002,1.475,1.100,1.027,1.125,1.735,1.860,1.222,1.150,1.299,,,,
1974,1.235,0.912,1.447,1.223,1.040,1.026,1.464,1.800,1.090,1.115,1.235,,,,
1975,1.231,0.792,1.357,1.203,1.136,1.058,1.674,1.751,0.991,1.118,1.231,,,,
1976,1.321,1.115,1.683,1.162,0.945,1.130,1.684,1.919,1.074,1.179,1.321,,,,
1977,1.398,1.196,1.658,1.100,1.144,1.171,1.806,1.990,1.238,1.281,1.398,,,,
1978,1.437,1.248,1.744,1.162,1.318,1.153,1.748,1.934,1.301,1.330,1.437,,,,
1979,1.356,1.258,1.845,1.131,0.902,1.175,1.597,1.796,1.115,1.389,1.356,,,,
1980,1.629,1.501,2.024,1.552,1.389,1.356,1.844,2.086,1.477,1.431,1.629,,,,
1981,1.617,1.471,2.044,1.604,1.414,1.238,1.744,2.099,1.525,1.416,1.617,,,,
1982,1.703,1.673,2.344,1.583,1.236,1.409,1.920,2.159,1.554,1.446,1.703,1.362,1.716,,1.539
1983,1.826,1.826,2.416,1.686,1.400,1.411,2.112,2.334,1.764,1.487,1.826,1.396,1.706,,1.551
1984,1.695,1.466,1.914,1.573,1.483,1.483,1.919,2.277,1.663,1.481,1.695,1.374,1.805,,1.589
1985,1.649,1.385,2.013,1.614,1.267,1.325,2.026,2.250,1.429,1.531,1.649,1.261,1.815,0.912,1.329
1986,1.729,1.437,2.030,1.727,1.555,1.466,1.995,2.299,1.471,1.583,1.729,1.362,1.805,1.036,1.401
