Year,Terrestrial-Sink,CABLE,CLASS-CTEM,CLM5.0,DLEM,ISAM,ISBA-CTRIP,JSBACH,JULES,LPJ-GUESS,LPJ,LPX,OCNv2,ORCHIDEE-CNP,ORCHIDEE-Trunk,SDGVM,VISIT,MMM (multi-model mean)
1959,0.528,0.173,0.204,1.148,0.857,1.125,0.915,0.513,1.093,-0.832,-0.194,0.264,1.125,0.352,0.659,0.300,1.325,0.564
1960,1.335,1.954,1.280,1.333,1.656,1.311,1.678,1.857,1.509,0.987,0.734,0.895,1.075,1.015,1.464,0.782,1.784,1.332
1961,0.713,1.072,1.172,0.349,0.669,0.921,0.465,1.607,0.669,0.709,-0.225,-0.034,1.290,0.400,1.235,-0.674,1.375,0.687
1962,1.336,1.610,1.497,1.105,1.011,1.310,1.511,2.101,1.883,1.479,0.530,-0.076,1.722,1.696,1.517,-0.074,2.277,1.319
1963,1.115,1.923,0.498,0.798,0.687,1.053,1.517,1.607,1.792,0.173,-0.124,0.217,1.755,0.816,1.524,0.857,2.375,1.092
1964,1.446,1.244,1.190,1.965,1.624,1.935,-0.000,1.530,2.141,2.469,1.105,1.090,1.832,1.786,1.621,0.369,1.709,1.476
1965,0.514,1.423,-0.753,0.903,0.374,1.123,1.283,0.461,1.349,-0.069,-0.308,-1.068,0.725,2.169,0.894,-1.357,1.420,0.535
1966,1.433,2.162,1.967,1.491,1.723,1.273,1.095,2.113,0.769,1.400,0.410,0.950,1.596,1.100,1.596,1.874,1.414,1.433
1967,1.698,1.717,1.189,1.591,1.470,1.752,1.501,1.773,2.542,1.620,1.222,1.157,2.629,1.939,1.583,1.347,1.982,1.688
1968,2.513,2.191,3.399,2.069,2.255,2.404,1.818,1.840,2.596,3.603,2.697,2.125,2.796,2.750,2.009,2.308,2.838,2.481
1969,0.491,1.541,-0.036,0.983,-0.024,0.256,0.636,1.331,-0.072,0.377,0.447,0.335,0.670,-0.036,0.757,0.588,0.542,0.518
1970,0.385,0.670,0.229,1.109,0.893,0.603,0.478,1.327,0.433,-0.171,-0.743,0.080,0.651,0.294,0.858,-0.611,0.716,0.426
1971,2.573,2.701,2.894,1.721,3.029,2.372,1.845,1.617,2.897,3.379,2.319,2.059,2.852,3.478,2.252,1.868,2.967,2.516
1972,1.205,1.254,1.379,0.657,0.895,0.650,2.108,-0.681,0.708,2.389,1.687,1.414,1.702,0.728,0.815,1.037,1.928,1.167
1973,1.375,2.073,1.685,1.752,2.530,1.686,-0.546,1.630,-0.666,3.158,0.879,0.574,2.175,0.520,1.558,2.355,0.945,1.394
1974,4.014,3.791,4.553,2.720,3.401,3.227,4.122,4.568,3.601,4.724,3.800,3.536,4.296,4.676,4.138,3.152,4.536,3.928
1975,2.417,2.218,3.120,2.132,2.251,2.016,1.417,1.940,2.261,3.218,2.150,2.163,3.226,2.285,2.341,1.961,3.615,2.395
1976,2.982,2.730,3.086,3.071,2.178,2.627,2.762,1.393,3.559,3.165,4.440,2.258,3.712,3.551,2.345,2.496,4.350,2.983
1977,1.403,2.228,2.231,1.835,0.740,0.997,1.308,0.827,1.399,0.187,1.825,1.704,2.579,-0.011,1.425,0.957,2.568,1.425
1978,2.674,3.304,3.627,2.372,2.330,2.386,1.886,3.084,2.110,3.155,2.701,1.840,2.723,2.071,2.689,3.123,3.000,2.650
1979,1.416,2.207,0.980,1.946,1.337,1.416,1.890,2.472,1.400,0.250,1.269,0.792,2.039,0.287,1.460,1.096,2.265,1.444
1980,0.465,1.942,-0.673,1.119,1.052,0.951,0.691,1.310,0.672,-0.786,-0.669,-1.077,1.098,0.713,0.756,-0.511,1.429,0.501
1981,2.260,2.756,2.680,2.202,3.030,2.132,2.286,2.812,2.008,1.549,1.042,0.943,3.548,1.807,2.539,2.283,2.389,2.250
1982,1.490,1.500,0.744,1.641,1.776,1.920,1.971,0.790,1.861,2.175,1.828,0.788,2.054,1.081,1.187,0.244,2.337,1.494
1983,0.186,1.397,-1.394,0.931,1.092,0.646,0.193,1.520,-0.171,-0.583,-0.698,-1.455,1.236,-0.122,0.409,0.365,0.274,0.227
1984,2.755,2.821,3.023,2.181,3.740,2.512,2.377,2.801,1.408,3.352,2.466,2.155,3.128,3.136,3.034,1.586,3.682,2.713
1985,2.678,3.304,2.588,2.333,2.307,2.636,3.029,3.445,1.993,3.130,2.476,1.505,3.422,2.551,2.684,2.129,2.878,2.651
1986,2.162,2.232,2.128,2.963,2.397,2.149,2.094,2.272,2.484,2.450,2.149,0.044,3.166,1.974,1.942,2.070,2.785,2.206
1987,0.376,2.117,-0.884,1.301,0.739,0.582,1.410,0.895,-0.128,-0.578,0.342,-0.713,1.554,-1.148,0.320,-0.169,1.201,0.428
1988,1.936,2.510,1.978,1.944,3.186,2.079,1.240,3.403,2.432,0.476,0.141,0.884,3.001,1.465,2.179,2.122,1.843,1.930
1989,3.410,2.927,4.323,2.772,3.822,3.008,3.176,3.061,3.663,3.664,3.146,2.956,4.106,3.048,3.189,2.802,4.136,3.363
1990,2.237,2.266,3.053,2.871,1.967,1.861,2.758,2.336,1.657,2.912,2.477,2.039,2.965,0.703,1.926,1.696,2.819,2.269
1991,2.151,2.568,1.833,2.957,2.474,2.435,2.195,2.925,2.747,0.988,1.685,0.628,3.323,1.708,2.195,1.492,2.955,2.194
1992,2.085,2.838,1.266,2.418,2.593,3.237,1.395,0.985,2.169,2.899,3.217,0.597,2.818,2.364,1.747,1.608,1.437,2.099
1993,2.827,3.500,2.457,3.018,2.853,2.785,3.009,2.369,2.209,3.856,3.656,1.891,3.855,2.774,2.681,1.719,2.674,2.832
1994,1.416,2.014,0.584,1.481,1.280,1.175,2.327,1.761,2.260,-0.321,0.976,0.451,2.527,0.809,1.859,0.811,2.624,1.414
1995,1.661,2.631,1.230,2.287,2.156,1.490,2.153,1.717,1.859,0.757,0.919,0.202,2.682,1.134,1.932,1.979,1.957,1.693
1996,3.112,3.698,3.253,2.328,2.640,2.622,2.453,2.360,1.956,4.786,2.847,2.913,3.320,3.629,3.553,2.773,3.758,3.056
1997,3.229,3.951,3.923,2.710,2.694,2.373,3.086,3.557,2.735,3.483,3.728,3.037,3.774,1.876,2.785,3.853,3.458,3.189
1998,1.395,2.573,1.865,2.129,1.181,0.637,1.391,3.944,0.192,0.193,0.446,1.123,1.937,-0.794,1.943,2.044,2.122,1.433
1999,3.403,2.689,3.217,3.147,3.959,3.375,3.260,4.437,3.409,2.472,3.276,2.579,3.986,3.709,3.722,2.232,4.585,3.378
2000,3.792,4.801,5.070,2.925,3.644,3.110,3.613,4.521,3.622,3.206,3.737,3.177,4.350,3.238,3.795,2.219,4.636,3.729
2001,2.390,3.384,3.106,2.492,2.168,2.318,2.548,2.629,2.406,1.505,2.045,0.925,3.213,1.016,2.542,2.249,3.673,2.389
2002,1.002,2.158,0.444,1.795,1.235,1.308,2.177,1.063,0.929,-0.191,0.555,-0.479,1.966,0.642,1.601,0.125,1.380,1.044
2003,2.290,3.065,2.091,2.248,2.628,2.172,2.360,3.633,1.685,1.692,1.517,0.602,3.354,1.425,2.251,3.104,2.633,2.279
2004,3.490,4.378,3.679,3.048,3.079,3.266,3.160,3.699,3.051,4.608,3.515,2.310,4.355,2.587,3.273,2.928,4.314,3.453
2005,1.776,2.249,1.434,2.533,2.603,1.511,2.225,1.706,2.060,1.081,1.681,0.466,2.825,0.670,1.934,1.752,2.308,1.815
2006,3.063,3.358,2.322,2.491,3.574,2.678,3.330,2.952,3.112,2.749,2.704,2.306,3.880,1.841,3.124,3.953,3.907,3.018
2007,2.838,4.477,2.870,2.819,3.467,2.492,2.813,3.887,2.982,1.934,1.994,0.952,3.590,1.988,3.134,1.570,4.269,2.827
2008,3.587,3.845,3.487,2.390,3.532,3.313,3.135,4.286,3.699,4.088,3.193,2.286,4.366,3.905,3.679,2.146,4.708,3.504
2009,2.749,3.768,1.903,2.372,2.772,2.272,2.715,3.454,2.385,2.272,3.555,1.960,3.646,1.935,2.315,2.294,3.839,2.716
2010,3.135,4.372,3.754,3.246,2.917,2.086,2.540,4.891,1.194,3.488,2.858,1.915,3.756,1.310,3.390,4.156,4.249,3.133
2011,4.162,4.470,4.633,3.807,3.925,3.602,3.934,4.682,4.437,4.270,4.380,2.619,5.013,3.641,4.094,2.764,5.815,4.130
2012,2.563,3.329,2.305,2.446,2.524,2.313,3.713,2.481,3.232,1.073,2.079,1.139,3.626,1.905,2.701,1.784,4.080,2.546
2013,3.315,4.438,3.295,2.912,3.364,2.893,2.665,4.588,2.372,3.585,3.674,2.496,3.717,2.710,3.350,2.403,4.031,3.281
2014,3.738,4.979,3.421,3.538,3.804,3.273,4.028,3.193,3.038,4.124,4.628,2.592,4.741,2.670,3.587,2.746,5.083,3.715
2015,2.167,3.156,1.459,2.795,1.806,2.346,3.744,1.835,2.335,0.878,2.710,0.284,3.798,0.438,1.963,2.348,3.233,2.196
2016,2.699,3.525,3.001,3.180,3.286,2.463,2.212,3.651,0.962,2.350,2.783,1.929,4.111,0.705,3.048,3.841,2.453,2.719
2017,3.638,3.737,4.643,2.934,3.343,3.196,4.418,3.795,2.545,3.769,3.532,2.405,4.293,3.047,3.831,3.169,4.670,3.583
2018,3.516,3.632,3.066,2.909,3.664,2.777,3.514,4.463,2.879,3.739,3.459,2.394,4.381,2.680,3.583,3.397,4.965,3.469
