Code,Year,Emissions
ABW,1959,0.196
ABW,1960,0.169
ABW,1961,0.176
ABW,1962,0.193
ABW,1963,0.185
ABW,1964,0.180
ABW,1965,0.162
ABW,1966,0.151
ABW,1967,0.186
ABW,1968,0.173
ABW,1969,0.227
ABW,1970,0.253
ABW,1971,0.221
ABW,1972,0.214
ABW,1973,0.237
ABW,1974,0.215
ABW,1975,0.156
ABW,1976,0.333
ABW,1977,0.174
ABW,1978,0.148
ABW,1979,0.155
ABW,1980,0.160
ABW,1981,0.152
ABW,1982,0.170
ABW,1983,0.087
ABW,1984,0.218
ABW,1985,0.256
ABW,1986,0.049
ABW,1987,0.122
ABW,1988,0.167
ABW,1989,0.177
ABW,1990,0.447
ABW,1991,0.459
ABW,1992,0.399
ABW,1993,0.435
ABW,1994,0.440
ABW,1995,0.455
ABW,1996,0.461
ABW,1997,0.476
ABW,1998,0.490
ABW,1999,0.493
ABW,2000,0.649
ABW,2001,0.657
ABW,2002,0.665
ABW,2003,0.699
ABW,2004,0.714
ABW,2005,0.742
ABW,2006,0.741
ABW,2007,0.770
ABW,2008,0.725
ABW,2009,0.717
ABW,2010,0.684
ABW,2011,0.682
ABW,2012,0.368
ABW,2013,0.235
ABW,2014,0.238
AFG,1959,0.105
AFG,1960,0.113
AFG,1961,0.134
AFG,1962,0.188
AFG,1963,0.193
AFG,1964,0.229
AFG,1965,0.275
AFG,1966,0.298
AFG,1967,0.350
AFG,1968,0.334
AFG,1969,0.257
AFG,1970,0.456
AFG,1971,0.517
AFG,1972,0.418
AFG,1973,0.447
AFG,1974,0.523
AFG,1975,0.580
AFG,1976,0.542
AFG,1977,0.652
AFG,1978,0.589
AFG,1979,0.611
AFG,1980,0.480
AFG,1981,0.541
AFG,1982,0.573
AFG,1983,0.688
AFG,1984,0.772
AFG,1985,0.957
AFG,1986,0.857
AFG,1987,0.852
AFG,1988,0.782
AFG,1989,0.757
AFG,1990,0.713
AFG,1991,0.665
AFG,1992,0.380
AFG,1993,0.367
AFG,1994,0.353
AFG,1995,0.339
AFG,1996,0.321
AFG,1997,0.299
AFG,1998,0.284
AFG,1999,0.224
AFG,2000,0.211
AFG,2001,0.223
AFG,2002,0.292
AFG,2003,0.326
AFG,2004,0.259
AFG,2005,0.362
AFG,2006,0.450
AFG,2007,0.620
AFG,2008,1.147
AFG,2009,1.846
AFG,2010,2.308
AFG,2011,3.338
AFG,2012,2.933
AFG,2013,2.731
AFG,2014,2.675
AGO,1959,0.169
AGO,1960,0.150
AGO,1961,0.124
AGO,1962,0.322
AGO,1963,0.314
AGO,1964,0.334
AGO,1965,0.324
AGO,1966,0.424
AGO,1967,0.271
AGO,1968,0.456
AGO,1969,0.760
AGO,1970,0.977
AGO,1971,0.930
AGO,1972,1.229
AGO,1973,1.331
AGO,1974,1.329
AGO,1975,1.204
AGO,1976,0.896
AGO,1977,0.964
AGO,1978,1.476
AGO,1979,1.501
AGO,1980,1.458
AGO,1981,1.440
AGO,1982,1.268
AGO,1983,1.395
AGO,1984,1.366
AGO,1985,1.282
AGO,1986,1.271
AGO,1987,1.586
AGO,1988,1.399
AGO,1989,1.366
AGO,1990,1.395
AGO,1991,1.388
AGO,1992,1.417
AGO,1993,1.575
AGO,1994,1.061
AGO,1995,2.993
AGO,1996,2.852
AGO,1997,2.013
AGO,1998,1.993
AGO,1999,2.497
AGO,2000,2.602
AGO,2001,2.654
AGO,2002,3.454
AGO,2003,2.472
AGO,2004,5.125
AGO,2005,5.224
AGO,2006,6.072
AGO,2007,6.859
AGO,2008,7.011
AGO,2009,7.579
AGO,2010,7.924
AGO,2011,8.274
AGO,2012,9.108
AGO,2013,8.895
AGO,2014,9.480
AIA,1990,0.014
AIA,1991,0.014
AIA,1992,0.015
AIA,1993,0.018
AIA,1994,0.018
AIA,1995,0.018
AIA,1996,0.019
AIA,1997,0.019
AIA,1998,0.021
AIA,1999,0.022
AIA,2000,0.024
AIA,2001,0.026
AIA,2002,0.026
AIA,2003,0.028
AIA,2004,0.033
AIA,2005,0.035
AIA,2006,0.039
AIA,2007,0.041
AIA,2008,0.041
AIA,2009,0.040
AIA,2010,0.041
AIA,2011,0.039
AIA,2012,0.039
AIA,2013,0.037
AIA,2014,0.039
ALB,1959,0.394
ALB,1960,0.552
ALB,1961,0.622
ALB,1962,0.672
ALB,1963,0.568
ALB,1964,0.550
ALB,1965,0.593
ALB,1966,0.696
ALB,1967,0.731
ALB,1968,0.838
ALB,1969,0.885
ALB,1970,1.021
ALB,1971,1.187
ALB,1972,1.539
ALB,1973,1.443
ALB,1974,1.185
ALB,1975,1.253
ALB,1976,1.350
ALB,1977,1.560
ALB,1978,1.771
ALB,1979,2.069
ALB,1980,1.410
ALB,1981,2.002
ALB,1982,1.993
ALB,1983,2.081
ALB,1984,2.134
ALB,1985,2.149
ALB,1986,2.197
ALB,1987,2.030
ALB,1988,1.998
ALB,1989,2.450
ALB,1990,1.504
ALB,1991,1.169
ALB,1992,0.686
ALB,1993,0.637
ALB,1994,0.525
ALB,1995,0.569
ALB,1996,0.550
ALB,1997,0.421
ALB,1998,0.478
ALB,1999,0.814
ALB,2000,0.824
ALB,2001,0.879
ALB,2002,1.023
ALB,2003,1.171
ALB,2004,1.136
ALB,2005,1.160
ALB,2006,1.063
ALB,2007,1.071
ALB,2008,1.193
ALB,2009,1.194
ALB,2010,1.254
