Code,Year,Emissions,Source
ABW,1959,0.196,CDIAC
ABW,1960,0.169,CDIAC
ABW,1961,0.176,CDIAC
ABW,1962,0.193,CDIAC
ABW,1963,0.185,CDIAC
ABW,1964,0.180,CDIAC
ABW,1965,0.162,CDIAC
ABW,1966,0.151,CDIAC
ABW,1967,0.186,CDIAC
ABW,1968,0.173,CDIAC
ABW,1969,0.227,CDIAC
ABW,1970,0.253,CDIAC
ABW,1971,0.221,CDIAC
ABW,1972,0.214,CDIAC
ABW,1973,0.237,CDIAC
ABW,1974,0.215,CDIAC
ABW,1975,0.156,CDIAC
ABW,1976,0.333,CDIAC
ABW,1977,0.174,CDIAC
ABW,1978,0.148,CDIAC
ABW,1979,0.155,CDIAC
ABW,1980,0.160,CDIAC
ABW,1981,0.152,CDIAC
ABW,1982,0.170,CDIAC
ABW,1983,0.087,CDIAC
ABW,1984,0.218,CDIAC
ABW,1985,0.256,CDIAC
ABW,1986,0.049,CDIAC
ABW,1987,0.122,CDIAC
ABW,1988,0.167,CDIAC
ABW,1989,0.177,CDIAC
ABW,1990,0.133,CDIAC
ABW,1991,0.145,CDIAC
ABW,1992,0.147,CDIAC
ABW,1993,0.177,CDIAC
ABW,1994,0.180,CDIAC
ABW,1995,0.193,CDIAC
ABW,1996,0.198,CDIAC
ABW,1997,0.207,CDIAC
ABW,1998,0.220,CDIAC
ABW,1999,0.221,CDIAC
ABW,2000,0.649,CDIAC
ABW,2001,0.657,CDIAC
ABW,2002,0.665,CDIAC
ABW,2003,0.699,CDIAC
ABW,2004,0.714,CDIAC
ABW,2005,0.742,CDIAC
ABW,2006,0.741,CDIAC
ABW,2007,0.770,CDIAC
ABW,2008,0.725,CDIAC
ABW,2009,0.717,CDIAC
ABW,2010,0.684,CDIAC
ABW,2011,0.682,CDIAC
ABW,2012,0.368,CDIAC
ABW,2013,0.235,CDIAC
ABW,2014,0.238,CDIAC
ABW,2015,0.245,CDIAC
ABW,2016,0.241,CDIAC
ABW,2017,0.243,BP
ABW,2018,0.245,BP
AFG,1959,0.105,CDIAC
AFG,1960,0.113,CDIAC
AFG,1961,0.134,CDIAC
AFG,1962,0.188,CDIAC
AFG,1963,0.193,CDIAC
AFG,1964,0.229,CDIAC
AFG,1965,0.275,CDIAC
AFG,1966,0.298,CDIAC
AFG,1967,0.350,CDIAC
AFG,1968,0.334,CDIAC
AFG,1969,0.257,CDIAC
AFG,1970,0.456,CDIAC
AFG,1971,0.517,CDIAC
AFG,1972,0.418,CDIAC
AFG,1973,0.447,CDIAC
AFG,1974,0.523,CDIAC
AFG,1975,0.580,CDIAC
AFG,1976,0.542,CDIAC
AFG,1977,0.651,CDIAC
AFG,1978,0.588,CDIAC
AFG,1979,0.610,CDIAC
AFG,1980,0.480,CDIAC
AFG,1981,0.540,CDIAC
AFG,1982,0.572,CDIAC
AFG,1983,0.688,CDIAC
AFG,1984,0.770,CDIAC
AFG,1985,0.956,CDIAC
AFG,1986,0.855,CDIAC
AFG,1987,0.850,CDIAC
AFG,1988,0.780,CDIAC
AFG,1989,0.755,CDIAC
AFG,1990,0.710,CDIAC
AFG,1991,0.662,CDIAC
AFG,1992,0.377,CDIAC
AFG,1993,0.364,CDIAC
AFG,1994,0.350,CDIAC
AFG,1995,0.336,CDIAC
AFG,1996,0.318,CDIAC
AFG,1997,0.296,CDIAC
AFG,1998,0.281,CDIAC
AFG,1999,0.221,CDIAC
AFG,2000,0.210,CDIAC
AFG,2001,0.222,CDIAC
AFG,2002,0.290,CDIAC
AFG,2003,0.329,CDIAC
AFG,2004,0.248,CDIAC
AFG,2005,0.360,CDIAC
AFG,2006,0.448,CDIAC
AFG,2007,0.619,CDIAC
AFG,2008,1.146,CDIAC
AFG,2009,1.845,CDIAC
AFG,2010,2.307,CDIAC
AFG,2011,3.337,CDIAC
AFG,2012,2.932,CDIAC
AFG,2013,2.466,CDIAC
AFG,2014,2.306,CDIAC
AFG,2015,2.462,CDIAC
AFG,2016,2.362,CDIAC
AFG,2017,2.448,BP
AFG,2018,2.576,BP
AGO,1959,0.169,CDIAC
AGO,1960,0.150,CDIAC
AGO,1961,0.124,CDIAC
AGO,1962,0.322,CDIAC
AGO,1963,0.314,CDIAC
AGO,1964,0.334,CDIAC
AGO,1965,0.324,CDIAC
AGO,1966,0.424,CDIAC
AGO,1967,0.271,CDIAC
AGO,1968,0.456,CDIAC
AGO,1969,0.760,CDIAC
AGO,1970,0.977,CDIAC
AGO,1971,0.929,CDIAC
AGO,1972,1.228,CDIAC
AGO,1973,1.330,CDIAC
AGO,1974,1.328,CDIAC
AGO,1975,1.203,CDIAC
AGO,1976,0.895,CDIAC
AGO,1977,0.963,CDIAC
AGO,1978,1.474,CDIAC
AGO,1979,1.498,CDIAC
AGO,1980,1.456,CDIAC
AGO,1981,1.437,CDIAC
AGO,1982,1.265,CDIAC
AGO,1983,1.392,CDIAC
AGO,1984,1.361,CDIAC
AGO,1985,1.276,CDIAC
AGO,1986,1.265,CDIAC
AGO,1987,1.579,CDIAC
AGO,1988,1.378,CDIAC
AGO,1989,1.344,CDIAC
AGO,1990,1.389,CDIAC
AGO,1991,1.382,CDIAC
AGO,1992,1.410,CDIAC
AGO,1993,1.569,CDIAC
AGO,1994,1.055,CDIAC
AGO,1995,2.988,CDIAC
AGO,1996,2.845,CDIAC
AGO,1997,2.005,CDIAC
AGO,1998,1.984,CDIAC
AGO,1999,2.492,CDIAC
AGO,2000,2.597,CDIAC
AGO,2001,2.640,CDIAC
AGO,2002,3.438,CDIAC
AGO,2003,2.453,CDIAC
AGO,2004,5.104,CDIAC
AGO,2005,5.187,CDIAC
AGO,2006,6.032,CDIAC
AGO,2007,6.817,CDIAC
AGO,2008,6.956,CDIAC
AGO,2009,7.523,CDIAC
AGO,2010,7.878,CDIAC
AGO,2011,8.278,CDIAC
AGO,2012,9.225,CDIAC
AGO,2013,9.069,CDIAC
AGO,2014,12.077,CDIAC
AGO,2015,9.274,CDIAC
AGO,2016,9.310,CDIAC
AGO,2017,9.310,BP
AGO,2018,9.426,BP
AIA,1959,,CDIAC
AIA,1960,,CDIAC
AIA,1961,,CDIAC
AIA,1962,,CDIAC
AIA,1963,,CDIAC
AIA,1964,,CDIAC
AIA,1965,,CDIAC
AIA,1966,,CDIAC
AIA,1967,,CDIAC
AIA,1968,,CDIAC
AIA,1969,,CDIAC
AIA,1970,,CDIAC
AIA,1971,,CDIAC
AIA,1972,,CDIAC
AIA,1973,,CDIAC
AIA,1974,,CDIAC
AIA,1975,,CDIAC
AIA,1976,,CDIAC
AIA,1977,,CDIAC
AIA,1978,,CDIAC
AIA,1979,,CDIAC
AIA,1980,,CDIAC
AIA,1981,,CDIAC
AIA,1982,,CDIAC
AIA,1983,,CDIAC
AIA,1984,,CDIAC
